module,classification,percent_complete,routes,read_provider,write_provider,database,baseline_binding,fixture_dependency,legacy_dependency,next_action
Home / Knowledge,migrated_and_proven,90,/api/knowledge/consumption/enterprise-brief; /knowledge-preview?provider=http&tenant=airline-demo-new,Tenant-scoped governed HTTP/API -> Azure PostgreSQL consumption reader,None in product surface; foundation writes are governed jobs only,Tenant-scoped Azure PostgreSQL; shared DATABASE_URL fallback refused for foundation tenants,Required and live-proven,Admin fixture preview only; real foundation tenant HTTP path prohibits fixture namespace use,No SkyHarbor fallback on the live-proven canary path,Keep provider active; add same signed-in proof to normal tenant-user path after Clerk mapping.
aVa / Knowledge,partially_migrated_this_pr,60,/api/knowledge/ava,Now binds foundation tenants to tenant-scoped consumption reader before reasoning,None; aVa output remains ephemeral and non-promoting,Tenant-scoped Azure PostgreSQL consumption envelope for foundation tenants,Enforced in this PR for foundation preview tenants,"Deterministic provider remains model-unavailable fallback, not fixture data authority",No baseline identity accepted from browser for foundation tenants after this PR,Deploy and run signed-in aVa proof for Airline once this PR lands.
Intelligence,partially_migrated_needs_runtime_certification,35,/api/intelligence/ask; /api/intelligence/query,Mixed legacy advisory/context paths plus newer Knowledge hooks,Audit/log paths vary by route,Not yet proven baseline-bound for Airline,Not certified,Static scan shows legacy tenant-specific/context code remains,Requires proof that Airline cannot retrieve legacy V6/V7/SkyHarbor context,Add signed-in Airline Intelligence proof with legacy fixtures and Supabase unavailable.
Moves,partially_migrated_legacy_operational_risk,25,/api/v1/moves/*; /api/programs/phase-gate,Operational adapters are mixed; generic reference fallbacks still exist,programsWriteAdapter defaults depend on ABARVA_DATA_PLANE,New Azure PostgreSQL not yet proven for all Airline operational state,Required only when consuming enterprise context; not certified,Reference-mode fallbacks exist when moveId is absent/inaccessible,Supabase-default adapter behavior still exists unless runtime config prevents it,Certify runtime env uses azure-postgres and disable reference fallbacks for governed Airline routes.
Source,partially_migrated_legacy_operational_risk,30,/api/v1/source/*; /source,Several routes use Azure fluent clients; fixture-specific views remain,sourceWriteAdapter defaults depend on ABARVA_DATA_PLANE,New Azure PostgreSQL not yet proven for every Source operational table,Required for Knowledge handoff; not certified end-to-end,Source fixture views and event-instance fixtures remain in code,Static scan shows SkyHarbor default in at least one Source route,Migrate/certify Source operational state and block old fixture/default routes for Airline.
Tower,partially_migrated_legacy_operational_risk,30,/api/tower/*; /tower,"Mixed Azure read models, V7 projections, and aggregate adapter",Tower value-state and ingest paths use direct DATABASE_URL/Azure clients,New Azure PostgreSQL not yet proven for all Tower operational state,Required for governed enterprise context; metrics remain Tower-owned operational projections,Static seeded vendor/portfolio and deterministic views remain,Aggregate adapter still documents Supabase default unless env forces Azure,Certify Tower DB host/schema/table use and remove legacy defaults before Airline completion.
Admin / Platform,partially_migrated_needs_sunset_controls,25,/admin/*; /platform/*,Mixed admin and platform surfaces,Mixed operational/admin writers,Not yet certified against Airline private data plane,Only applicable where enterprise context is consumed,Admin preview fixtures remain intentionally available to platform admins,Needs controls preventing legacy tenant access and fixture tenant creation,Add CI/runtime controls for governed tenant legacy/fallback access.
Cube,contract_ready_runtime_proof_pending,65,Cube semantic model,Governed consumption projections only by contract,None,Consumption projections; parity proof previously passed but must be retained in closure bundle,Metric definitions and projection version required,No fixture use allowed in governed model,Validator prohibits raw source/working/publication/operations tables,Rerun Cube-to-PostgreSQL parity in the deployed Airline closure bundle.
Superset,presentation_ready_runtime_provisioning_pending,20,Analyze in Superset,Should use read-only governed identity against consumption/Cube contract,None,Not provisioned/proven in this certification,Required in dataset/dashboard metadata,Not certified,Not certified,Provision read-only governed identity and certify dashboard dataset identity.
Observable,presentation_ready_runtime_payload_pending,20,Observable narrative presentation,Should consume the same governed metric payload as Cube/Superset,None,Not directly applicable; payload binding not proven,Required in payload identity,Not certified,Not certified,Verify Observable payload carries the same baseline/projection/metric identity.
