tenant_key,use_case_name,business_function,process_area,ai_pattern,current_status,value_hypothesis,required_data,required_systems,human_approval_points,risk_controls,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
first-capital-financial,Fraud alert triage copilot,retail banking,retail banking,copilot,candidate_not_approved,"Personalized digital banking insights is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",retail banking; wealth advisory; evidence register,card processing platform; card processing platform,human review required before operational action,data retention; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,high,data retention evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00001,FCF-EVID-06001,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00001,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,AML investigation summarization,commercial banking,commercial banking,summarization,candidate_not_approved,"Loan document intake automation is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",commercial banking; mortgage lending; evidence register,payments hub; payments hub,human review required before operational action,access controls; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,medium,access controls evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00002,FCF-EVID-06002,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00002,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Contact center agent assist,wealth advisory,wealth advisory,classification,candidate_not_approved,"Regulatory change impact analyzer is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",wealth advisory; cards and payments; evidence register,ACH and wire operations; ACH and wire operations,human review required before operational action,audit logging; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00003,FCF-EVID-06003,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00003,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Personalized digital banking insights,mortgage lending,mortgage lending,prediction,candidate_not_approved,"Wealth advisor research assistant is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",mortgage lending; treasury services; evidence register,fraud detection platform; fraud detection platform,human review required before operational action,customer consent; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,high,customer consent evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00004,FCF-EVID-06004,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00004,10_ai_automation_use_cases,AI & Automation Use Cases,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Loan document intake automation,cards and payments,cards and payments,decision support,candidate_not_approved,"Collections prioritization assistant is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",cards and payments; fraud operations; evidence register,AML/KYC case management; AML/KYC case management,human review required before operational action,regulatory reporting accuracy; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00005,FCF-EVID-06005,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00005,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Regulatory change impact analyzer,treasury services,treasury services,copilot,candidate_not_approved,"Branch workforce knowledge assistant is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",treasury services; AML and KYC; evidence register,CRM and banker desktop; CRM and banker desktop,human review required before operational action,operational resilience; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00006,FCF-EVID-06006,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00006,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Wealth advisor research assistant,fraud operations,fraud operations,summarization,candidate_not_approved,"IT incident and change-risk copilot is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",fraud operations; risk and compliance; evidence register,contact center platform; contact center platform,human review required before operational action,third-party risk; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00007,FCF-EVID-06007,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00007,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Collections prioritization assistant,AML and KYC,AML and KYC,classification,candidate_not_approved,"Model risk documentation assistant is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",AML and KYC; branch operations; evidence register,mobile banking platform; mobile banking platform,human review required before operational action,cyber risk; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00008,FCF-EVID-06008,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00008,10_ai_automation_use_cases,AI & Automation Use Cases,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Branch workforce knowledge assistant,risk and compliance,risk and compliance,prediction,candidate_not_approved,"Finance close anomaly detection is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",risk and compliance; contact center; evidence register,online banking platform; online banking platform,human review required before operational action,fraud loss; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00009,FCF-EVID-06009,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00009,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,IT incident and change-risk copilot,branch operations,branch operations,decision support,candidate_not_approved,"Fraud alert triage copilot is a candidate hypothesis; benefits require baseline, adoption, control, and finance evidence.",branch operations; digital banking; evidence register,cloud lakehouse foundation; cloud lakehouse foundation,human review required before operational action,vendor concentration; audit logging; access control; explainability; tenant isolation,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/10_ai_automation_use_cases.csv,2026-07-17,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,FCF-10-00010,FCF-EVID-06010,FCF-10_AI_AUTOMATION_USE_CASES-SRC-00010,10_ai_automation_use_cases,AI & Automation Use Cases,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
