tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
first-capital-financial,card processing platform platform 001,application platform,SaaS,primary region,card processing platform; API gateway,CTO,critical,current core,900 branch/digital/domain planning marker,data retention; lineage and baseline validation needed,yes_target_state_not_certified,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,data retention evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00001,FCF-EVID-03601,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00001,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,payments hub platform 002,data platform,cloud,secondary region,payments hub; event broker,CDAO,medium,modernization candidate,901 branch/digital/domain planning marker,access controls; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,access controls evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00002,FCF-EVID-03602,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00002,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,ACH and wire operations platform 003,integration platform,managed hosting,main operations region,ACH and wire operations; warehouse,CISO,medium,target state not certified,902 branch/digital/domain planning marker,audit logging; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00003,FCF-EVID-03603,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00003,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,fraud detection platform platform 004,security platform,hybrid,recovery region,fraud detection platform; observability,Chief compliance officer,high,rationalize candidate,903 branch/digital/domain planning marker,customer consent; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,customer consent evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00004,FCF-EVID-03604,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00004,06_infrastructure_platforms,Infrastructure & Platforms,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,AML/KYC case management platform 005,resilience platform,on-premises,primary region,AML/KYC case management; identity,Chief procurement officer,medium,extend with controls,904 branch/digital/domain planning marker,regulatory reporting accuracy; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00005,FCF-EVID-03605,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00005,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,CRM and banker desktop platform 006,application platform,SaaS,secondary region,CRM and banker desktop; API gateway,Chief people officer,critical,current core,905 branch/digital/domain planning marker,operational resilience; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00006,FCF-EVID-03606,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00006,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,contact center platform platform 007,data platform,cloud,main operations region,contact center platform; event broker,Transformation office lead,high,modernization candidate,906 branch/digital/domain planning marker,third-party risk; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00007,FCF-EVID-03607,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00007,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,mobile banking platform platform 008,integration platform,managed hosting,recovery region,mobile banking platform; warehouse,Experience leader,medium,target state not certified,907 branch/digital/domain planning marker,cyber risk; lineage and baseline validation needed,yes_target_state_not_certified,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00008,FCF-EVID-03608,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00008,06_infrastructure_platforms,Infrastructure & Platforms,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,online banking platform platform 009,security platform,hybrid,primary region,online banking platform; observability,Business unit president,medium,rationalize candidate,908 branch/digital/domain planning marker,fraud loss; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00009,FCF-EVID-03609,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00009,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,cloud lakehouse foundation platform 010,resilience platform,on-premises,secondary region,cloud lakehouse foundation; identity,Contact center leader,high,extend with controls,909 branch/digital/domain planning marker,vendor concentration; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00010,FCF-EVID-03610,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00010,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,enterprise risk platform platform 011,application platform,SaaS,main operations region,enterprise risk platform; API gateway,Operations leader,critical,current core,910 branch/digital/domain planning marker,cloud exit and resilience; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,cloud exit and resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-06-00011,FCF-EVID-03611,FCF-06_INFRASTRUCTURE_PLATFORMS-SRC-00011,06_infrastructure_platforms,Infrastructure & Platforms,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
