tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
first-capital-financial,retail banking operator,retail banking capability 001,12,hybrid enterprise,employee,yes,card processing platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for data retention; manual reconciliation across card processing platform,Personalized digital banking insights remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,data retention evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00001,FCF-EVID-01801,FCF-03_WORKFORCE_ROLES-SRC-00001,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,commercial banking analyst,commercial banking capability 002,13,hub-and-spoke,vendor-supported,no,payments hub workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for access controls; manual reconciliation across payments hub,Loan document intake automation remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,access controls evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00002,FCF-EVID-01802,FCF-03_WORKFORCE_ROLES-SRC-00002,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,wealth advisory product owner,wealth advisory capability 003,14,contact center,mixed,no,ACH and wire operations workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for audit logging; manual reconciliation across ACH and wire operations,Regulatory change impact analyzer remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00003,FCF-EVID-01803,FCF-03_WORKFORCE_ROLES-SRC-00003,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,mortgage lending risk owner,mortgage lending capability 004,15,field operations,contractor-supported,no,fraud detection platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for customer consent; manual reconciliation across fraud detection platform,Wealth advisor research assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,customer consent evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00004,FCF-EVID-01804,FCF-03_WORKFORCE_ROLES-SRC-00004,03_workforce_roles,Workforce Roles,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,cards and payments service manager,cards and payments capability 005,16,remote specialist,employee,yes,AML/KYC case management workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for regulatory reporting accuracy; manual reconciliation across AML/KYC case management,Collections prioritization assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00005,FCF-EVID-01805,FCF-03_WORKFORCE_ROLES-SRC-00005,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,treasury services operator,treasury services capability 006,17,hybrid enterprise,vendor-supported,no,CRM and banker desktop workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for operational resilience; manual reconciliation across CRM and banker desktop,Branch workforce knowledge assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00006,FCF-EVID-01806,FCF-03_WORKFORCE_ROLES-SRC-00006,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,fraud operations analyst,fraud operations capability 007,18,hub-and-spoke,mixed,no,contact center platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for third-party risk; manual reconciliation across contact center platform,IT incident and change-risk copilot remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00007,FCF-EVID-01807,FCF-03_WORKFORCE_ROLES-SRC-00007,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,AML and KYC product owner,AML and KYC capability 008,19,contact center,contractor-supported,no,mobile banking platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for cyber risk; manual reconciliation across mobile banking platform,Model risk documentation assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00008,FCF-EVID-01808,FCF-03_WORKFORCE_ROLES-SRC-00008,03_workforce_roles,Workforce Roles,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,risk and compliance risk owner,risk and compliance capability 009,20,field operations,employee,yes,online banking platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for fraud loss; manual reconciliation across online banking platform,Finance close anomaly detection remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00009,FCF-EVID-01809,FCF-03_WORKFORCE_ROLES-SRC-00009,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,branch operations service manager,branch operations capability 010,21,remote specialist,vendor-supported,no,cloud lakehouse foundation workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for vendor concentration; manual reconciliation across cloud lakehouse foundation,Fraud alert triage copilot remains candidate until evidence gates close,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,FCF-03-00010,FCF-EVID-01810,FCF-03_WORKFORCE_ROLES-SRC-00010,03_workforce_roles,Workforce Roles,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
