tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
first-capital-financial,Digital Banking Modernization,Chief procurement officer,enterprise architecture,"Advance Payments Platform Resilience with governed evidence, safe controls, and candidate-only read models.",retail banking; card processing platform; InsightLake Analytics,approved,mobilize,planning outcomes only; realized value requires finance validation,card processing platform; InsightLake Analytics; retail banking evidence,data retention; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,high,data retention evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00001,FCF-EVID-05401,FCF-09_PROGRAMS_INITIATIVES-SRC-00001,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Payments Platform Resilience,Chief people officer,platform engineering,"Advance Fraud and Financial Crimes Transformation with governed evidence, safe controls, and candidate-only read models.",commercial banking; payments hub; Servica Contact Cloud,approved,design,planning outcomes only; realized value requires finance validation,payments hub; Servica Contact Cloud; commercial banking evidence,access controls; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,medium,access controls evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00002,FCF-EVID-05402,FCF-09_PROGRAMS_INITIATIVES-SRC-00002,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Fraud and Financial Crimes Transformation,Transformation office lead,application owner,"Advance Core Banking Simplification with governed evidence, safe controls, and candidate-only read models.",wealth advisory; ACH and wire operations; FraudShield Controls,approved,build,planning outcomes only; realized value requires finance validation,ACH and wire operations; FraudShield Controls; wealth advisory evidence,audit logging; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00003,FCF-EVID-05403,FCF-09_PROGRAMS_INITIATIVES-SRC-00003,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Core Banking Simplification,Experience leader,data engineering,"Advance Data Governance and Lakehouse Foundation with governed evidence, safe controls, and candidate-only read models.",mortgage lending; fraud detection platform; ComplyCase Risk Systems,evidence gate,validate,planning outcomes only; realized value requires finance validation,fraud detection platform; ComplyCase Risk Systems; mortgage lending evidence,customer consent; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,high,customer consent evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00004,FCF-EVID-05404,FCF-09_PROGRAMS_INITIATIVES-SRC-00004,09_programs_initiatives,Programs & Initiatives,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Data Governance and Lakehouse Foundation,Business unit president,IT service management,"Advance Regulatory Reporting Automation with governed evidence, safe controls, and candidate-only read models.",cards and payments; AML/KYC case management; CreditSignal Data Services,approved,control gate,planning outcomes only; realized value requires finance validation,AML/KYC case management; CreditSignal Data Services; cards and payments evidence,regulatory reporting accuracy; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00005,FCF-EVID-05405,FCF-09_PROGRAMS_INITIATIVES-SRC-00005,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Regulatory Reporting Automation,Contact center leader,enterprise architecture,"Advance Contact Center Experience Transformation with governed evidence, safe controls, and candidate-only read models.",treasury services; CRM and banker desktop; RegOps Managed Services,approved,mobilize,planning outcomes only; realized value requires finance validation,CRM and banker desktop; RegOps Managed Services; treasury services evidence,operational resilience; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00006,FCF-EVID-05406,FCF-09_PROGRAMS_INITIATIVES-SRC-00006,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Contact Center Experience Transformation,Operations leader,platform engineering,"Advance Cloud Resilience and Zero Trust with governed evidence, safe controls, and candidate-only read models.",fraud operations; contact center platform; CyberGate Security,approved,design,planning outcomes only; realized value requires finance validation,contact center platform; CyberGate Security; fraud operations evidence,third-party risk; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00007,FCF-EVID-05407,FCF-09_PROGRAMS_INITIATIVES-SRC-00007,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Cloud Resilience and Zero Trust,Chief architect,application owner,"Advance Branch Workforce Productivity with governed evidence, safe controls, and candidate-only read models.",AML and KYC; mobile banking platform; LedgerWorks ERP,evidence gate,build,planning outcomes only; realized value requires finance validation,mobile banking platform; LedgerWorks ERP; AML and KYC evidence,cyber risk; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00008,FCF-EVID-05408,FCF-09_PROGRAMS_INITIATIVES-SRC-00008,09_programs_initiatives,Programs & Initiatives,candidate_review,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Branch Workforce Productivity,Application owner,data engineering,"Advance Wealth Advisor Desktop Modernization with governed evidence, safe controls, and candidate-only read models.",risk and compliance; online banking platform; CoreBridge Banking Services,approved,validate,planning outcomes only; realized value requires finance validation,online banking platform; CoreBridge Banking Services; risk and compliance evidence,fraud loss; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00009,FCF-EVID-05409,FCF-09_PROGRAMS_INITIATIVES-SRC-00009,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,Wealth Advisor Desktop Modernization,ITSM leader,IT service management,"Advance Model Risk and AI Governance with governed evidence, safe controls, and candidate-only read models.",branch operations; cloud lakehouse foundation; CardRail Processing,approved,control gate,planning outcomes only; realized value requires finance validation,cloud lakehouse foundation; CardRail Processing; branch operations evidence,vendor concentration; no active promotion without review,28750000,0,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/09_programs_initiatives.csv,2026-07-17,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,FCF-09-00010,FCF-EVID-05410,FCF-09_PROGRAMS_INITIATIVES-SRC-00010,09_programs_initiatives,Programs & Initiatives,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic financial-services enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
