Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
MET-0001,Corporate,CFO,Cost-to-Income Ratio,Operating cost as a percent of operating income.,%,60.4,53.42,VS-008,CAP-0096
MET-0002,Customer,CMO,Net Promoter Score,Likelihood customers recommend the airline (-100..100).,score,62.1,69.99,VS-003,CAP-0085
MET-0003,Workforce,CHRO,Employee Attrition Rate,Annualized voluntary employee turnover.,%,92.7,76.81,VS-015,CAP-0025
MET-0004,Commercial,CRO,Forecast Accuracy,Demand forecast accuracy across the network.,%,79.9,93.48,VS-034,CAP-0078
MET-0005,Finance,CFO,EBIT Margin,Earnings before interest and tax as a percent of revenue.,%,62,64.72,VS-034,CAP-0084
MET-0006,Finance,CFO,Days Sales Outstanding,Average days to collect receivables.,days,53.8,50.85,VS-026,CAP-0012
MET-0007,Customer,CIO,Digital Self-Service Rate,Share of service interactions resolved without an agent.,%,82,90.91,VS-003,CAP-0034
MET-0008,Technology,CIO,IT Spend as % of Revenue,Total technology spend relative to revenue.,%,60.9,53.21,VS-024,CAP-0087
MET-0009,Customer,CMO,First Contact Resolution,Contact-center issues resolved on first contact.,%,92.8,103.49,VS-014,CAP-0049
MET-0010,Corporate,CFO,Procurement Cost Savings,Realized savings against addressable spend.,%,93.9,98.24,VS-024,CAP-0096
MET-0011,Operations,COO,Safety Incident Rate,Reportable safety incidents per 100k operations.,rate,4,3.62,VS-020,CAP-0129
MET-0012,Risk,CIO,Cyber Mean-Time-to-Detect,Average hours to detect a security incident.,hours,5.7,5.35,VS-011,CAP-0080
MET-0013,Operations,COO,On-Time Performance %,Flights departing/arriving within 15 minutes of schedule.,%,82.6,92.16,VS-020,CAP-0062
MET-0014,Commercial,CRO,Load Factor %,Revenue passenger-miles as a percent of available seat-miles.,%,80.6,94.11,VS-002,CAP-0069
MET-0015,Finance,CFO,CASM,Cost per Available Seat Mile.,cents,12.36,10.16,VS-024,CAP-0115
MET-0016,Commercial,CRO,RASM,Revenue per Available Seat Mile.,cents,10.29,12.02,VS-026,CAP-0043
MET-0017,Operations,COO,Completion Factor %,Percent of scheduled flights actually operated.,%,62.7,72.02,VS-004,CAP-0076
MET-0018,Commercial,CRO,Ancillary Revenue per Pax,Non-ticket revenue earned per passenger.,$,121.9,137.99,VS-026,CAP-0027
MET-0019,Customer,COO,Mishandled Bags per 1000,Mishandled bag reports per 1000 passengers.,rate,2.53,2.42,VS-011,CAP-0083
MET-0020,Operations,COO,Aircraft Utilization,Average block hours flown per aircraft per day.,hours,5.8,6.79,VS-028,CAP-0129
MET-0021,Operations,COO,Fuel Burn per ASM,Fuel consumed per available seat-mile.,kg,0.058,0.05,VS-020,CAP-0118
MET-0022,Operations,COO,Turnaround Time,"Average gate turnaround time, narrowbody.",minutes,36.3,31,VS-028,CAP-0131
MET-0023,Cargo,CRO,Cargo Yield,Revenue per cargo ton-kilometre.,$,129.4,135.24,VS-031,CAP-0113
MET-0024,Operations,COO,Crew Utilization %,Productive crew duty hours vs. paid hours.,%,84.9,94.31,VS-020,CAP-0050
MET-0025,Operations,COO,Schedule Reliability %,Departures within tolerance of published schedule.,%,91.2,103.3,VS-036,CAP-0053
MET-0026,Loyalty,CMO,Loyalty Member Growth,Year-over-year active loyalty member growth.,%,78.7,90.8,VS-024,CAP-0010
MET-0027,Customer,CMO,Net Promoter Score (Pax),Passenger NPS across journey touchpoints.,score,69,77.65,VS-030,CAP-0017
