ui_mode,component,business_purpose,required_object,required_fields,required_grain,required_relationships,required_evidence,required_authority_review_state,required_availability_freshness_state,required_current_target_semantics,required_metric_cube_semantics,required_access_control_behavior,existing_canonical_source,existing_projection_api,current_support_status,missing_table_field_relationship_or_projection,data_quality_reconciliation_dependency,render_gate,safe_empty_state_behavior
Brief,Module switcher (Knowledge/Intelligence/Moves/Source/Tower nav bar),"Cross-product navigation that must carry active scope, lens and evidence baseline into the target module",consumption.module_knowledge_packet_v1 (carries scope on handoff),"tenant_key, module_key, packet_hash, knowledge_baseline_ref",One packet per tenant per target module per baseline,Packet references active domain_publication_ref and consumption_projection_versions,Packet must cite the accepted facts/relationships/measures it carries,Packet content must be authority_state=accepted only,Packet must be as_of_date-stamped to current baseline,Not applicable,Not applicable,Nav must only surface modules the signed-in user's role can open for this tenant,knowledge.* (via publication.active_knowledge_baseline),"consumption.module_knowledge_packet_v1 (registered, 14th object in CONSUMPTION_PROJECTION_REGISTRY.json)",PROJECTION_MISSING,"module_knowledge_packet_v1 is registered but reported absent from the actual populated-object breakdown for airline-demo-new (audit Sec 2, Sec 8) -- effectively unbuilt for this tenant","Lineage audit Sec 8: 'registered but absent from the populated-count breakdown entirely (status unconfirmed, likely 0 or unbuilt): ... module_knowledge_packet_v1'",airline-demo-new must be registered in CANONICAL_TENANTS.ts AND module_knowledge_packet_v1 must have >=1 row for the target module before the switcher may claim scope-carry is possible,Nav renders but module tabs other than Knowledge are disabled with 'Not yet available for this tenant' rather than silently opening an unscoped view
Brief,"Lens / business-problem picker (9 lenses: understand, irops, crew, baggage, loyalty, revenue, mro, airport, ai)",Scope every subsequent Brief/Explore/Relationships/Evidence view to one named business problem,A business-problem taxonomy mapped to canonical BusinessFunction/BusinessProcess/Capability (FUNC-*/PROC-*/CAP-*),"lens_id, label, scope_description, mapped_function_ids[], mapped_process_ids[]","One row per lens per tenant (lens set may be tenant- or industry-specific, e.g. airline lenses vs a hospital's lenses)",Lens -> BusinessFunction/BusinessProcess/Capability (many-to-many),Not applicable,"Lens definitions themselves should be an accepted, versioned taxonomy, not hardcoded per-prototype JS",Not applicable,Not applicable,Not applicable,Not applicable,knowledge.business_function (Enterprise IA Layer 3 object exists),None -- no lens/business-problem taxonomy projection exists,DATA_MODEL_EXTENSION_REQUIRED,"Enterprise Information Architecture defines BusinessFunction/BusinessProcess/Capability objects, but no field or table maps them to a client-facing 'business problem lens' grouping. The prototype hardcodes 9 lens tags directly in JS (LENSES array) with no canonical backing.",Not applicable,A lens taxonomy row must exist and resolve to >=1 canonical BusinessFunction/Capability before that lens can filter real content; otherwise the lens is decorative only,"Lens remains selectable (it is just a filter label) but every downstream component under it must independently gate on its own data, never assume the lens filter implies real content exists"
Brief,Lens headline / lede narrative (e.g. 'A hub-and-spoke carrier running... on a fragmented recovery stack'),"Executive-legible interpretive framing for the selected business problem, generated from governed context",consumption.strategic_interpretation_v1,"tenant_key, interpretation_id, prompt_hash, knowledge_baseline_ref, lens/domain scope, narrative_text, cited_fact_refs[]",One interpretation per lens per tenant per baseline,Interpretation cites accepted facts/metrics from the domains the lens scopes,Every claim in the narrative must trace to an accepted fact_assertion or metric_observation,authority_state=accepted; regenerated whenever knowledge_baseline_ref advances,"freshness_state must reflect the baseline it was generated against, not wall-clock time",Narrative is current-state only in this prototype; must say so explicitly,Not applicable,Must not surface restricted-classification facts in generated prose even by paraphrase,publication.strategic_publication_v1,consumption.strategic_interpretation_v1 (registered),MODEL_SUPPORTED_DATA_NOT_READY,"Projection registered but not confirmed populated for airline-demo-new; also the facts it would narrate over (KPIs, evidence gaps) are the ones with confirmed 0-row pipeline failures (SD-05, SD-06), so a generated headline today would either be empty or would overstate confidence on top of broken source data","Depends on SD-05 and SD-06 being resolved first, since the prototype's own irops/crew headline text cites 'six-hour roster staleness' and 'recovery time not measured' -- exactly the KPI family that has zero published rows","strategic_interpretation_v1 row present for (tenant, lens, baseline) AND evidence_coverage above a stated minimum AND no cited fact is in a broken-pipeline family",Show lens label and scope description only; omit headline/lede with 'Interpretation not yet published for this business problem'
Brief,"Identity panel (profile text + stat tiles: Fleet, Fleet families, Daily departures, Destinations, Hubs, Crew)",Quick enterprise-identity anchor at the top of the brief,consumption.enterprise_identity_v1,"tenant_key, organization_id, knowledge_baseline_ref, profile_text, plus airline-domain stat fields (fleet_count, fleet_family_count, daily_departure_count, destination_count, hub_count, workforce_count) each with its own availability_state",One row per organization per tenant per baseline,Organization is the Enterprise IA root object (ORG-001),"Each stat tile cites its own accepted source (e.g. 'fleet register, 26 Jul 2026')",accepted,"Each stat independently not_loaded / available -- crew count in the prototype is explicitly modeled as 'Not published', never 0",Not applicable,Not applicable,Not applicable,"knowledge.organization, metrics.metric_observation","consumption.enterprise_identity_v1 (registered; audit lists enterprise profile as 'Plausible', 1 source narrative -> 1/1 published)",MODEL_SUPPORTED_DATA_NOT_READY,"The generic canonical Organization object (Enterprise IA Sec 4) has no declared airline-domain stat fields (fleet, fleet families, daily departures, destinations, hubs). The one landed source for enterprise identity is a single narrative .md file, not a structured fleet-register CSV, so today there is no structured path to these specific tiles even though the object itself is populated.","Audit Sec 3: 'Enterprise profile ... 1 narrative .md ... Plausible' -- narrative only, not structured; no fleet-register family is itemized in the 16 required source families",enterprise_identity_v1 row present with content_hash; each stat tile gated independently on its own availability_state,"Render 'Not published' text label per missing tile (as the prototype itself already models for Crew), never a blank or a zero"
Brief,"Purpose and priorities (operating priority, stated ambition statements)",Executive strategy anchor statements with source attribution,consumption.executive_perspective_v1 or consumption.strategic_interpretation_v1,"statement_text, source_ref, authority_state",One row per priority statement per tenant per baseline,Links to Organization and to the goals/programs it motivates,'Executive priorities - accepted' / 'Operations strategy - accepted' citations,accepted,fresh as of baseline,Not applicable,Not applicable,May be restricted at board-only sensitivity,"knowledge.interview, knowledge.fact_assertion",consumption.executive_perspective_v1 (registered),MODEL_SUPPORTED_DATA_NOT_READY,"No structured interview/current-state-signal source family exists for airline-demo-new -- only one narrative .md, no interview CSVs",Audit Sec 3: 'Interview/current-state signals: 0 CSVs (1 narrative .md) -> executive_perspective_v1 ... Structural gap -- no structured artifact exists',executive_perspective_v1 row present and accepted,Section omitted with 'Leadership priorities not yet published' rather than fabricated from the narrative .md
Brief,"Goals (5 board-tracked priorities: title, owner, readiness state, tags)",Link enterprise goals to the programs/measures that advance them and show whether each is decision-ready,A Goal object (does not exist) composed from Program/Initiative + Metric + a readiness classification,"goal_id, title, owner, priority_rank, readiness_state, supporting_program_ids[], supporting_metric_ids[]",One row per board-tracked goal per tenant,Goal -> measured by -> Metric; Goal -> advanced by -> Program/Initiative,Each goal's readiness must trace to the evidence_gap_v1/metric_observation_v1 rows that block or clear it,"Goal itself should be board-accepted; readiness is a derived, always-recomputed state, never hand-set",Not applicable,Goal targets are inherently target-state (e.g. 'raise on-time departure to 82%') paired with a current metric value,"Readiness derivation needs a Cube-level rule, not ad hoc per-goal logic",Not applicable,"knowledge.program, metrics.metric_observation (partial)",None,DATA_MODEL_EXTENSION_REQUIRED,Enterprise IA's object table (Sec 4) has no 'Goal' object distinct from Program/Initiative. The 5-value readiness taxonomy (Decision-ready / Directional / Blocked-missing-input / Blocked-sources-disagree / Not-assessed) is not a declared enum anywhere in the registry's baseline_metadata (which only defines authority_state/freshness_state/availability_state).,"Even once a Goal object exists, its readiness would depend on metric_observation_v1 and evidence_gap_v1, both confirmed broken for this tenant (SD-06, SD-05)",Goal object type ratified in canonical model AND its supporting metric/gap data resolves cleanly,Do not synthesize goals from program titles; omit the section entirely until the object exists
Brief,AbarVa views (interpretive cards: headline/observed/why/implication/metrics/assumption/proof array),"Model-composed interpretation with a structured, per-item-graded proof chain, distinct content class from raw facts",consumption.strategic_interpretation_v1 (candidate-insight variant) + consumption.relationship_evidence_v1 for the proof array,"view_id, headline, observed_text, why_text, implication_text, metric_refs[], assumption_text, proof_items[] each with source/assertion/state/color",One view per named interpretive claim per lens per baseline,"View cites facts, metrics and evidence fragments; may be promoted to accepted or remain candidate","Every proof item must be a real evidence_fragment reference, distinctly labeled Accepted vs Perspective-not-fact",Explicitly candidate until a recorded human review promotes it -- this promotion workflow is not modeled anywhere,"credential text ('Evidence: 16 items across 6 sources, reviewed 26 Jul 2026') implies a coverage+review-date rollup per view",Not applicable,metrics[] array references named measures with values -- needs metric_observation_v1 join,Not applicable,"publication.strategic_publication_v1, evidence.evidence_fragment","consumption.strategic_interpretation_v1 (registered), consumption.relationship_evidence_v1 (registered)",MODEL_SUPPORTED_DATA_NOT_READY,No 'candidate insight' object with a review/promotion state exists among the 14 registered projections -- PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md defines the candidate/accepted vocabulary but not a storage object that tracks a specific insight's promotion lifecycle,"Content depends on crew-feed-timing and baggage-transfer-scan evidence families, both shown partial/gap in the prototype's own text -- for airline-demo-new specifically, underlying KPI/gap data is confirmed broken (SD-05, SD-06)",strategic_interpretation_v1 row present AND every proof item resolves to a real relationship_evidence_v1 row,Omit the view card; do not render a headline with an empty or placeholder proof chain
Brief,"Leadership perspectives (exec quotes + evidence supports/challenges/uncertain/our-reading rows, restricted flag)","Carry interview signal as its own content class, always paired with what evidence supports, challenges and leaves uncertain",consumption.executive_perspective_v1,"perspective_id, who, role, interview_date, approval_type, quote_text, classification, structured_rows[] (supports/challenges/uncertain/reading each with color-coded state)",One row per captured interview signal per lens per baseline,Perspective -> tested against -> Evidence/Metric,"Each of the 4 structured rows must cite specific evidence, not just restate the quote",status='Perspective' -- explicitly never promoted to fact without independent evidence,Not applicable,Not applicable,Not applicable,"classification=restricted rows must show existence/state/owner only, content withheld, per SENSITIVE_CLASSIFICATIONS in context-corpus-policy.ts","knowledge.interview, knowledge.fact_assertion",consumption.executive_perspective_v1 (registered),MODEL_SUPPORTED_DATA_NOT_READY,"Interview source family is a structural gap (0 structured CSVs). Even once perspective rows exist, the specific 'supports/challenges/uncertain/our-reading' 4-row structured breakdown is not itemized in CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx's sampled fields -- likely needs a field/shape extension on top of the base object.",Same structural gap as the Purpose/priorities row above,executive_perspective_v1 row present with all 4 structured rows populated and evidence-linked,Omit the card; never show a quote without its paired evidence-tension rows
Brief,"Industry benchmarks (cohort median/top-quartile bars vs tenant value, cohort disclosure text)",Position the tenant against an external comparable-carrier cohort on named measures,An industry benchmark/cohort corpus object (does not exist as a registered projection),"metric_id, cohort_definition, cohort_median, cohort_top_quartile, cohort_method, cohort_vintage, tenant_value_ref (join to metric_observation_v1)",One row per benchmarked metric per industry cohort per publication vintage,Benchmark metric_id must map 1:1 to a canonical metrics.metric_definition,"Cohort method and source panel must be cited (e.g. 'Survey and claims panel, 38-44 networks, first half 2026')","Benchmark corpus itself needs its own accept/publish cycle, separate from tenant facts",Benchmark vintage must be shown distinctly from tenant data freshness,Not applicable,Would need a dedicated Cube dimension joining tenant metric_observation_v1 to an external cohort table,Cohort data is licensed third-party content; access/redistribution terms need their own field,None -- source_layer='industry_corpus' exists as an enum value in context-corpus-policy.ts but nothing populates it for benchmarks,None,PROJECTION_MISSING,"No consumption projection, Cube model, or canonical object registers external industry-cohort benchmark statistics anywhere in the 3C-2D/3C-2E packages",Not applicable,A governed industry-benchmark projection must exist and be joined to a real metric_observation_v1 value (never a null-metric row plotted against a real benchmark bar),Hide the benchmark row entirely for any metric without both a tenant observation and a cohort value; never show a bar with an invented tenant position
Brief,Industry patterns (applicability rating + 'missing here' gap linkage),Surface observed cross-carrier patterns and explicitly name what evidence this tenant lacks to confirm applicability,An industry-pattern corpus object cross-referenced against this tenant's evidence_gap_v1,"pattern_id, title, body, applicability_rating, applicability_rationale, linked_gap_ids[]",One row per named pattern per industry per publication vintage,Pattern -> linked to -> evidence_gap_v1 rows that would confirm/deny applicability for this tenant,"Pattern claims must cite the cross-carrier study or corpus source, distinct from this tenant's own evidence",Pattern corpus needs its own accept/publish cycle,Not applicable,Not applicable,Not applicable,Not applicable,None,None,PROJECTION_MISSING,"Same gap as benchmarks: source_layer='industry_corpus' is a defined enum value in governance policy but has no registered consumption projection, Cube model, or ingestion pipeline in the reviewed packages","Pattern's 'missing here' claim would need to resolve against evidence_gap_v1, which is confirmed 0 rows for this tenant (SD-05) -- so even with a pattern corpus, the applicability linkage would be unverifiable today",Industry-pattern projection exists AND its linked_gap_ids resolve to real evidence_gap_v1 rows,Omit the patterns panel entirely rather than show a pattern with a fabricated or unlinked gap claim
