ui_mode,component,business_concept,required_canonical_object,required_fields,required_grain,required_projection,required_cube_dimension_measure,required_lineage,required_evidence,current_implementation,current_data_state,exact_defect,first_broken_layer,required_codex_fix,migration_reprocessing_requirement,reconciliation_test,live_proof_required,ui_render_gate,safe_unavailable_state,acceptance_criteria
Brief; Explore; Evidence & gaps; aVa,Condition strip; Risks and controls inventory table; Open gaps list; Coverage-by-domain table; Global search (Open gaps group),Executive-visible count of open critical risks/evidence gaps across the tenant,governance.evidence_gap (source: knowledge.risk),"gap_id, severity, business_impact, owner, due_date, kind, control_count, last_tested_date, control_state",One row per open gap per tenant per baseline,consumption.evidence_gap_v1,EnterpriseKnowledge.open_critical_gap_count,risk-register.csv -> knowledge.risk -> publication.risk_control_publication_v1 -> consumption.evidence_gap_v1 (mapping confirmed in CANONICAL_TO_PUBLICATION_MAPPING.xlsx),Each gap must cite the risk-register source row it derives from,Projection registered in CONSUMPTION_PROJECTION_REGISTRY.json; mapping documented as confirmed,0 rows in consumption.evidence_gap_v1 against a confirmed 650-row risk-register.csv source,"SD-05: full-pipeline failure -- 650 governed risk rows never reached the gap projection. Cube measure open_critical_gap_count reports 'passed' parity, which is 0 Cube rows matching 0 Postgres rows, not evidence of correctness.","Unknown precisely -- not established whether the break is at working.entity_candidate ingestion, knowledge.risk publication, or the risk_control_publication_v1 -> evidence_gap_v1 projection step. Must be localized before it can be called fixed.","Run sql-readback.sql query 2.5 (working.entity_candidate WHERE candidate_payload->>'sourceObjectType'='risk', then knowledge.risk, then governance.evidence_gap, then consumption.evidence_gap_v1 counts) to localize exactly which stage drops the 650 rows to 0; fix that stage; re-run the risk->evidence_gap_v1 mapping job end to end; do not just re-run the whole pipeline blind.","Re-process risk-register.csv through working candidates, review-decision-apply, domain publication, and consumption projection for the risk family only -- do not force a full tenant reload if the break is isolated to one stage","sql-readback.sql section 2.5 query chain: COUNT(working.entity_candidate WHERE sourceObjectType='risk') -> COUNT(knowledge.risk) -> COUNT(governance.evidence_gap) -> COUNT(consumption.evidence_gap_v1), all filtered tenant_key='airline-demo-new'; every stage must be non-zero and the final count must be independently re-derived against the 650-row source, not merely re-asserted","psql readback showing consumption.evidence_gap_v1 row count > 0 for airline-demo-new, plus Cube/Postgres parity re-run with the non-zero count (not the current 0=0 trivial pass)",evidence_gap_v1 total row count independently re-verified non-zero and reconciled against the 650-row source before any UI tile renders a gap/risk count,"Render 'Withheld -- pipeline re-verification pending', never '0 open gaps'","consumption.evidence_gap_v1 row count for airline-demo-new is > 0, AND a documented row-count-to-source ratio exists (e.g. 'X of 650 risk rows published, Y% attrition' following the same disclosure standard already used for applications: '1,405 of 1,495, 6.0% attrition'), AND Cube open_critical_gap_count parity is re-run against the non-zero count"
Explore; Current versus target; Brief; aVa,Measures (KPIs) inventory table; Trajectory chart (historical half); Benchmarks; Global search (Measures group),"Governed KPI/measure register with current values, usable for benchmarking and trend charting","metrics.metric_definition, metrics.metric_observation","metric_id, owner, current_value, target_value, target_date, disclosure_level, observed_date",One observation per metric per tenant per baseline period,consumption.metric_observation_v1 (single governed name),"Any Cube model reading metric_observation_v1 (none currently do directly per the shipped YAML, but Home/Tower read it per the registry)",kpi-sla-catalog.csv -> metrics.metric_definition/metric_observation -> consumption.metric_observation_v1,Each observation cites its source KPI row and disclosure mode,consumption.metric_observation_v1 registered with correct contract shape (value null when unavailable),"420 source KPI rows (exact match to planned scale) produce 0 rows under any of THREE inconsistently-named candidate tables: metric_catalog_v1, metric_observation_v1, and the raw source CSV itself never resolving downstream","SD-06: naming/wiring defect, not a missing source. Three different names are in play for what should be one governed object; none is populated.","Unknown precisely which of the three names the real pipeline actually writes to, if any -- must be localized","Run sql-readback.sql query 2.6 (working.fact_candidate WHERE sourceObjectType='kpi', then metrics.metric_definition, metrics.metric_observation, consumption.metric_observation_v1, consumption.metric_catalog_v1) to find exactly where the 420 rows stop. Pick ONE governed name (consumption.metric_observation_v1, per the registry) and retire the other(s); do not leave two parallel candidate tables in existence after the fix.",Re-process kpi-sla-catalog.csv through the metrics pipeline under the single retained name; drop or formally deprecate metric_catalog_v1 if it is confirmed to be a dead/duplicate table,"sql-readback.sql section 2.6 query chain, all four counts (working.fact_candidate kpi rows, metrics.metric_definition, metrics.metric_observation, consumption.metric_observation_v1) for tenant_key='airline-demo-new'; final count must be independently re-derived against the 420-row source","psql readback showing consumption.metric_observation_v1 row count > 0, and confirmation query showing consumption.metric_catalog_v1 either does not exist or is formally retired (not silently duplicating data)","metric_observation_v1 populated under its single governed name, independently re-verified against the 420-row source, before any KPI tile renders","Render 'Not measured' per metric exactly as the prototype already models undefined measures -- do not hide the KPI tile, show it as broken","consumption.metric_observation_v1 row count for airline-demo-new is > 0 with a documented ratio against the 420-row source, AND no second populated candidate table (metric_catalog_v1) exists after the fix"
aVa; Module handoffs; Brief; Explore; Decision readiness,aVa scope banner; aVa answer card; aVa refusal case; Handoff modal; Receiving-module confirmation; Module switcher; Programmes inventory table; Readiness quadrant scatter,"A versioned, citable packet of governed knowledge that aVa and every downstream module (Moves/Tower/Source/Intelligence) reads by reference, never by copy","publication.active_knowledge_baseline, consumption.* (all objects the packet cites)","knowledge_baseline_ref, domain_publication_versions, consumption_projection_versions, cube_semantic_model_version, accepted_fact_refs, relationship_edges, metric_query_hashes, evidence_refs, known_gaps, blocked_sources (per AVA_KNOWLEDGE_PACKET_MAPPING.xlsx)",One packet per tenant per target module per baseline,consumption.module_knowledge_packet_v1,"ProgramRiskControl.program_at_risk_count, ProgramRiskControl.decision_readiness_score (both read this table)",publication.active_knowledge_baseline + consumption.* -> consumption.module_knowledge_packet_v1,Every accepted_fact_ref/relationship_edge/evidence_ref inside the packet must independently resolve in its own source projection,Registered in CONSUMPTION_PROJECTION_REGISTRY.json (14th object); shape fully specified in AVA_KNOWLEDGE_PACKET_MAPPING.xlsx,Absent from the reported populated-object breakdown for airline-demo-new entirely (foundation-closure-authority-record-20260729.json's 12-object list does not include it) -- likely 0 rows or unbuilt,module_knowledge_packet_v1 is the connective tissue for every cross-module feature in the prototype and is unbuilt for this tenant. Building it before GAP-01/GAP-02 close would produce a packet that reports as 'populated' while citing broken evidence_gap_v1/metric_observation_v1 rows.,"Not applicable in the SD-01..SD-15 sense -- this is an unbuilt projection, not a broken pipeline stage; sequence its build AFTER GAP-01 and GAP-02","Build the packet-assembly job per module (Home, Source, Moves, Tower, Intelligence) using MODULE_CONSUMPTION_MAPPING.xlsx's allowed_sources per module. Sequence this AFTER the evidence_gap_v1 and metric_observation_v1 fixes above, not before.","New build job, not a reprocessing of existing broken data -- do not backfill from the currently-empty evidence_gap_v1/metric_observation_v1",For each target module: SELECT count(*) FROM consumption.module_knowledge_packet_v1 WHERE tenant_key='airline-demo-new' AND module_key=<module>; then independently verify every accepted_fact_ref/evidence_ref inside a sample packet resolves in its source table (packet hash + key-set parity per CONSUMPTION_RECONCILIATION_TEST_PLAN.md),"Packet row exists per module with all required header fields populated, AND a sample packet's cited facts are spot-checked to resolve in their source projections",module_knowledge_packet_v1 row exists for the active question context / target module with all required header fields populated,"'Knowledge packet not yet available for this tenant' -- aVa refuses to answer, handoff modal's Confirm action is disabled, rather than assembling an ungrounded response","module_knowledge_packet_v1 has >=1 row per target module (Home, Source, Moves, Tower, Intelligence) for airline-demo-new, built only after GAP-01 and GAP-02 close, with every cited ref independently spot-check-verified"
Explore,Infrastructure and cloud inventory table,Infrastructure/cloud platform inventory with cost and recovery objectives,knowledge.platform (already exists in Enterprise IA Sec 4 as a canonical object type),"platform_id, owner, hosting_model, criticality, run_cost, recovery_objective",One row per infrastructure platform per tenant per baseline,consumption.infrastructure_inventory_v1 (new -- does not exist),A new measure is needed; none of the 15 shipped Cube measures cover infrastructure/cloud,cloud-infrastructure-inventory.csv -> knowledge.platform -> publication.infrastructure_publication_v1 (new) -> consumption.infrastructure_inventory_v1 (new),Each platform row cites the source infrastructure-inventory extract,None -- no projection_name in CONSUMPTION_PROJECTION_REGISTRY.json corresponds to infrastructure/cloud at all,"cloud-infrastructure-inventory.csv measured at 10,000 rows (source-verified) -- the single largest source family in the entire 25-file corpus, with zero traceable downstream destination",SD-03: no projection found anywhere in the registry or the actual published object counts. Not a pipeline failure like SD-05/SD-06 -- there is no pipeline stage to debug because no destination was ever designed.,"Design/contract layer -- the projection was never specified, so nothing downstream can be 'broken' yet",Design and register a new consumption.infrastructure_inventory_v1 projection (source_publication: publication.infrastructure_publication_v1) and build the pipeline stage from cloud-infrastructure-inventory.csv through knowledge.platform to this new projection; add a corresponding Cube measure,"Full new pipeline build for this family -- there is nothing to migrate, this is greenfield within the existing architecture","After the projection is built: SELECT count(*) FROM consumption.infrastructure_inventory_v1 WHERE tenant_key='airline-demo-new'; independently re-derive against the 10,000-row cloud-infrastructure-inventory.csv source and state the row-count-to-source ratio explicitly",psql readback showing consumption.infrastructure_inventory_v1 populated and registered in CONSUMPTION_PROJECTION_REGISTRY.json,consumption.infrastructure_inventory_v1 registered with a real source_publication AND populated with a documented row-count ratio,Omit the table entirely -- do not show an empty grid with real column headers implying data exists,"consumption.infrastructure_inventory_v1 exists, is registered in CONSUMPTION_PROJECTION_REGISTRY.json with source_publication set, and has row count > 0 independently reconciled against the 10,000-row source"
Explore,Data products inventory table,Governed data-product inventory with stewardship and certification,knowledge.data_product,"data_product_id, domain, steward, certification_state, sensitivity, consumer_count, refresh_cadence",One row per data product per tenant per baseline,"consumption.data_product_inventory_v1 (physically exists, populated, NOT governed)",DataAnalyticsEstate.data_product_count,CANONICAL_TO_PUBLICATION_MAPPING.xlsx confirms knowledge.data_product -> publication.data_publication_v1 -> consumption.domain_summary_v1 (NOT data_product_inventory_v1) -- the mapping doc and the live table disagree,Each data product cites its source data-product register row,consumption.data_product_inventory_v1 is read live by the shipped Cube model (DataAnalyticsEstate.sql_table) but is NOT one of the 14 objects declared in CONSUMPTION_PROJECTION_REGISTRY.json,"1,250 source data-product rows per the governed mapping doc; the actual live table has 6,580 rows, a 5.26x multiplier with no documented transformation","SD-04: contract drift. The governed mapping says data products land in domain_summary_v1; the Cube model and the closure record actually read a different, undeclared, larger table.",Governance/registry layer -- the data itself is populated and Cube-readable; the defect is that CONSUMPTION_PROJECTION_REGISTRY.json was never updated to match what was actually built,"Reconcile the 1,250-row mapping-doc figure against the table's actual 6,580 rows -- determine whether 6,580 represents a legitimate finer grain (e.g. per data-product-per-consumer) with a documented transformation, or whether the table is simply wrong. THEN either register consumption.data_product_inventory_v1 in CONSUMPTION_PROJECTION_REGISTRY.json with the correct source_publication and grain, or redirect the Cube model to read domain_summary_v1 as originally mapped.","None if the 6,580-row table is confirmed correct at its own grain -- registration only. Reprocessing required only if the table is found to be wrong.","SELECT count(*) FROM consumption.data_product_inventory_v1 WHERE tenant_key='airline-demo-new' (already known: 6,580); cross-check against 1,250 source data-product rows and produce a documented, defensible transformation ratio, or correct the table","A documented, reviewed explanation of the 1,250-to-6,580 relationship, plus the registry amendment merged",data_product_inventory_v1 registered in CONSUMPTION_PROJECTION_REGISTRY.json with a real source_publication before this table renders as governed,'Data products view pending governance registration' -- do not render from the ungoverned table even though it has real rows,"consumption.data_product_inventory_v1 appears in CONSUMPTION_PROJECTION_REGISTRY.json with source_publication set AND the 1,250-vs-6,580 discrepancy is either explained with a documented transformation or resolved by correcting the table"
Explore,Integrations inventory table,Point-to-point integration inventory between systems,No canonical object confirmed for integrations specifically -- may fold into relationship_assertion,"integration_id, source_system_ref, target_system_ref, pattern, criticality, message_volume",One row per integration per tenant per baseline,None confirmed; audit states 'possibly folds into relationship_edge_v1 -- Unverified',"TechnologyEstate.integration_count -- but its shipped SQL overrides sql_table to consumption.relationship_edge_v1, NOT consumption.technology_estate_v1, despite the model's own name",integration-middleware-inventory.csv -> unknown destination,Not established,"consumption.technology_estate_v1 exists and is populated (1,405 rows) but is NOT registered in CONSUMPTION_PROJECTION_REGISTRY.json, and its row count is identical to application_inventory_v1's, suggesting it may be a denormalized copy rather than a distinct object","6,200 source integration rows; designed destination 'none confirmed'; actual published count 'possibly folds into relationship_edge_v1' per the lineage audit's own source-family matrix -- unverified either way","No confirmed governed destination for the integrations family, AND a second, unrelated ambiguity: technology_estate_v1's identity (distinct object vs. denormalized application_inventory_v1 copy) is unresolved","Design/contract layer for integrations (never specified); governance layer for technology_estate_v1 (never registered, identity unconfirmed)","Part A: determine whether the 6,200 integration rows fold into relationship_edge_v1 (filtered to integrates_with/feeds/depends_on types) with a documented, row-count-proven transformation, or need their own new projection. Part B: separately, run SELECT count(*), count(DISTINCT payload) FROM consumption.technology_estate_v1 WHERE tenant_key='airline-demo-new' and compare row-by-row against consumption.application_inventory_v1 to confirm or rule out the denormalized-copy hypothesis; register or retire accordingly.","Depends on Part A's outcome -- either a new projection build, or a documented fold-and-register of existing relationship_edge_v1 data","For Part A: COUNT(relationship_edge_v1 WHERE relationship_type_ref IN ('integrates_with','feeds','depends_on')) vs. 6,200-row integration source. For Part B: row-level diff between technology_estate_v1 and application_inventory_v1 for a sample of tenant rows.","Documented resolution of both Part A and Part B, with either a registered new projection or a documented fold, and technology_estate_v1 either registered with proven distinct lineage or formally retired",A governed integration projection (new or proven fold) exists before this table renders,Omit the table; do not substitute technology_estate_v1's unexplained row count as a stand-in,"Either a new consumption.integration_inventory_v1 is registered with a source-proven row count, or relationship_edge_v1's fold is documented and row-count-verified against the 6,200-row source; AND technology_estate_v1's identity question is resolved one way or the other"
Brief; Evidence & gaps,Goals; Decision quadrant lanes; Decision-readiness summary tiles; Decisions-and-what-closes-them list,"A single, deterministically-derived 5-value readiness classification (Decision-ready / Directional / Blocked-missing-input / Blocked-sources-disagree / Not assessed) usable across every Brief and Evidence surface",No existing object -- new enum needed on baseline_metadata or a derived rollup object,"readiness_state enum (5 values), derivation_rule_ref",Per goal / per decision / per domain rollup,"A new derived rollup, downstream of GAP-01/GAP-02/GAP-06",None currently -- would need a new Cube dimension once ratified,"Derived from authority_state + evidence_gap_v1 severity + metric_observation_v1 availability, not a raw source field","Readiness classification must be re-derivable from its inputs on demand, never hand-set",baseline_metadata defines authority_state / freshness_state / availability_state -- none of the three maps 1:1 onto this 5-value taxonomy,Not applicable,"Structural gap: the enum used throughout the prototype's UI (readiness tiles, goal cards, decision lanes) does not exist anywhere in the registry or field contract. This is a canonical-model gap, not a pipeline defect -- no re-run closes it.",Canonical model (Layer 3) -- the taxonomy was never ratified,"This is primarily a ratification task for the canonical-model owner, not a Codex data-plane fix per se. Once ratified: build the derivation query joining authority_state, evidence_gap_v1.severity/status, and metric_observation_v1.availability_state into the 5-value output. Do NOT build this derivation before GAP-01 and GAP-02 close, since its two loudest inputs are currently broken.","New derived view once the enum is ratified and its upstream data (GAP-01, GAP-02) is real","Spot-check the derivation rule against a known case: e.g. a goal blocked solely by an evidence_gap_v1 row should classify 'Blocked -- missing input', not 'Directional'","Ratified enum definition merged to the Enterprise Information Architecture doc, plus a working derivation query proven against real (non-zero) evidence_gap_v1/metric_observation_v1 data","Readiness taxonomy ratified in the canonical model AND its input data (evidence_gap_v1, metric_observation_v1) resolves cleanly",Omit readiness tiles/labels entirely rather than compute them client-side from partial data,"The 5-value enum is ratified in docs/architecture/ENTERPRISE_INFORMATION_ARCHITECTURE.md, a derivation query exists and is proven against real GAP-01/GAP-02-fixed data, and no UI component hand-sets a readiness value"
Evidence & gaps; Brief,Decisions-and-what-closes-them list; Contradictions list; Decision quadrant lanes,"Trackable executive decisions and trackable disagreements between accepted sources, each with an owner and a defined closing condition","New canonical objects: Decision (DEC-001 series), Contradiction (CTR-001 series)","Decision: decision_id, title, owner, readiness_state, closes_on_gap_ids[]. Contradiction: contradiction_id, statement_a, statement_a_source_ref, statement_b, statement_b_source_ref, owner, opened_date, downstream_effect_text",One row per named decision / one row per named contradiction per tenant,"consumption.decision_readiness_v1 (new), consumption.contradiction_v1 (new) -- both depend on the canonical objects being ratified first",None currently defined,Decision -> blocked_by -> evidence_gap_v1; Contradiction -> contests -> Fact | Metric | RelationshipAssertion,Both sides of a contradiction must independently resolve to authority_state=accepted sources,None -- Enterprise IA's Layer 3 object table has no Decision or Contradiction object type,Not applicable,"Structural gap. availability_state already includes a 'conflicting' value, but no object records the PAIR of conflicting statements, their owner, and what they block -- a real, already-found instance of exactly this shape (SD-02, service_tower disagreeing between an application row and its own linked contract row) has nowhere governed to be tracked as a named contradiction with an owner and a deadline.",Canonical model (Layer 3),Ratify Decision and Contradiction as canonical object types with the relationship verbs blocked_by/contests/advances (canonical-model owner action). Then build the two consumption projections following the standard baseline_metadata pattern used by every other object in the registry.,New object types -- no reprocessing of existing broken data; SD-02 can seed the first real Contradiction row once the object exists,Once built: verify SD-02's specific application-vs-contract service_tower disagreement can be represented as a real Contradiction row with both source refs resolving,Canonical object ratification merged; at least one real Contradiction row (e.g. SD-02's case) populated and rendering correctly,"Decision/Contradiction object types ratified AND their upstream data (evidence_gap_v1 for Decision, two independently-accepted sources for Contradiction) resolves",Omit both lists entirely rather than hand-author decision/contradiction text disconnected from real gaps,"Decision and Contradiction object types are ratified in the Enterprise IA doc, both consumption projections exist, and SD-02's real disagreement is representable as a populated Contradiction row"
Relationships; Current versus target; Brief,Current-vs-target overlay toggle; Compare canvas; Goals,A single field pair distinguishing current-state from target-state (and proposed-vs-approved target) on any object that needs it,Extension to relationship_node_v1 / relationship_edge_v1 (and any object needing current/target pairing),"state_scope: enum(current, target); target_approval_state: enum(proposed, approved) | null","Two rows (current + target) per compared entity, joined by a 'replaces' relationship, never one row mutated in place","consumption.relationship_node_v1, consumption.relationship_edge_v1 (extend, do not replace)",None currently -- would enable future current-vs-target Cube dimensions,"Same source lineage as the base node/edge objects, with the new fields carried through publication",Target rows need their own evidence distinct from current-state evidence; approved targets need a stricter evidence bar than proposed ones,"Neither field exists anywhere in the registry, field contract, or Enterprise IA object model",Not applicable,"Structural gap. This single field pair is the highest-leverage fix in the whole package -- it unblocks 3+ matrix rows across 3 different review areas (Relationships, Current versus target, Brief) simultaneously.",Canonical model (Layer 3) / field contract,Add state_scope and target_approval_state fields to relationship_node_v1 and relationship_edge_v1's schema and to CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx. Add the 'replaces' relationship verb to the canonical dictionary. Populate for at least one real current/target comparison as a proof case before declaring this closed.,Additive schema change (expand/contract per POLICY_VERSION discipline) -- existing rows default to state_scope=current; no destructive rewrite,"For one proof-case entity: verify a target-state row exists, is joined to its current-state counterpart via 'replaces', and target_approval_state is set correctly","Schema amendment merged, plus one real current/target pair populated and rendering in both the Relationships graph and the Current-vs-target compare canvas",state_scope/target_approval_state fields ratified and populated for both sides of at least one real comparison,Disable the current/target overlay toggle; show current-state graph only until target-state fields exist,"state_scope and target_approval_state fields exist on relationship_node_v1/edge_v1, are documented in the field contract, and at least one real current/target pair is populated and independently verified to render correctly in both affected UI surfaces"
Relationships,Graph canvas nodes; Graph canvas edges; Relationship list view; Graph legend,"A trust flag distinguishing catalog-backed relationship endpoints from free-text-label-only endpoints, so the UI (and aVa) never treats a meaningless node as equivalent evidence to a governed one",Extension to relationship_node_v1 / relationship_edge_v1,endpoint_catalog_backed: boolean,Per node / per edge,"consumption.relationship_node_v1, consumption.relationship_edge_v1 (extend)","RelationshipGraph.accepted_relationship_count should exclude endpoint_catalog_backed=false rows once this field exists, or report them as a separate sub-count","Derived from whether the source object_type (capability, service_tower, etc.) has a real ID-backed catalog anywhere in the source corpus",A node/edge with endpoint_catalog_backed=false must not be presented with the same visual/evidentiary weight as one that is true,"Field does not exist; the 34,534 nodes / 16,605 edges published today make no such distinction","3,000 of 60,000 source relationship rows originate from a free-text capability field (SD-08); 9,000 more from service_tower labels, internally consistent but not ID-backed (SD-14). Whether either subset reached the accepted 16,605 published edges is UNCONFIRMED.","SD-08 (critical: no backing catalog at all for capability) and SD-14 (medium: service_tower labels are at least internally consistent) both describe endpoints with no real identity behind them, exactly the 'relationship graphs with meaningless nodes/edges' failure mode this whole document category exists to catch.",Source-data layer (no capability/service_tower catalog exists in the 25-file corpus) combined with a missing schema field to even flag the condition,"Run sql-readback.sql query 2.7 (working.relationship_candidate WHERE from_object_type='capability' GROUP BY review_state) to determine whether the 3,000 capability-origin rows were accepted or deferred. If accepted, either build a real capability catalog with real IDs, or exclude these edges from authority_state=accepted going forward. Add the endpoint_catalog_backed field and backfill it false for capability/service_tower-origin rows until a catalog exists.",Backfill endpoint_catalog_backed on existing published rows; potentially re-review and exclude the capability-origin subset from accepted if query 2.7 confirms they were accepted without a catalog,sql-readback.sql query 2.7 exactly as written; then COUNT(relationship_edge_v1 WHERE endpoint_catalog_backed=false AND authority_state='accepted') must equal 0 after the fix,"Query 2.7's output showing the accept/defer split for capability-origin rows, plus a post-fix count confirming zero unbacked-but-accepted edges",endpoint_catalog_backed field populated for all nodes/edges before the graph legend's 'Accepted' promise can be trusted,"Render capability/service_tower-origin nodes, if shown at all, visually distinct as 'unverified label, no catalog entry'","endpoint_catalog_backed field exists and is populated for all published nodes/edges, query 2.7's accept/defer finding is documented, and COUNT(*) WHERE endpoint_catalog_backed=false AND authority_state='accepted' = 0"
