entity_id,entity_name,entity_type,industry,employee_count,primary_system,risk_tier,notes
SHA-AIR,SkyHarbor Air,enterprise,Airline,,AWS target and mixed current estate; production readiness not proven by this candidate pack,synthetic_demo_manifest_gated,"existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring. Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-OCC,OCC disruption management console,system,Airline,,SHA-VEN-OPS,critical,"OCC disruption management console supports disruption events; station actions; recovery playbooks; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-FLIGHTOPS,Flight operations dispatch platform,system,Airline,,SHA-VEN-FLIGHTOPS,critical,"Flight operations dispatch platform supports flight plans; release amendments; operational constraints; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-CREW,Crew scheduling and legality platform,system,Airline,,SHA-VEN-CREW,critical,"Crew scheduling and legality platform supports pairings; legality; reserve assignment; crew recovery; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-PSS,Passenger service system,system,Airline,,SHA-VEN-PSS,critical,"Passenger service system supports PNR state; disruption handling; customer itinerary; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-MAINFRAME,IBM Z core operations mainframe,system,Airline,,SHA-VEN-IBM,critical,"IBM Z core operations mainframe supports core transaction records; schedule and settlement extracts; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-MQ,IBM MQ / integration backbone,system,Airline,,SHA-VEN-IBM,critical,"IBM MQ / integration backbone supports operational event exchange; batch and near-real-time feeds; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-SAP,SAP finance and procurement,system,Airline,,SHA-VEN-SAP,high,"SAP finance and procurement supports GL; vendor spend; procurement approvals; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-SERVICE,ServiceNow technology service management,system,Airline,,SHA-VEN-SERVICENOW,high,"ServiceNow technology service management supports incident history; change calendar; problem records; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-DATA,Airline operations data lake candidate,system,Airline,,SHA-VEN-AWS,high,"Airline operations data lake candidate supports candidate event spine; not certified for AI consumption; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-SNOWFLAKE,Snowflake analytics estate,system,Airline,,SHA-VEN-SNOWFLAKE,medium,"Snowflake analytics estate supports curated reporting data; quality and lineage not certified; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-TABLEAU,Tableau operational dashboards,system,Airline,,SHA-VEN-TABLEAU,medium,"Tableau operational dashboards supports OCC dashboards; executive KPI packs; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-SYS-SALESFORCE,Salesforce customer service platform,system,Airline,,SHA-VEN-SALESFORCE,high,"Salesforce customer service platform supports customer case history; disruption contacts; gaps: Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
SHA-VEN-IBM,IBM,vendor,Airline,,Technology,Mainframe dependency and modernization sequencing risk; contract values not loaded,SHA-SYS-MAINFRAME; SHA-SYS-MQ
SHA-VEN-AWS,Amazon Web Services,vendor,Airline,,Technology,Cloud/data foundation readiness not proven,SHA-SYS-AWS; SHA-SYS-DATA
SHA-VEN-SAP,SAP,vendor,Airline,,Finance,Finance baseline linkage needed before Tower value claims,SHA-SYS-SAP
SHA-VEN-SERVICENOW,ServiceNow,vendor,Airline,,Technology Operations,Incident/change evidence usable only as planning-grade until source owner validates,SHA-SYS-SERVICE
SHA-VEN-SALESFORCE,Salesforce,vendor,Airline,,Customer Operations,Customer experience uplift cannot be claimed without baseline and adoption evidence,SHA-SYS-SALESFORCE
SHA-VEN-PSS,PSS vendor,vendor,Airline,,Customer Operations,Vendor identity and contract economics not loaded,SHA-SYS-PSS
SHA-VEN-CREW,Crew platform vendor,vendor,Airline,,Crew Operations,Crew legality automation readiness not proven,SHA-SYS-CREW
SHA-VEN-FLIGHTOPS,Flight operations platform vendor,vendor,Airline,,Flight Operations,Flight operations AI workflow not proven,SHA-SYS-FLIGHTOPS
