evidence_key,evidence_title,source_file,source_owner,domain,risk_flag,excerpt,review_status
SHA-EVID-001,SkyHarbor existing-tenant V6 substrate,datasets/skyharbor-air-synthetic-v6,AbarVa synthetic data steward,existing_tenant_dataset,false,"SkyHarbor existing-tenant V6 substrate. Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",synthetic_demo_manifest_gated
SHA-EVID-002,Generated SkyHarbor V7 upgrade candidate,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,generated_dataset,false,"Generated SkyHarbor V7 upgrade candidate. Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",synthetic_demo_manifest_gated
SHA-EVID-003,SkyHarbor upgrade proof prompt,Codex thread prompt 2026-07-10,AbarVa operator,operator_prompt,false,"SkyHarbor upgrade proof prompt. Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",synthetic_demo_manifest_gated
SHA-EVID-004,V7 derivation anti-boilerplate quality gate,out/skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa QA,validation_report,false,"V7 derivation anti-boilerplate quality gate. Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",synthetic_demo_manifest_gated
SHA-MOVE-001-F1,Moves finding: IROPS AI recovery cockpit,OCC disruption management console,AbarVa synthetic data steward,disruption events,true,OCC disruption management console and disruption events evidence show a blocker for IROPS AI recovery cockpit: No approved disruption recovery baseline. Operations cannot treat disruption events as decision-grade for IROPS AI recovery cockpit until no approved disruption recovery baseline is closed with named evidence.,medium
SHA-MOVE-001-F2,Moves finding: IROPS AI recovery cockpit,Flight operations dispatch platform,AbarVa synthetic data steward,flight status,true,Flight operations dispatch platform and flight status evidence show a blocker for IROPS AI recovery cockpit: No certified operational event spine. Operations cannot treat flight status as decision-grade for IROPS AI recovery cockpit until no certified operational event spine is closed with named evidence.,medium
SHA-MOVE-001-F3,Moves finding: IROPS AI recovery cockpit,Crew scheduling and legality platform,AbarVa synthetic data steward,crew legality,true,Crew scheduling and legality platform and crew legality evidence show a blocker for IROPS AI recovery cockpit: Crew legality control evidence not loaded. Operations cannot treat crew legality as decision-grade for IROPS AI recovery cockpit until crew legality control evidence not loaded is closed with named evidence.,medium
SHA-MOVE-001-F4,Moves finding: IROPS AI recovery cockpit,Passenger service system,AbarVa synthetic data steward,customer reaccommodation,true,Passenger service system and customer reaccommodation evidence show a blocker for IROPS AI recovery cockpit: Customer reaccommodation SLA not validated. Operations cannot treat customer reaccommodation as decision-grade for IROPS AI recovery cockpit until customer reaccommodation sla not validated is closed with named evidence.,medium
SHA-MOVE-002-F1,Moves finding: Crew recovery decision support,Crew scheduling and legality platform,AbarVa synthetic data steward,crew pairings,true,Crew scheduling and legality platform and crew pairings evidence show a blocker for Crew recovery decision support: Legality rules owner not signed off. Crew Operations cannot treat crew pairings as decision-grade for Crew recovery decision support until legality rules owner not signed off is closed with named evidence.,medium
SHA-MOVE-002-F2,Moves finding: Crew recovery decision support,OCC disruption management console,AbarVa synthetic data steward,legality constraints,true,OCC disruption management console and legality constraints evidence show a blocker for Crew recovery decision support: Crew mobile feedback not loaded. Crew Operations cannot treat legality constraints as decision-grade for Crew recovery decision support until crew mobile feedback not loaded is closed with named evidence.,medium
