tenant_key,layer,expected,observed,status
skyharbor-air,source registry,20,20,ready_for_candidate_load
skyharbor-air,canonical records,4840,4840,ready_for_candidate_load
skyharbor-air,canonical facts,9680,9680,ready_for_candidate_load
skyharbor-air,evidence,140,140,ready_for_candidate_load
skyharbor-air,graph nodes,1600,1600,ready_for_candidate_load
skyharbor-air,graph edges,2600,2600,ready_for_candidate_load
skyharbor-air,retrieval chunks,4600,4600,candidate_preview_only
skyharbor-air,home read model,19,19,candidate_preview_only
skyharbor-air,tower read model,1,1,candidate_preview_only
skyharbor-air,moves/source handoff,24,24,candidate_preview_only
