tenant_key,candidate_contract_version,load_run_id,target_table,planned_rows,write_status
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.tenant_pack_runs,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.source_files,20,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_sources,20,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_source_files,20,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.data_ingestion_runs,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.pilot_ingestion_file_manifests,20,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.pilot_ingestion_load_commits,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.business_records,4840,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.record_fields,9680,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_records,4840,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_facts,9680,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_evidence,140,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_quality_issues,2100,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_stewardship_tasks,2100,dry_run_not_written
