proposal_id,lot_id,bidder_public_reference,solution_summary,transformation_claim,commercial_posture,source_id
BID-AIRDN-A-LOT-AIRDN-01,LOT-AIRDN-01,NorthStar Managed Technology,NorthStar Managed Technology proposes airline operations ams with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-01
BID-AIRDN-B-LOT-AIRDN-01,LOT-AIRDN-01,Altimeter Global Services,Altimeter Global Services proposes airline operations ams with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-01
BID-AIRDN-C-LOT-AIRDN-01,LOT-AIRDN-01,Waypoint Digital Operations,Waypoint Digital Operations proposes airline operations ams with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-01
BID-AIRDN-A-LOT-AIRDN-02,LOT-AIRDN-02,NorthStar Managed Technology,NorthStar Managed Technology proposes mainframe and legacy operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-02
BID-AIRDN-B-LOT-AIRDN-02,LOT-AIRDN-02,Altimeter Global Services,Altimeter Global Services proposes mainframe and legacy operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-02
BID-AIRDN-C-LOT-AIRDN-02,LOT-AIRDN-02,Waypoint Digital Operations,Waypoint Digital Operations proposes mainframe and legacy operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-02
BID-AIRDN-A-LOT-AIRDN-03,LOT-AIRDN-03,NorthStar Managed Technology,NorthStar Managed Technology proposes sap corporate platforms with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-03
BID-AIRDN-B-LOT-AIRDN-03,LOT-AIRDN-03,Altimeter Global Services,Altimeter Global Services proposes sap corporate platforms with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-03
BID-AIRDN-C-LOT-AIRDN-03,LOT-AIRDN-03,Waypoint Digital Operations,Waypoint Digital Operations proposes sap corporate platforms with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-03
BID-AIRDN-A-LOT-AIRDN-04,LOT-AIRDN-04,NorthStar Managed Technology,NorthStar Managed Technology proposes data platform and analytics with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-04
