application_id,application_name,family,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,rto_rpo,evidence_gap,roadmap_disposition
APP-AIRDN-0001,Flight operations and IROPS 001,Flight operations and IROPS,Operations Control,regional duplicate,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-002,CONT-AIRDN-0002,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0002,Flight operations and IROPS 002,Flight operations and IROPS,Flight Operations,acquired-carrier inherited system,private cloud,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-003,CONT-AIRDN-0003,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0003,Flight operations and IROPS 003,Flight operations and IROPS,Crew Operations,end-of-life application,mainframe z/OS,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-004,CONT-AIRDN-0004,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0004,Flight operations and IROPS 004,Flight operations and IROPS,Airport Operations,shadow IT,AWS workload,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-005,CONT-AIRDN-0005,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0005,Flight operations and IROPS 005,Flight operations and IROPS,Passenger Service,custom Java/.NET,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-006,CONT-AIRDN-0006,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0006,Flight operations and IROPS 006,Flight operations and IROPS,Operations Control,mainframe workload,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-007,CONT-AIRDN-0007,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0007,Flight operations and IROPS 007,Flight operations and IROPS,Flight Operations,SAP module,private cloud,Kafka/event streaming,DR,critical,Airline Operations AMS,VEND-AIRDN-008,CONT-AIRDN-0008,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0008,Flight operations and IROPS 008,Flight operations and IROPS,Crew Operations,SaaS product,mainframe z/OS,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-009,CONT-AIRDN-0009,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0009,Flight operations and IROPS 009,Flight operations and IROPS,Airport Operations,operationally critical airline product,AWS workload,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-010,CONT-AIRDN-0010,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0010,Flight operations and IROPS 010,Flight operations and IROPS,Passenger Service,low-use high-risk legacy,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-011,CONT-AIRDN-0011,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0011,Flight operations and IROPS 011,Flight operations and IROPS,Operations Control,strategic platform,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-012,CONT-AIRDN-0012,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0012,Flight operations and IROPS 012,Flight operations and IROPS,Flight Operations,regional duplicate,private cloud,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-013,CONT-AIRDN-0013,RTO 4-12 hrs / RPO same day,interface evidence needed,current
APP-AIRDN-0013,Flight operations and IROPS 013,Flight operations and IROPS,Crew Operations,acquired-carrier inherited system,mainframe z/OS,API gateway/iPaaS,production,high,Airline Operations AMS,VEND-AIRDN-014,CONT-AIRDN-0014,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0014,Flight operations and IROPS 014,Flight operations and IROPS,Airport Operations,end-of-life application,AWS workload,Java/.NET custom,DR,critical,Airline Operations AMS,VEND-AIRDN-015,CONT-AIRDN-0015,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0015,Flight operations and IROPS 015,Flight operations and IROPS,Passenger Service,shadow IT,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-016,CONT-AIRDN-0016,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0016,Flight operations and IROPS 016,Flight operations and IROPS,Operations Control,custom Java/.NET,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-017,CONT-AIRDN-0017,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0017,Flight operations and IROPS 017,Flight operations and IROPS,Flight Operations,mainframe workload,private cloud,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-018,CONT-AIRDN-0018,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0018,Flight operations and IROPS 018,Flight operations and IROPS,Crew Operations,SAP module,mainframe z/OS,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-019,CONT-AIRDN-0019,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0019,Flight operations and IROPS 019,Flight operations and IROPS,Airport Operations,SaaS product,AWS workload,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-020,CONT-AIRDN-0020,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0020,Flight operations and IROPS 020,Flight operations and IROPS,Passenger Service,operationally critical airline product,hybrid,mainframe batch scheduler,pre-production,critical,Airline Operations AMS,VEND-AIRDN-021,CONT-AIRDN-0021,RTO 4-12 hrs / RPO same day,source-backed candidate,modernize
APP-AIRDN-0021,Flight operations and IROPS 021,Flight operations and IROPS,Operations Control,low-use high-risk legacy,owned data center,Kafka/event streaming,DR,critical,Airline Operations AMS,VEND-AIRDN-022,CONT-AIRDN-0022,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0022,Flight operations and IROPS 022,Flight operations and IROPS,Flight Operations,strategic platform,private cloud,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-023,CONT-AIRDN-0023,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0023,Flight operations and IROPS 023,Flight operations and IROPS,Crew Operations,regional duplicate,mainframe z/OS,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-024,CONT-AIRDN-0024,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0024,Flight operations and IROPS 024,Flight operations and IROPS,Airport Operations,acquired-carrier inherited system,AWS workload,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-025,CONT-AIRDN-0025,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0025,Flight operations and IROPS 025,Flight operations and IROPS,Passenger Service,end-of-life application,hybrid,mainframe batch scheduler,pre-production,critical,Airline Operations AMS,VEND-AIRDN-026,CONT-AIRDN-0026,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0026,Flight operations and IROPS 026,Flight operations and IROPS,Operations Control,shadow IT,owned data center,Kafka/event streaming,production,high,Airline Operations AMS,VEND-AIRDN-027,CONT-AIRDN-0027,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0027,Flight operations and IROPS 027,Flight operations and IROPS,Flight Operations,custom Java/.NET,private cloud,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-028,CONT-AIRDN-0028,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0028,Flight operations and IROPS 028,Flight operations and IROPS,Crew Operations,mainframe workload,mainframe z/OS,Java/.NET custom,DR,critical,Airline Operations AMS,VEND-AIRDN-029,CONT-AIRDN-0029,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0029,Flight operations and IROPS 029,Flight operations and IROPS,Airport Operations,SAP module,AWS workload,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-030,CONT-AIRDN-0030,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0030,Flight operations and IROPS 030,Flight operations and IROPS,Passenger Service,SaaS product,hybrid,mainframe batch scheduler,pre-production,critical,Airline Operations AMS,VEND-AIRDN-031,CONT-AIRDN-0031,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,modernize
APP-AIRDN-0031,Flight operations and IROPS 031,Flight operations and IROPS,Operations Control,operationally critical airline product,owned data center,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-032,CONT-AIRDN-0032,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0032,Flight operations and IROPS 032,Flight operations and IROPS,Flight Operations,low-use high-risk legacy,private cloud,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-033,CONT-AIRDN-0033,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0033,Flight operations and IROPS 033,Flight operations and IROPS,Crew Operations,strategic platform,mainframe z/OS,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-034,CONT-AIRDN-0034,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0034,Flight operations and IROPS 034,Flight operations and IROPS,Airport Operations,regional duplicate,AWS workload,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-035,CONT-AIRDN-0035,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0035,Flight operations and IROPS 035,Flight operations and IROPS,Passenger Service,acquired-carrier inherited system,hybrid,Kafka/event streaming,DR,critical,Airline Operations AMS,VEND-AIRDN-036,CONT-AIRDN-0036,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0036,Flight operations and IROPS 036,Flight operations and IROPS,Operations Control,end-of-life application,owned data center,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-037,CONT-AIRDN-0037,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0037,Flight operations and IROPS 037,Flight operations and IROPS,Flight Operations,shadow IT,private cloud,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-038,CONT-AIRDN-0038,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0038,Flight operations and IROPS 038,Flight operations and IROPS,Crew Operations,custom Java/.NET,mainframe z/OS,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-039,CONT-AIRDN-0039,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0039,Flight operations and IROPS 039,Flight operations and IROPS,Airport Operations,mainframe workload,AWS workload,mainframe batch scheduler,production,high,Airline Operations AMS,VEND-AIRDN-040,CONT-AIRDN-0040,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0040,Flight operations and IROPS 040,Flight operations and IROPS,Passenger Service,SAP module,hybrid,Kafka/event streaming,pre-production,critical,Airline Operations AMS,VEND-AIRDN-041,CONT-AIRDN-0041,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0041,Flight operations and IROPS 041,Flight operations and IROPS,Operations Control,SaaS product,owned data center,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-042,CONT-AIRDN-0042,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0042,Flight operations and IROPS 042,Flight operations and IROPS,Flight Operations,operationally critical airline product,private cloud,Java/.NET custom,DR,critical,Airline Operations AMS,VEND-AIRDN-043,CONT-AIRDN-0043,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0043,Flight operations and IROPS 043,Flight operations and IROPS,Crew Operations,low-use high-risk legacy,mainframe z/OS,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-044,CONT-AIRDN-0044,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
