program_id,program_name,owning_function,phase,business_outcome,benefit_disclosure_mode,dependency_family
PROG-AIRDN-001,Crew recovery program 001,Operations Control,P1 charter,operational resilience,range,DATA-AIRDN dependency family
PROG-AIRDN-002,MRO modernization program 002,Crew Operations,P2 discovery,customer recovery,indexed,CONT-AIRDN dependency family
PROG-AIRDN-003,Digital servicing program 003,Technical Operations,P3 option,supplier leverage,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-004,ERP coexistence program 004,Airport Operations,P4 plan,data readiness,withheld,APP-AIRDN dependency family
PROG-AIRDN-005,Data foundation program 005,Passenger Service,P5 execute,risk reduction,exact,DATA-AIRDN dependency family
PROG-AIRDN-006,Cloud migration program 006,Commercial,P0 idea,cost transparency,range,CONT-AIRDN dependency family
PROG-AIRDN-007,Security uplift program 007,Cargo,P1 charter,operational resilience,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-008,Sourcing transformation program 008,Corporate Finance,P2 discovery,customer recovery,trend-only,APP-AIRDN dependency family
PROG-AIRDN-009,Station tech program 009,Procurement,P3 option,supplier leverage,withheld,DATA-AIRDN dependency family
PROG-AIRDN-010,Ops resilience program 010,Technology,P4 plan,data readiness,exact,CONT-AIRDN dependency family
PROG-AIRDN-011,Crew recovery program 011,Data and AI,P5 execute,risk reduction,range,INFRA-AIRDN dependency family
PROG-AIRDN-012,MRO modernization program 012,Cybersecurity,P0 idea,cost transparency,indexed,APP-AIRDN dependency family
PROG-AIRDN-013,Digital servicing program 013,Workplace,P1 charter,operational resilience,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-014,ERP coexistence program 014,Service Management,P2 discovery,customer recovery,withheld,CONT-AIRDN dependency family
PROG-AIRDN-015,Data foundation program 015,Flight Operations,P3 option,supplier leverage,exact,INFRA-AIRDN dependency family
PROG-AIRDN-016,Cloud migration program 016,Operations Control,P4 plan,data readiness,range,APP-AIRDN dependency family
PROG-AIRDN-017,Security uplift program 017,Crew Operations,P5 execute,risk reduction,indexed,DATA-AIRDN dependency family
PROG-AIRDN-018,Sourcing transformation program 018,Technical Operations,P0 idea,cost transparency,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-019,Station tech program 019,Airport Operations,P1 charter,operational resilience,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-020,Ops resilience program 020,Passenger Service,P2 discovery,customer recovery,exact,APP-AIRDN dependency family
PROG-AIRDN-021,Crew recovery program 021,Commercial,P3 option,supplier leverage,range,DATA-AIRDN dependency family
PROG-AIRDN-022,MRO modernization program 022,Cargo,P4 plan,data readiness,indexed,CONT-AIRDN dependency family
PROG-AIRDN-023,Digital servicing program 023,Corporate Finance,P5 execute,risk reduction,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-024,ERP coexistence program 024,Procurement,P0 idea,cost transparency,withheld,APP-AIRDN dependency family
PROG-AIRDN-025,Data foundation program 025,Technology,P1 charter,operational resilience,exact,DATA-AIRDN dependency family
PROG-AIRDN-026,Cloud migration program 026,Data and AI,P2 discovery,customer recovery,range,CONT-AIRDN dependency family
PROG-AIRDN-027,Security uplift program 027,Cybersecurity,P3 option,supplier leverage,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-028,Sourcing transformation program 028,Workplace,P4 plan,data readiness,trend-only,APP-AIRDN dependency family
PROG-AIRDN-029,Station tech program 029,Service Management,P5 execute,risk reduction,withheld,DATA-AIRDN dependency family
PROG-AIRDN-030,Ops resilience program 030,Flight Operations,P0 idea,cost transparency,exact,CONT-AIRDN dependency family
PROG-AIRDN-031,Crew recovery program 031,Operations Control,P1 charter,operational resilience,range,INFRA-AIRDN dependency family
PROG-AIRDN-032,MRO modernization program 032,Crew Operations,P2 discovery,customer recovery,indexed,APP-AIRDN dependency family
PROG-AIRDN-033,Digital servicing program 033,Technical Operations,P3 option,supplier leverage,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-034,ERP coexistence program 034,Airport Operations,P4 plan,data readiness,withheld,CONT-AIRDN dependency family
PROG-AIRDN-035,Data foundation program 035,Passenger Service,P5 execute,risk reduction,exact,INFRA-AIRDN dependency family
PROG-AIRDN-036,Cloud migration program 036,Commercial,P0 idea,cost transparency,range,APP-AIRDN dependency family
PROG-AIRDN-037,Security uplift program 037,Cargo,P1 charter,operational resilience,indexed,DATA-AIRDN dependency family
PROG-AIRDN-038,Sourcing transformation program 038,Corporate Finance,P2 discovery,customer recovery,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-039,Station tech program 039,Procurement,P3 option,supplier leverage,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-040,Ops resilience program 040,Technology,P4 plan,data readiness,exact,APP-AIRDN dependency family
PROG-AIRDN-041,Crew recovery program 041,Data and AI,P5 execute,risk reduction,range,DATA-AIRDN dependency family
PROG-AIRDN-042,MRO modernization program 042,Cybersecurity,P0 idea,cost transparency,indexed,CONT-AIRDN dependency family
PROG-AIRDN-043,Digital servicing program 043,Workplace,P1 charter,operational resilience,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-044,ERP coexistence program 044,Service Management,P2 discovery,customer recovery,withheld,APP-AIRDN dependency family
PROG-AIRDN-045,Data foundation program 045,Flight Operations,P3 option,supplier leverage,exact,DATA-AIRDN dependency family
PROG-AIRDN-046,Cloud migration program 046,Operations Control,P4 plan,data readiness,range,CONT-AIRDN dependency family
PROG-AIRDN-047,Security uplift program 047,Crew Operations,P5 execute,risk reduction,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-048,Sourcing transformation program 048,Technical Operations,P0 idea,cost transparency,trend-only,APP-AIRDN dependency family
PROG-AIRDN-049,Station tech program 049,Airport Operations,P1 charter,operational resilience,withheld,DATA-AIRDN dependency family
PROG-AIRDN-050,Ops resilience program 050,Passenger Service,P2 discovery,customer recovery,exact,CONT-AIRDN dependency family
PROG-AIRDN-051,Crew recovery program 051,Commercial,P3 option,supplier leverage,range,INFRA-AIRDN dependency family
PROG-AIRDN-052,MRO modernization program 052,Cargo,P4 plan,data readiness,indexed,APP-AIRDN dependency family
PROG-AIRDN-053,Digital servicing program 053,Corporate Finance,P5 execute,risk reduction,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-054,ERP coexistence program 054,Procurement,P0 idea,cost transparency,withheld,CONT-AIRDN dependency family
PROG-AIRDN-055,Data foundation program 055,Technology,P1 charter,operational resilience,exact,INFRA-AIRDN dependency family
