exception_id,proposal_id,lot_id,assumption_or_exception,risk_class,required_clarification,source_id
EXC-BID-AIRDN-A-LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,LOT-AIRDN-01,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-01
EXC-BID-AIRDN-B-LOT-AIRDN-01,BID-AIRDN-B-LOT-AIRDN-01,LOT-AIRDN-01,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-01
EXC-BID-AIRDN-C-LOT-AIRDN-01,BID-AIRDN-C-LOT-AIRDN-01,LOT-AIRDN-01,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-01
EXC-BID-AIRDN-A-LOT-AIRDN-02,BID-AIRDN-A-LOT-AIRDN-02,LOT-AIRDN-02,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-02
EXC-BID-AIRDN-B-LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,LOT-AIRDN-02,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-02
EXC-BID-AIRDN-C-LOT-AIRDN-02,BID-AIRDN-C-LOT-AIRDN-02,LOT-AIRDN-02,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-02
EXC-BID-AIRDN-A-LOT-AIRDN-03,BID-AIRDN-A-LOT-AIRDN-03,LOT-AIRDN-03,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-03
EXC-BID-AIRDN-B-LOT-AIRDN-03,BID-AIRDN-B-LOT-AIRDN-03,LOT-AIRDN-03,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-03
EXC-BID-AIRDN-C-LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,LOT-AIRDN-03,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-03
EXC-BID-AIRDN-A-LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,LOT-AIRDN-04,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-04
EXC-BID-AIRDN-B-LOT-AIRDN-04,BID-AIRDN-B-LOT-AIRDN-04,LOT-AIRDN-04,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-04
EXC-BID-AIRDN-C-LOT-AIRDN-04,BID-AIRDN-C-LOT-AIRDN-04,LOT-AIRDN-04,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-04
EXC-BID-AIRDN-A-LOT-AIRDN-05,BID-AIRDN-A-LOT-AIRDN-05,LOT-AIRDN-05,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-05
EXC-BID-AIRDN-B-LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,LOT-AIRDN-05,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-05
EXC-BID-AIRDN-C-LOT-AIRDN-05,BID-AIRDN-C-LOT-AIRDN-05,LOT-AIRDN-05,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-05
EXC-BID-AIRDN-A-LOT-AIRDN-06,BID-AIRDN-A-LOT-AIRDN-06,LOT-AIRDN-06,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-06
EXC-BID-AIRDN-B-LOT-AIRDN-06,BID-AIRDN-B-LOT-AIRDN-06,LOT-AIRDN-06,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-06
EXC-BID-AIRDN-C-LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,LOT-AIRDN-06,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-06
EXC-BID-AIRDN-A-LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,LOT-AIRDN-07,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-A-07
EXC-BID-AIRDN-B-LOT-AIRDN-07,BID-AIRDN-B-LOT-AIRDN-07,LOT-AIRDN-07,excludes surge coverage unless separately ordered,commercial,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-B-07
EXC-BID-AIRDN-C-LOT-AIRDN-07,BID-AIRDN-C-LOT-AIRDN-07,LOT-AIRDN-07,requires client-owned SME retention during transition,operational,"confirm baseline volumes, retained roles, data access and transition obligations",SRC-AIRDN-EXC-C-07
