workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-AIRDN-00001,contractor,Operations Control,Corporate and SAP AMS,operations,nearshore,standard
WORK-AIRDN-00002,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,engineering,offshore,standard
WORK-AIRDN-00003,employee,Technical Operations,Data Analytics and Integration,support,hybrid,standard
WORK-AIRDN-00004,contractor,Airport Operations,Cloud Infrastructure and Mainframe,service management,onsite,standard
WORK-AIRDN-00005,managed-service role,Passenger Service,Workplace Service Desk and Field Support,security,nearshore,standard
WORK-AIRDN-00006,employee,Commercial,SIAM Observability and Service Governance,data,offshore,standard
WORK-AIRDN-00007,contractor,Cargo,Airline Operations AMS,procurement,hybrid,standard
WORK-AIRDN-00008,managed-service role,Corporate Finance,Corporate and SAP AMS,finance,onsite,critical knowledge holder
WORK-AIRDN-00009,employee,Procurement,Digital Customer and Loyalty AMS,architecture,nearshore,standard
WORK-AIRDN-00010,contractor,Technology,Data Analytics and Integration,operations,offshore,standard
WORK-AIRDN-00011,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,engineering,hybrid,transition sensitive
WORK-AIRDN-00012,employee,Cybersecurity,Workplace Service Desk and Field Support,support,onsite,standard
WORK-AIRDN-00013,contractor,Workplace,SIAM Observability and Service Governance,service management,nearshore,standard
WORK-AIRDN-00014,managed-service role,Service Management,Airline Operations AMS,security,offshore,standard
WORK-AIRDN-00015,employee,Flight Operations,Corporate and SAP AMS,data,hybrid,standard
WORK-AIRDN-00016,contractor,Operations Control,Digital Customer and Loyalty AMS,procurement,onsite,critical knowledge holder
WORK-AIRDN-00017,managed-service role,Crew Operations,Data Analytics and Integration,finance,nearshore,standard
WORK-AIRDN-00018,employee,Technical Operations,Cloud Infrastructure and Mainframe,architecture,offshore,standard
WORK-AIRDN-00019,contractor,Airport Operations,Workplace Service Desk and Field Support,operations,hybrid,standard
WORK-AIRDN-00020,managed-service role,Passenger Service,SIAM Observability and Service Governance,engineering,onsite,standard
WORK-AIRDN-00021,employee,Commercial,Airline Operations AMS,support,nearshore,standard
WORK-AIRDN-00022,contractor,Cargo,Corporate and SAP AMS,service management,offshore,transition sensitive
WORK-AIRDN-00023,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,security,hybrid,standard
WORK-AIRDN-00024,employee,Procurement,Data Analytics and Integration,data,onsite,critical knowledge holder
WORK-AIRDN-00025,contractor,Technology,Cloud Infrastructure and Mainframe,procurement,nearshore,standard
WORK-AIRDN-00026,managed-service role,Data and AI,Workplace Service Desk and Field Support,finance,offshore,standard
WORK-AIRDN-00027,employee,Cybersecurity,SIAM Observability and Service Governance,architecture,hybrid,standard
WORK-AIRDN-00028,contractor,Workplace,Airline Operations AMS,operations,onsite,standard
WORK-AIRDN-00029,managed-service role,Service Management,Corporate and SAP AMS,engineering,nearshore,standard
WORK-AIRDN-00030,employee,Flight Operations,Digital Customer and Loyalty AMS,support,offshore,standard
WORK-AIRDN-00031,contractor,Operations Control,Data Analytics and Integration,service management,hybrid,standard
WORK-AIRDN-00032,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,security,onsite,critical knowledge holder
WORK-AIRDN-00033,employee,Technical Operations,Workplace Service Desk and Field Support,data,nearshore,transition sensitive
WORK-AIRDN-00034,contractor,Airport Operations,SIAM Observability and Service Governance,procurement,offshore,standard
WORK-AIRDN-00035,managed-service role,Passenger Service,Airline Operations AMS,finance,hybrid,standard
WORK-AIRDN-00036,employee,Commercial,Corporate and SAP AMS,architecture,onsite,standard
WORK-AIRDN-00037,contractor,Cargo,Digital Customer and Loyalty AMS,operations,nearshore,standard
WORK-AIRDN-00038,managed-service role,Corporate Finance,Data Analytics and Integration,engineering,offshore,standard
WORK-AIRDN-00039,employee,Procurement,Cloud Infrastructure and Mainframe,support,hybrid,standard
WORK-AIRDN-00040,contractor,Technology,Workplace Service Desk and Field Support,service management,onsite,critical knowledge holder
WORK-AIRDN-00041,managed-service role,Data and AI,SIAM Observability and Service Governance,security,nearshore,standard
WORK-AIRDN-00042,employee,Cybersecurity,Airline Operations AMS,data,offshore,standard
WORK-AIRDN-00043,contractor,Workplace,Corporate and SAP AMS,procurement,hybrid,standard
WORK-AIRDN-00044,managed-service role,Service Management,Digital Customer and Loyalty AMS,finance,onsite,transition sensitive
WORK-AIRDN-00045,employee,Flight Operations,Data Analytics and Integration,architecture,nearshore,standard
WORK-AIRDN-00046,contractor,Operations Control,Cloud Infrastructure and Mainframe,operations,offshore,standard
WORK-AIRDN-00047,managed-service role,Crew Operations,Workplace Service Desk and Field Support,engineering,hybrid,standard
WORK-AIRDN-00048,employee,Technical Operations,SIAM Observability and Service Governance,support,onsite,critical knowledge holder
WORK-AIRDN-00049,contractor,Airport Operations,Airline Operations AMS,service management,nearshore,standard
WORK-AIRDN-00050,managed-service role,Passenger Service,Corporate and SAP AMS,security,offshore,standard
WORK-AIRDN-00051,employee,Commercial,Digital Customer and Loyalty AMS,data,hybrid,standard
WORK-AIRDN-00052,contractor,Cargo,Data Analytics and Integration,procurement,onsite,standard
WORK-AIRDN-00053,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,finance,nearshore,standard
WORK-AIRDN-00054,employee,Procurement,Workplace Service Desk and Field Support,architecture,offshore,standard
WORK-AIRDN-00055,contractor,Technology,SIAM Observability and Service Governance,operations,hybrid,transition sensitive
WORK-AIRDN-00056,managed-service role,Data and AI,Airline Operations AMS,engineering,onsite,critical knowledge holder
WORK-AIRDN-00057,employee,Cybersecurity,Corporate and SAP AMS,support,nearshore,standard
WORK-AIRDN-00058,contractor,Workplace,Digital Customer and Loyalty AMS,service management,offshore,standard
WORK-AIRDN-00059,managed-service role,Service Management,Data Analytics and Integration,security,hybrid,standard
WORK-AIRDN-00060,employee,Flight Operations,Cloud Infrastructure and Mainframe,data,onsite,standard
WORK-AIRDN-00061,contractor,Operations Control,Workplace Service Desk and Field Support,procurement,nearshore,standard
WORK-AIRDN-00062,managed-service role,Crew Operations,SIAM Observability and Service Governance,finance,offshore,standard
WORK-AIRDN-00063,employee,Technical Operations,Airline Operations AMS,architecture,hybrid,standard
WORK-AIRDN-00064,contractor,Airport Operations,Corporate and SAP AMS,operations,onsite,critical knowledge holder
WORK-AIRDN-00065,managed-service role,Passenger Service,Digital Customer and Loyalty AMS,engineering,nearshore,standard
WORK-AIRDN-00066,employee,Commercial,Data Analytics and Integration,support,offshore,transition sensitive
WORK-AIRDN-00067,contractor,Cargo,Cloud Infrastructure and Mainframe,service management,hybrid,standard
WORK-AIRDN-00068,managed-service role,Corporate Finance,Workplace Service Desk and Field Support,security,onsite,standard
WORK-AIRDN-00069,employee,Procurement,SIAM Observability and Service Governance,data,nearshore,standard
WORK-AIRDN-00070,contractor,Technology,Airline Operations AMS,procurement,offshore,standard
WORK-AIRDN-00071,managed-service role,Data and AI,Corporate and SAP AMS,finance,hybrid,standard
WORK-AIRDN-00072,employee,Cybersecurity,Digital Customer and Loyalty AMS,architecture,onsite,critical knowledge holder
WORK-AIRDN-00073,contractor,Workplace,Data Analytics and Integration,operations,nearshore,standard
WORK-AIRDN-00074,managed-service role,Service Management,Cloud Infrastructure and Mainframe,engineering,offshore,standard
WORK-AIRDN-00075,employee,Flight Operations,Workplace Service Desk and Field Support,support,hybrid,standard
WORK-AIRDN-00076,contractor,Operations Control,SIAM Observability and Service Governance,service management,onsite,standard
