kpi_id,kpi_name,owner_function,disclosure_mode,direction,evidence_state,source_id
KPI-AIRDN-001,crew recovery KPI 001,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-002,station reliability KPI 002,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-003,application availability KPI 003,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-004,incident MTTR KPI 004,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-005,cloud unit cost KPI 005,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-006,data freshness KPI 006,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-007,report retirement KPI 007,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-008,vendor SLA KPI 008,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-009,transition readiness KPI 009,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-010,value realization KPI 010,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-011,mainframe batch success KPI 011,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-012
KPI-AIRDN-012,IROPS recovery KPI 012,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-013,crew recovery KPI 013,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-014,station reliability KPI 014,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-015,application availability KPI 015,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-016,incident MTTR KPI 016,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-017,cloud unit cost KPI 017,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-018,data freshness KPI 018,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-019,report retirement KPI 019,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-020,vendor SLA KPI 020,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-021,transition readiness KPI 021,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-022,value realization KPI 022,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-023,mainframe batch success KPI 023,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-024,IROPS recovery KPI 024,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-025,crew recovery KPI 025,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-026,station reliability KPI 026,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-027,application availability KPI 027,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-028,incident MTTR KPI 028,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-029,cloud unit cost KPI 029,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
