risk_id,risk_name,business_function,severity,response,linked_control_id
RISK-AIRDN-0001,supplier concentration,Operations Control,high,monitor,CTRL-AIRDN-0002
RISK-AIRDN-0002,mainframe skill scarcity,Crew Operations,medium,accept pending evidence,CTRL-AIRDN-0003
RISK-AIRDN-0003,data lineage gap,Technical Operations,low,requires executive decision,CTRL-AIRDN-0004
RISK-AIRDN-0004,SLA ambiguity,Airport Operations,critical,mitigate,CTRL-AIRDN-0005
RISK-AIRDN-0005,cloud cost overrun,Passenger Service,high,monitor,CTRL-AIRDN-0006
RISK-AIRDN-0006,airport support fragility,Commercial,medium,accept pending evidence,CTRL-AIRDN-0007
RISK-AIRDN-0007,cyber access control,Cargo,low,requires executive decision,CTRL-AIRDN-0008
RISK-AIRDN-0008,regulatory evidence gap,Corporate Finance,critical,mitigate,CTRL-AIRDN-0009
RISK-AIRDN-0009,KPI conflict,Procurement,high,monitor,CTRL-AIRDN-0010
RISK-AIRDN-0010,transition disruption,Technology,medium,accept pending evidence,CTRL-AIRDN-0011
RISK-AIRDN-0011,supplier concentration,Data and AI,low,requires executive decision,CTRL-AIRDN-0012
RISK-AIRDN-0012,mainframe skill scarcity,Cybersecurity,critical,mitigate,CTRL-AIRDN-0013
RISK-AIRDN-0013,data lineage gap,Workplace,high,monitor,CTRL-AIRDN-0014
RISK-AIRDN-0014,SLA ambiguity,Service Management,medium,accept pending evidence,CTRL-AIRDN-0015
RISK-AIRDN-0015,cloud cost overrun,Flight Operations,low,requires executive decision,CTRL-AIRDN-0016
RISK-AIRDN-0016,airport support fragility,Operations Control,critical,mitigate,CTRL-AIRDN-0017
RISK-AIRDN-0017,cyber access control,Crew Operations,high,monitor,CTRL-AIRDN-0018
RISK-AIRDN-0018,regulatory evidence gap,Technical Operations,medium,accept pending evidence,CTRL-AIRDN-0019
RISK-AIRDN-0019,KPI conflict,Airport Operations,low,requires executive decision,CTRL-AIRDN-0020
RISK-AIRDN-0020,transition disruption,Passenger Service,critical,mitigate,CTRL-AIRDN-0021
RISK-AIRDN-0021,supplier concentration,Commercial,high,monitor,CTRL-AIRDN-0022
RISK-AIRDN-0022,mainframe skill scarcity,Cargo,medium,accept pending evidence,CTRL-AIRDN-0023
RISK-AIRDN-0023,data lineage gap,Corporate Finance,low,requires executive decision,CTRL-AIRDN-0024
RISK-AIRDN-0024,SLA ambiguity,Procurement,critical,mitigate,CTRL-AIRDN-0025
RISK-AIRDN-0025,cloud cost overrun,Technology,high,monitor,CTRL-AIRDN-0026
