integration_id,from_application_id,to_application_id,integration_method,frequency,criticality,middleware_pattern,owning_function,source_id
INT-AIRDN-00001,APP-AIRDN-0008,APP-AIRDN-0029,API,near real-time,standard,mainframe MQ,Operations Control,SRC-AIRDN-INT-002
INT-AIRDN-00002,APP-AIRDN-0015,APP-AIRDN-0046,file/batch,hourly,standard,cloud integration platform,Crew Operations,SRC-AIRDN-INT-003
INT-AIRDN-00003,APP-AIRDN-0022,APP-AIRDN-0063,ETL/ELT,daily,high,file transfer gateway,Technical Operations,SRC-AIRDN-INT-004
INT-AIRDN-00004,APP-AIRDN-0029,APP-AIRDN-0080,mainframe transaction,weekly,standard,data pipeline orchestrator,Airport Operations,SRC-AIRDN-INT-005
INT-AIRDN-00005,APP-AIRDN-0036,APP-AIRDN-0097,streaming topic,event-driven,standard,API gateway,Passenger Service,SRC-AIRDN-INT-006
INT-AIRDN-00006,APP-AIRDN-0043,APP-AIRDN-0114,SaaS connector,nightly batch,high,event streaming backbone,Commercial,SRC-AIRDN-INT-007
INT-AIRDN-00007,APP-AIRDN-0050,APP-AIRDN-0131,EDI/message,real-time,standard,enterprise service bus,Cargo,SRC-AIRDN-INT-008
INT-AIRDN-00008,APP-AIRDN-0057,APP-AIRDN-0148,database link,near real-time,critical,mainframe MQ,Corporate Finance,SRC-AIRDN-INT-009
INT-AIRDN-00009,APP-AIRDN-0064,APP-AIRDN-0165,MQ/event,hourly,high,cloud integration platform,Procurement,SRC-AIRDN-INT-010
INT-AIRDN-00010,APP-AIRDN-0071,APP-AIRDN-0182,API,daily,standard,file transfer gateway,Technology,SRC-AIRDN-INT-011
INT-AIRDN-00011,APP-AIRDN-0078,APP-AIRDN-0199,file/batch,weekly,standard,data pipeline orchestrator,Data and AI,SRC-AIRDN-INT-012
INT-AIRDN-00012,APP-AIRDN-0085,APP-AIRDN-0216,ETL/ELT,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-013
INT-AIRDN-00013,APP-AIRDN-0092,APP-AIRDN-0233,mainframe transaction,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-014
INT-AIRDN-00014,APP-AIRDN-0099,APP-AIRDN-0250,streaming topic,real-time,standard,enterprise service bus,Service Management,SRC-AIRDN-INT-015
INT-AIRDN-00015,APP-AIRDN-0106,APP-AIRDN-0267,SaaS connector,near real-time,high,mainframe MQ,Flight Operations,SRC-AIRDN-INT-016
INT-AIRDN-00016,APP-AIRDN-0113,APP-AIRDN-0284,EDI/message,hourly,critical,cloud integration platform,Operations Control,SRC-AIRDN-INT-017
