infra_id,site_or_zone,component_type,hosting_model,technology_stack,business_function,service_tower,sensitivity,capacity_status,resilience_status
INFRA-AIRDN-00001,secondary resilience data center,database platform,private cloud,Java/.NET custom,Operations Control,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00002,private cloud east,network zone,owned data center,SAP S/4HANA,Crew Operations,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00003,private cloud central,storage tier,colocation,legacy SAP ECC,Technical Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00004,AWS digital landing zone,container platform,AWS workload,SAP Ariba/Concur/BW/BTP,Airport Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00005,AWS analytics landing zone,mainframe LPAR,Azure workload,Teradata-scale EDW,Passenger Service,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00006,Azure enterprise landing zone,integration runtime,SaaS,Databricks-style lakehouse,Commercial,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00007,Azure AI/data landing zone,edge appliance,edge/station,Snowflake-style cloud warehouse,Cargo,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00008,station edge footprint,security sensor,legacy UNIX/AIX,Kafka/event streaming,Corporate Finance,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00009,crew/MRO field footprint,observability collector,hybrid,Oracle/SQL Server,Procurement,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00010,mainframe complex,desktop/endpoint group,mainframe z/OS,Hadoop remnant,Technology,Data Analytics and Integration,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00011,colocation facility,cloud resource group,private cloud,Service management platform,Data and AI,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00012,global network zone,compute VM/cluster,owned data center,mainframe batch scheduler,Cybersecurity,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00013,primary enterprise data center,database platform,colocation,container/Kubernetes,Workplace,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00014,secondary resilience data center,network zone,AWS workload,AIX/UNIX middleware,Service Management,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00015,private cloud east,storage tier,Azure workload,API gateway/iPaaS,Flight Operations,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00016,private cloud central,container platform,SaaS,BI/reporting platform,Operations Control,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00017,AWS digital landing zone,mainframe LPAR,edge/station,security/IAM stack,Crew Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00018,AWS analytics landing zone,integration runtime,legacy UNIX/AIX,COBOL/CICS/DB2/MQ,Technical Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00019,Azure enterprise landing zone,edge appliance,hybrid,Java/.NET custom,Airport Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00020,Azure AI/data landing zone,security sensor,mainframe z/OS,SAP S/4HANA,Passenger Service,SIAM Observability and Service Governance,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00021,station edge footprint,observability collector,private cloud,legacy SAP ECC,Commercial,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00022,crew/MRO field footprint,desktop/endpoint group,owned data center,SAP Ariba/Concur/BW/BTP,Cargo,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00023,mainframe complex,cloud resource group,colocation,Teradata-scale EDW,Corporate Finance,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00024,colocation facility,compute VM/cluster,AWS workload,Databricks-style lakehouse,Procurement,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00025,global network zone,database platform,Azure workload,Snowflake-style cloud warehouse,Technology,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00026,primary enterprise data center,network zone,SaaS,Kafka/event streaming,Data and AI,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00027,secondary resilience data center,storage tier,edge/station,Oracle/SQL Server,Cybersecurity,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00028,private cloud east,container platform,legacy UNIX/AIX,Hadoop remnant,Workplace,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
