data_product_id,data_product_name,domain,platform_pattern,business_function,logical_footprint,ingestion_pattern,lineage_status,ai_or_bi_use,vendor_id
DATA-AIRDN-0001,CUSTOMER_SERVICE product 0001,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Operations Control,0.2 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-002
DATA-AIRDN-0002,COMMERCIAL_REVENUE product 0002,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Crew Operations,0.3 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-003
DATA-AIRDN-0003,MRO_SUPPLY_CHAIN product 0003,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Technical Operations,0.3 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-004
DATA-AIRDN-0004,FINANCE_PROCUREMENT product 0004,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Airport Operations,0.4 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-005
DATA-AIRDN-0005,STATION_OPERATIONS product 0005,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Passenger Service,0.5 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-006
DATA-AIRDN-0006,SECURITY_RISK product 0006,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Commercial,1.6 PB logical footprint,billions of daily events family,lineage incomplete,BI / operational analytics,VEND-AIRDN-007
DATA-AIRDN-0007,CREW_OPS product 0007,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Cargo,0.6 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-008
DATA-AIRDN-0008,AIRLINE_EVENTS product 0008,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Corporate Finance,0.6 PB logical footprint,regulated retention,lineage candidate,AI feature candidate,VEND-AIRDN-009
DATA-AIRDN-0009,CUSTOMER_SERVICE product 0009,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Procurement,0.7 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-010
DATA-AIRDN-0010,COMMERCIAL_REVENUE product 0010,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Technology,0.8 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-011
DATA-AIRDN-0011,MRO_SUPPLY_CHAIN product 0011,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Data and AI,0.8 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-012
DATA-AIRDN-0012,FINANCE_PROCUREMENT product 0012,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Cybersecurity,3.0 PB logical footprint,batch plus streaming,lineage incomplete,BI / operational analytics,VEND-AIRDN-013
DATA-AIRDN-0013,STATION_OPERATIONS product 0013,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Workplace,0.9 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-014
DATA-AIRDN-0014,SECURITY_RISK product 0014,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Service Management,1.0 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-015
DATA-AIRDN-0015,CREW_OPS product 0015,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Flight Operations,1.1 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-016
DATA-AIRDN-0016,AIRLINE_EVENTS product 0016,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Operations Control,1.1 PB logical footprint,billions of daily events family,lineage candidate,AI feature candidate,VEND-AIRDN-017
DATA-AIRDN-0017,CUSTOMER_SERVICE product 0017,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Crew Operations,1.2 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-018
DATA-AIRDN-0018,COMMERCIAL_REVENUE product 0018,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Technical Operations,4.3 PB logical footprint,regulated retention,lineage incomplete,BI / operational analytics,VEND-AIRDN-019
DATA-AIRDN-0019,MRO_SUPPLY_CHAIN product 0019,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Airport Operations,1.3 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-020
DATA-AIRDN-0020,FINANCE_PROCUREMENT product 0020,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Passenger Service,1.4 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-021
DATA-AIRDN-0021,STATION_OPERATIONS product 0021,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Commercial,1.4 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-022
DATA-AIRDN-0022,SECURITY_RISK product 0022,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Cargo,1.5 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-023
DATA-AIRDN-0023,CREW_OPS product 0023,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Corporate Finance,1.5 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-024
