vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note,term_note
VEND-AIRDN-001,Synthetic Supplier 001,IMS,major supplier,Corporate and SAP AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-002,Synthetic Supplier 002,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-003,Synthetic Supplier 003,SaaS/software,regional provider,Data Analytics and Integration,Technical Operations,standard review,active multi-year
VEND-AIRDN-004,Synthetic Supplier 004,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Airport Operations,standard review,active multi-year
VEND-AIRDN-005,Synthetic Supplier 005,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-006,Synthetic Supplier 006,data/AI,major supplier,SIAM Observability and Service Governance,Commercial,standard review,active multi-year
VEND-AIRDN-007,Synthetic Supplier 007,cybersecurity,niche supplier,Airline Operations AMS,Cargo,standard review,active multi-year
VEND-AIRDN-008,Synthetic Supplier 008,airline-specific platform,regional provider,Corporate and SAP AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-009,Synthetic Supplier 009,professional services,incumbent provider,Digital Customer and Loyalty AMS,Procurement,high concentration,active multi-year
VEND-AIRDN-010,Synthetic Supplier 010,AMS,strategic supplier,Data Analytics and Integration,Technology,standard review,renewal inside 24 months
VEND-AIRDN-011,Synthetic Supplier 011,IMS,major supplier,Cloud Infrastructure and Mainframe,Data and AI,standard review,renewal inside 12 months
VEND-AIRDN-012,Synthetic Supplier 012,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Cybersecurity,standard review,active multi-year
VEND-AIRDN-013,Synthetic Supplier 013,SaaS/software,regional provider,SIAM Observability and Service Governance,Workplace,exit-sensitive,active multi-year
VEND-AIRDN-014,Synthetic Supplier 014,telecom/network,incumbent provider,Airline Operations AMS,Service Management,standard review,active multi-year
VEND-AIRDN-015,Synthetic Supplier 015,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-016,Synthetic Supplier 016,data/AI,major supplier,Digital Customer and Loyalty AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-017,Synthetic Supplier 017,cybersecurity,niche supplier,Data Analytics and Integration,Crew Operations,standard review,active multi-year
VEND-AIRDN-018,Synthetic Supplier 018,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Technical Operations,high concentration,active multi-year
VEND-AIRDN-019,Synthetic Supplier 019,professional services,incumbent provider,Workplace Service Desk and Field Support,Airport Operations,standard review,active multi-year
VEND-AIRDN-020,Synthetic Supplier 020,AMS,strategic supplier,SIAM Observability and Service Governance,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-021,Synthetic Supplier 021,IMS,major supplier,Airline Operations AMS,Commercial,standard review,active multi-year
VEND-AIRDN-022,Synthetic Supplier 022,BPO-adjacent,niche supplier,Corporate and SAP AMS,Cargo,standard review,renewal inside 12 months
VEND-AIRDN-023,Synthetic Supplier 023,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-024,Synthetic Supplier 024,telecom/network,incumbent provider,Data Analytics and Integration,Procurement,standard review,active multi-year
VEND-AIRDN-025,Synthetic Supplier 025,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Technology,standard review,renewal inside 24 months
VEND-AIRDN-026,Synthetic Supplier 026,data/AI,major supplier,Workplace Service Desk and Field Support,Data and AI,exit-sensitive,active multi-year
VEND-AIRDN-027,Synthetic Supplier 027,cybersecurity,niche supplier,SIAM Observability and Service Governance,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-028,Synthetic Supplier 028,airline-specific platform,regional provider,Airline Operations AMS,Workplace,standard review,active multi-year
VEND-AIRDN-029,Synthetic Supplier 029,professional services,incumbent provider,Corporate and SAP AMS,Service Management,standard review,active multi-year
VEND-AIRDN-030,Synthetic Supplier 030,AMS,strategic supplier,Digital Customer and Loyalty AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-031,Synthetic Supplier 031,IMS,major supplier,Data Analytics and Integration,Operations Control,standard review,active multi-year
VEND-AIRDN-032,Synthetic Supplier 032,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Crew Operations,standard review,active multi-year
VEND-AIRDN-033,Synthetic Supplier 033,SaaS/software,regional provider,Workplace Service Desk and Field Support,Technical Operations,standard review,renewal inside 12 months
VEND-AIRDN-034,Synthetic Supplier 034,telecom/network,incumbent provider,SIAM Observability and Service Governance,Airport Operations,standard review,active multi-year
