report_id,report_name,business_function,lifecycle_status,refresh_cadence,source_data_product_id,evidence_gap
BI-AIRDN-00001,crew report 00001,Operations Control,duplicate,weekly,DATA-AIRDN-0004,source-backed candidate
BI-AIRDN-00002,MRO report 00002,Crew Operations,stale,monthly,DATA-AIRDN-0007,source-backed candidate
BI-AIRDN-00003,commercial report 00003,Technical Operations,candidate retire,real-time,DATA-AIRDN-0010,source-backed candidate
BI-AIRDN-00004,finance report 00004,Airport Operations,executive critical,ad hoc,DATA-AIRDN-0013,source-backed candidate
BI-AIRDN-00005,procurement report 00005,Passenger Service,active,daily,DATA-AIRDN-0016,source-backed candidate
BI-AIRDN-00006,station report 00006,Commercial,duplicate,weekly,DATA-AIRDN-0019,source-backed candidate
BI-AIRDN-00007,service report 00007,Cargo,stale,monthly,DATA-AIRDN-0022,source-backed candidate
BI-AIRDN-00008,security report 00008,Corporate Finance,candidate retire,real-time,DATA-AIRDN-0025,source-backed candidate
BI-AIRDN-00009,executive report 00009,Procurement,executive critical,ad hoc,DATA-AIRDN-0028,owner unclear
BI-AIRDN-00010,operations report 00010,Technology,active,daily,DATA-AIRDN-0031,source-backed candidate
BI-AIRDN-00011,crew report 00011,Data and AI,duplicate,weekly,DATA-AIRDN-0034,source-backed candidate
BI-AIRDN-00012,MRO report 00012,Cybersecurity,stale,monthly,DATA-AIRDN-0037,KPI definition conflict
BI-AIRDN-00013,commercial report 00013,Workplace,candidate retire,real-time,DATA-AIRDN-0040,source-backed candidate
BI-AIRDN-00014,finance report 00014,Service Management,executive critical,ad hoc,DATA-AIRDN-0043,source-backed candidate
BI-AIRDN-00015,procurement report 00015,Flight Operations,active,daily,DATA-AIRDN-0046,source-backed candidate
BI-AIRDN-00016,station report 00016,Operations Control,duplicate,weekly,DATA-AIRDN-0049,source-backed candidate
BI-AIRDN-00017,service report 00017,Crew Operations,stale,monthly,DATA-AIRDN-0052,source-backed candidate
BI-AIRDN-00018,security report 00018,Technical Operations,candidate retire,real-time,DATA-AIRDN-0055,owner unclear
BI-AIRDN-00019,executive report 00019,Airport Operations,executive critical,ad hoc,DATA-AIRDN-0058,source-backed candidate
BI-AIRDN-00020,operations report 00020,Passenger Service,active,daily,DATA-AIRDN-0061,source-backed candidate
BI-AIRDN-00021,crew report 00021,Commercial,duplicate,weekly,DATA-AIRDN-0064,source-backed candidate
BI-AIRDN-00022,MRO report 00022,Cargo,stale,monthly,DATA-AIRDN-0067,source-backed candidate
BI-AIRDN-00023,commercial report 00023,Corporate Finance,candidate retire,real-time,DATA-AIRDN-0070,source-backed candidate
BI-AIRDN-00024,finance report 00024,Procurement,executive critical,ad hoc,DATA-AIRDN-0073,KPI definition conflict
BI-AIRDN-00025,procurement report 00025,Technology,active,daily,DATA-AIRDN-0076,source-backed candidate
BI-AIRDN-00026,station report 00026,Data and AI,duplicate,weekly,DATA-AIRDN-0079,source-backed candidate
BI-AIRDN-00027,service report 00027,Cybersecurity,stale,monthly,DATA-AIRDN-0082,owner unclear
BI-AIRDN-00028,security report 00028,Workplace,candidate retire,real-time,DATA-AIRDN-0085,source-backed candidate
BI-AIRDN-00029,executive report 00029,Service Management,executive critical,ad hoc,DATA-AIRDN-0088,source-backed candidate
BI-AIRDN-00030,operations report 00030,Flight Operations,active,daily,DATA-AIRDN-0091,source-backed candidate
BI-AIRDN-00031,crew report 00031,Operations Control,duplicate,weekly,DATA-AIRDN-0094,source-backed candidate
BI-AIRDN-00032,MRO report 00032,Crew Operations,stale,monthly,DATA-AIRDN-0097,source-backed candidate
BI-AIRDN-00033,commercial report 00033,Technical Operations,candidate retire,real-time,DATA-AIRDN-0100,source-backed candidate
BI-AIRDN-00034,finance report 00034,Airport Operations,executive critical,ad hoc,DATA-AIRDN-0103,source-backed candidate
BI-AIRDN-00035,procurement report 00035,Passenger Service,active,daily,DATA-AIRDN-0106,source-backed candidate
BI-AIRDN-00036,station report 00036,Commercial,duplicate,weekly,DATA-AIRDN-0109,KPI definition conflict
BI-AIRDN-00037,service report 00037,Cargo,stale,monthly,DATA-AIRDN-0112,source-backed candidate
BI-AIRDN-00038,security report 00038,Corporate Finance,candidate retire,real-time,DATA-AIRDN-0115,source-backed candidate
BI-AIRDN-00039,executive report 00039,Procurement,executive critical,ad hoc,DATA-AIRDN-0118,source-backed candidate
BI-AIRDN-00040,operations report 00040,Technology,active,daily,DATA-AIRDN-0121,source-backed candidate
BI-AIRDN-00041,crew report 00041,Data and AI,duplicate,weekly,DATA-AIRDN-0124,source-backed candidate
BI-AIRDN-00042,MRO report 00042,Cybersecurity,stale,monthly,DATA-AIRDN-0127,source-backed candidate
BI-AIRDN-00043,commercial report 00043,Workplace,candidate retire,real-time,DATA-AIRDN-0130,source-backed candidate
BI-AIRDN-00044,finance report 00044,Service Management,executive critical,ad hoc,DATA-AIRDN-0133,source-backed candidate
BI-AIRDN-00045,procurement report 00045,Flight Operations,active,daily,DATA-AIRDN-0136,owner unclear
BI-AIRDN-00046,station report 00046,Operations Control,duplicate,weekly,DATA-AIRDN-0139,source-backed candidate
BI-AIRDN-00047,service report 00047,Crew Operations,stale,monthly,DATA-AIRDN-0142,source-backed candidate
BI-AIRDN-00048,security report 00048,Technical Operations,candidate retire,real-time,DATA-AIRDN-0145,KPI definition conflict
BI-AIRDN-00049,executive report 00049,Airport Operations,executive critical,ad hoc,DATA-AIRDN-0148,source-backed candidate
BI-AIRDN-00050,operations report 00050,Passenger Service,active,daily,DATA-AIRDN-0151,source-backed candidate
BI-AIRDN-00051,crew report 00051,Commercial,duplicate,weekly,DATA-AIRDN-0154,source-backed candidate
BI-AIRDN-00052,MRO report 00052,Cargo,stale,monthly,DATA-AIRDN-0157,source-backed candidate
BI-AIRDN-00053,commercial report 00053,Corporate Finance,candidate retire,real-time,DATA-AIRDN-0160,source-backed candidate
BI-AIRDN-00054,finance report 00054,Procurement,executive critical,ad hoc,DATA-AIRDN-0163,owner unclear
BI-AIRDN-00055,procurement report 00055,Technology,active,daily,DATA-AIRDN-0166,source-backed candidate
BI-AIRDN-00056,station report 00056,Data and AI,duplicate,weekly,DATA-AIRDN-0169,source-backed candidate
BI-AIRDN-00057,service report 00057,Cybersecurity,stale,monthly,DATA-AIRDN-0172,source-backed candidate
BI-AIRDN-00058,security report 00058,Workplace,candidate retire,real-time,DATA-AIRDN-0175,source-backed candidate
BI-AIRDN-00059,executive report 00059,Service Management,executive critical,ad hoc,DATA-AIRDN-0178,source-backed candidate
BI-AIRDN-00060,operations report 00060,Flight Operations,active,daily,DATA-AIRDN-0181,KPI definition conflict
BI-AIRDN-00061,crew report 00061,Operations Control,duplicate,weekly,DATA-AIRDN-0184,source-backed candidate
BI-AIRDN-00062,MRO report 00062,Crew Operations,stale,monthly,DATA-AIRDN-0187,source-backed candidate
BI-AIRDN-00063,commercial report 00063,Technical Operations,candidate retire,real-time,DATA-AIRDN-0190,owner unclear
BI-AIRDN-00064,finance report 00064,Airport Operations,executive critical,ad hoc,DATA-AIRDN-0193,source-backed candidate
BI-AIRDN-00065,procurement report 00065,Passenger Service,active,daily,DATA-AIRDN-0196,source-backed candidate
BI-AIRDN-00066,station report 00066,Commercial,duplicate,weekly,DATA-AIRDN-0199,source-backed candidate
