contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,term_status,commercial_model,value_disclosure_mode,risk_note,source_id,effective_date,expiration_date,renewal_date,termination_rights,pricing_model,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id
CONT-AIRDN-0001,VEND-AIRDN-008,Synthetic Supplier 008,SOW,Corporate and SAP AMS,Operations Control,SAP AMS,renewal within 12 months,T&M,range,standard commercial review,SRC-AIRDN-CONT-002,2020-01-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0001,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0001,CO-AIRDN-0001,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0002,VEND-AIRDN-015,Synthetic Supplier 015,rate card,Digital Customer and Loyalty AMS,Crew Operations,mainframe AMS,renewal within 24 months,unit-rate,indexed,standard commercial review,SRC-AIRDN-CONT-003,2021-02-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0002,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0002,CO-AIRDN-0002,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0003,VEND-AIRDN-022,Synthetic Supplier 022,software subscription,Data Analytics and Integration,Technical Operations,airline operations AMS,extension option,consumption,withheld,standard commercial review,SRC-AIRDN-CONT-004,2022-03-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0003,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0003,CO-AIRDN-0003,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0004,VEND-AIRDN-029,Synthetic Supplier 029,managed service agreement,Cloud Infrastructure and Mainframe,Airport Operations,digital support,transition assistance required,hybrid fixed + variable,exact,standard commercial review,SRC-AIRDN-CONT-005,2023-04-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0004,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0004,CO-AIRDN-0004,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0005,VEND-AIRDN-036,Synthetic Supplier 036,cloud commit,Workplace Service Desk and Field Support,Passenger Service,data platform ops,exit rights need review,committed spend,range,standard commercial review,SRC-AIRDN-CONT-006,2020-05-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0005,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0005,CO-AIRDN-0005,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0006,VEND-AIRDN-043,Synthetic Supplier 043,maintenance agreement,SIAM Observability and Service Governance,Commercial,testing/QA,active,outcome-linked,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-007,2021-06-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0006,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0006,CO-AIRDN-0006,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0007,VEND-AIRDN-050,Synthetic Supplier 050,professional services SOW,Airline Operations AMS,Cargo,release management,renewal within 12 months,fixed fee,withheld,standard commercial review,SRC-AIRDN-CONT-008,2022-07-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0007,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0007,CO-AIRDN-0007,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0008,VEND-AIRDN-057,Synthetic Supplier 057,data platform agreement,Corporate and SAP AMS,Corporate Finance,data center ops,renewal within 24 months,T&M,exact,standard commercial review,SRC-AIRDN-CONT-009,2023-08-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0008,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0008,CO-AIRDN-0008,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0009,VEND-AIRDN-064,Synthetic Supplier 064,telecom/network services,Digital Customer and Loyalty AMS,Procurement,network/telecom,extension option,unit-rate,range,standard commercial review,SRC-AIRDN-CONT-010,2020-09-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0009,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0009,CO-AIRDN-0009,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0010,VEND-AIRDN-071,Synthetic Supplier 071,cybersecurity services,Data Analytics and Integration,Technology,workplace,transition assistance required,consumption,indexed,supplier concentration,SRC-AIRDN-CONT-011,2021-01-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0010,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0010,CO-AIRDN-0010,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
