bafo_revision_id,proposal_id,lot_id,revision_focus,changed_terms,source_id
BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,BID-AIRDN-A-LOT-AIRDN-01,LOT-AIRDN-01,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-01
BAFO-BID-AIRDN-B-LOT-AIRDN-01-R1,BID-AIRDN-B-LOT-AIRDN-01,LOT-AIRDN-01,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-01
BAFO-BID-AIRDN-C-LOT-AIRDN-01-R1,BID-AIRDN-C-LOT-AIRDN-01,LOT-AIRDN-01,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-01
BAFO-BID-AIRDN-A-LOT-AIRDN-02-R1,BID-AIRDN-A-LOT-AIRDN-02,LOT-AIRDN-02,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-02
BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,BID-AIRDN-B-LOT-AIRDN-02,LOT-AIRDN-02,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-02
BAFO-BID-AIRDN-C-LOT-AIRDN-02-R1,BID-AIRDN-C-LOT-AIRDN-02,LOT-AIRDN-02,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-02
BAFO-BID-AIRDN-A-LOT-AIRDN-03-R1,BID-AIRDN-A-LOT-AIRDN-03,LOT-AIRDN-03,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-03
BAFO-BID-AIRDN-B-LOT-AIRDN-03-R1,BID-AIRDN-B-LOT-AIRDN-03,LOT-AIRDN-03,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-03
BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,BID-AIRDN-C-LOT-AIRDN-03,LOT-AIRDN-03,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-03
BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,BID-AIRDN-A-LOT-AIRDN-04,LOT-AIRDN-04,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-04
BAFO-BID-AIRDN-B-LOT-AIRDN-04-R1,BID-AIRDN-B-LOT-AIRDN-04,LOT-AIRDN-04,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-04
BAFO-BID-AIRDN-C-LOT-AIRDN-04-R1,BID-AIRDN-C-LOT-AIRDN-04,LOT-AIRDN-04,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-04
BAFO-BID-AIRDN-A-LOT-AIRDN-05-R1,BID-AIRDN-A-LOT-AIRDN-05,LOT-AIRDN-05,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-05
BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,BID-AIRDN-B-LOT-AIRDN-05,LOT-AIRDN-05,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-05
BAFO-BID-AIRDN-C-LOT-AIRDN-05-R1,BID-AIRDN-C-LOT-AIRDN-05,LOT-AIRDN-05,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-05
BAFO-BID-AIRDN-A-LOT-AIRDN-06-R1,BID-AIRDN-A-LOT-AIRDN-06,LOT-AIRDN-06,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-06
BAFO-BID-AIRDN-B-LOT-AIRDN-06-R1,BID-AIRDN-B-LOT-AIRDN-06,LOT-AIRDN-06,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-06
BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,BID-AIRDN-C-LOT-AIRDN-06,LOT-AIRDN-06,tooling integration and governance cadence,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-C-06
BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,BID-AIRDN-A-LOT-AIRDN-07,LOT-AIRDN-07,service-credit floor and transition assistance,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-A-07
BAFO-BID-AIRDN-B-LOT-AIRDN-07-R1,BID-AIRDN-B-LOT-AIRDN-07,LOT-AIRDN-07,rate-card assumptions and surge coverage,"pricing index, transition gates, service credits, staffing model",SRC-AIRDN-BAFO-B-07
