process_id,scenario,process_step,owning_domain,system_dependency,data_dependency,kpi_dependency,current_state_note,source_id
IROPS-AIRDN-0001,aircraft availability,decide,Operations Control,APP-AIRDN-0020,DATA-AIRDN-0024,KPI-AIRDN-002,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0002,crew legality,recover,Crew Operations,APP-AIRDN-0039,DATA-AIRDN-0047,KPI-AIRDN-003,system-supported but evidence required,SRC-AIRDN-OPS-003
IROPS-AIRDN-0003,gate constraint,communicate,Technical Operations,APP-AIRDN-0058,DATA-AIRDN-0070,KPI-AIRDN-004,system-supported but evidence required,SRC-AIRDN-OPS-004
IROPS-AIRDN-0004,passenger reaccommodation,reconcile,Airport Operations,APP-AIRDN-0077,DATA-AIRDN-0093,KPI-AIRDN-005,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0005,baggage rerouting,measure,Passenger Service,APP-AIRDN-0096,DATA-AIRDN-0116,KPI-AIRDN-006,manual workaround today,SRC-AIRDN-OPS-006
IROPS-AIRDN-0006,hotel/meal provisioning,settle,Commercial,APP-AIRDN-0115,DATA-AIRDN-0139,KPI-AIRDN-007,system-supported but evidence required,SRC-AIRDN-OPS-007
IROPS-AIRDN-0007,customer notification,review,Cargo,APP-AIRDN-0134,DATA-AIRDN-0162,KPI-AIRDN-008,system-supported but evidence required,SRC-AIRDN-OPS-008
IROPS-AIRDN-0008,airport staffing,detect,Corporate Finance,APP-AIRDN-0153,DATA-AIRDN-0185,KPI-AIRDN-009,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0009,partner coordination,decide,Procurement,APP-AIRDN-0172,DATA-AIRDN-0208,KPI-AIRDN-010,cross-vendor dependency,SRC-AIRDN-OPS-010
IROPS-AIRDN-0010,maintenance event,recover,Technology,APP-AIRDN-0191,DATA-AIRDN-0231,KPI-AIRDN-011,manual workaround today,SRC-AIRDN-OPS-011
IROPS-AIRDN-0011,operations-control decision,communicate,Data and AI,APP-AIRDN-0210,DATA-AIRDN-0254,KPI-AIRDN-012,system-supported but evidence required,SRC-AIRDN-OPS-012
IROPS-AIRDN-0012,weather disruption,reconcile,Cybersecurity,APP-AIRDN-0229,DATA-AIRDN-0277,KPI-AIRDN-013,system-supported but evidence required,SRC-AIRDN-OPS-013
IROPS-AIRDN-0013,aircraft availability,measure,Workplace,APP-AIRDN-0248,DATA-AIRDN-0300,KPI-AIRDN-014,system-supported but evidence required,SRC-AIRDN-OPS-014
