control_id,control_name,business_function,control_status,source_id
CTRL-AIRDN-0001,change control,Operations Control,operating,SRC-AIRDN-CTRL-002
CTRL-AIRDN-0002,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-003
CTRL-AIRDN-0003,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-004
CTRL-AIRDN-0004,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-005
CTRL-AIRDN-0005,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-006
CTRL-AIRDN-0006,resilience test,Commercial,operating,SRC-AIRDN-CTRL-007
CTRL-AIRDN-0007,incident review,Cargo,gap,SRC-AIRDN-CTRL-008
CTRL-AIRDN-0008,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-009
CTRL-AIRDN-0009,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-010
CTRL-AIRDN-0010,access review,Technology,designed,SRC-AIRDN-CTRL-011
CTRL-AIRDN-0011,change control,Data and AI,operating,SRC-AIRDN-CTRL-012
CTRL-AIRDN-0012,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-013
CTRL-AIRDN-0013,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-014
CTRL-AIRDN-0014,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-015
CTRL-AIRDN-0015,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-016
CTRL-AIRDN-0016,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-017
CTRL-AIRDN-0017,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-018
CTRL-AIRDN-0018,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-019
CTRL-AIRDN-0019,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-020
CTRL-AIRDN-0020,access review,Passenger Service,designed,SRC-AIRDN-CTRL-021
CTRL-AIRDN-0021,change control,Commercial,operating,SRC-AIRDN-CTRL-022
CTRL-AIRDN-0022,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-023
CTRL-AIRDN-0023,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-024
CTRL-AIRDN-0024,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-025
CTRL-AIRDN-0025,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-026
CTRL-AIRDN-0026,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-027
CTRL-AIRDN-0027,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-028
CTRL-AIRDN-0028,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-029
CTRL-AIRDN-0029,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-030
CTRL-AIRDN-0030,access review,Flight Operations,designed,SRC-AIRDN-CTRL-031
CTRL-AIRDN-0031,change control,Operations Control,operating,SRC-AIRDN-CTRL-032
CTRL-AIRDN-0032,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-033
CTRL-AIRDN-0033,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-034
CTRL-AIRDN-0034,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-035
CTRL-AIRDN-0035,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-036
CTRL-AIRDN-0036,resilience test,Commercial,operating,SRC-AIRDN-CTRL-037
CTRL-AIRDN-0037,incident review,Cargo,gap,SRC-AIRDN-CTRL-038
CTRL-AIRDN-0038,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-039
CTRL-AIRDN-0039,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-040
CTRL-AIRDN-0040,access review,Technology,designed,SRC-AIRDN-CTRL-041
CTRL-AIRDN-0041,change control,Data and AI,operating,SRC-AIRDN-CTRL-042
CTRL-AIRDN-0042,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-043
CTRL-AIRDN-0043,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-044
CTRL-AIRDN-0044,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-045
CTRL-AIRDN-0045,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-046
CTRL-AIRDN-0046,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-047
CTRL-AIRDN-0047,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-048
CTRL-AIRDN-0048,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-049
CTRL-AIRDN-0049,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-050
CTRL-AIRDN-0050,access review,Passenger Service,designed,SRC-AIRDN-CTRL-051
CTRL-AIRDN-0051,change control,Commercial,operating,SRC-AIRDN-CTRL-052
CTRL-AIRDN-0052,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-053
CTRL-AIRDN-0053,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-054
CTRL-AIRDN-0054,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-055
CTRL-AIRDN-0055,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-056
CTRL-AIRDN-0056,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-057
CTRL-AIRDN-0057,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-058
CTRL-AIRDN-0058,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-059
CTRL-AIRDN-0059,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-060
CTRL-AIRDN-0060,access review,Flight Operations,designed,SRC-AIRDN-CTRL-061
CTRL-AIRDN-0061,change control,Operations Control,operating,SRC-AIRDN-CTRL-062
CTRL-AIRDN-0062,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-063
CTRL-AIRDN-0063,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-064
CTRL-AIRDN-0064,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-065
CTRL-AIRDN-0065,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-066
CTRL-AIRDN-0066,resilience test,Commercial,operating,SRC-AIRDN-CTRL-067
CTRL-AIRDN-0067,incident review,Cargo,gap,SRC-AIRDN-CTRL-068
CTRL-AIRDN-0068,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-069
CTRL-AIRDN-0069,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-070
CTRL-AIRDN-0070,access review,Technology,designed,SRC-AIRDN-CTRL-071
CTRL-AIRDN-0071,change control,Data and AI,operating,SRC-AIRDN-CTRL-072
CTRL-AIRDN-0072,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-073
CTRL-AIRDN-0073,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-074
CTRL-AIRDN-0074,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-075
CTRL-AIRDN-0075,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-076
CTRL-AIRDN-0076,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-077
CTRL-AIRDN-0077,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-078
CTRL-AIRDN-0078,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-079
CTRL-AIRDN-0079,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-080
CTRL-AIRDN-0080,access review,Passenger Service,designed,SRC-AIRDN-CTRL-081
CTRL-AIRDN-0081,change control,Commercial,operating,SRC-AIRDN-CTRL-082
CTRL-AIRDN-0082,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-083
CTRL-AIRDN-0083,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-084
CTRL-AIRDN-0084,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-085
CTRL-AIRDN-0085,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-086
CTRL-AIRDN-0086,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-087
CTRL-AIRDN-0087,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-088
CTRL-AIRDN-0088,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-089
CTRL-AIRDN-0089,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-090
CTRL-AIRDN-0090,access review,Flight Operations,designed,SRC-AIRDN-CTRL-091
CTRL-AIRDN-0091,change control,Operations Control,operating,SRC-AIRDN-CTRL-092
CTRL-AIRDN-0092,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-093
CTRL-AIRDN-0093,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-094
CTRL-AIRDN-0094,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-095
CTRL-AIRDN-0095,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-096
CTRL-AIRDN-0096,resilience test,Commercial,operating,SRC-AIRDN-CTRL-097
CTRL-AIRDN-0097,incident review,Cargo,gap,SRC-AIRDN-CTRL-098
CTRL-AIRDN-0098,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-099
CTRL-AIRDN-0099,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-100
CTRL-AIRDN-0100,access review,Technology,designed,SRC-AIRDN-CTRL-101
CTRL-AIRDN-0101,change control,Data and AI,operating,SRC-AIRDN-CTRL-102
CTRL-AIRDN-0102,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-103
