compliance_id,regulation,regulator,category,scope,status,last_exam_date,next_exam_target,finding_count_open,finding_count_high,remediation_deadline,owner,notes
comp:fcfi:001,BSA/AML — Core Program,FinCEN / OCC,BSA/AML,Enterprise-wide,MRA Open,2025-11-14,2026-11-01,3,1,2026-12-31,person:fcfi:patricia-holbrook,"2 MRAs and 1 MRA with Commitment from November 2025 OCC exam; CDD program deficiency is primary; enhanced due diligence gaps; transaction monitoring model overdue for validation"
comp:fcfi:002,Bank Secrecy Act — CDD Rule (31 CFR 1020.220),FinCEN,BSA/AML,Commercial and retail customers,Deficient (MRA),2025-11-14,2026-11-01,2,1,2026-09-30,person:fcfi:patricia-holbrook,"74% CDD completion rate vs 100% required; remediation program tracking to 95% by Q4 2026; OCC monitoring quarterly progress"
comp:fcfi:003,BSA — SAR Program,FinCEN,BSA/AML,Transactions,Active — Enhanced,2025-11-14,2026-11-01,0,0,Ongoing,person:fcfi:patricia-holbrook,"68 SARs filed FY2025; 31% false-positive rate; Actimize transaction monitoring enhancement Q2 2026"
comp:fcfi:004,Bank Secrecy Act — CTR Program,FinCEN,BSA/AML,Cash transactions >$10K,Compliant,2025-11-14,2026-11-01,0,0,Ongoing,person:fcfi:patricia-holbrook,"1,840 CTRs filed FY2025; volume increase due to enhanced monitoring; no FinCEN findings"
comp:fcfi:005,OCC Examination — Safety and Soundness,OCC,Safety and Soundness,Enterprise-wide,Composite Rating 2,2025-11-14,2026-11-01,5,2,2026-12-31,person:fcfi:marcus-osei,"November 2025 exam: CAMELS composite 2; Management component rated 3; BSA/AML and loan review deficiencies cited; overall condition satisfactory with areas for improvement"
comp:fcfi:006,Sarbanes-Oxley — Internal Controls (Section 404),SEC,SOX,Financial reporting controls,Compliant,2026-02-28,2027-02-28,2,0,2026-12-31,person:fcfi:charlotte-reid,"Annual 404(b) audit by EY completed; 2 deficiencies noted (privileged access review and IT change management); neither material weakness; remediation in progress"
comp:fcfi:007,Dodd-Frank — Stress Testing (DFAST),OCC / Federal Reserve,Capital Adequacy,Enterprise capital,Compliant,2025-12,2026-12,0,0,Annual cycle,person:fcfi:marcus-osei,"DFAST 2025 severely adverse CET1 trough 9.4%; above 8.0% minimum; submitted on schedule"
comp:fcfi:008,Basel III Capital Requirements (U.S. implementation),OCC / Federal Reserve,Capital Adequacy,Capital structure,Compliant — Monitoring,Ongoing,Ongoing,0,0,Ongoing,person:fcfi:marcus-osei,"CET1 12.8%; well above 7.0% minimum; Basel III endgame rulemaking tracking; potential RWA increase 8-12% under proposed rules"
comp:fcfi:009,OCC Heightened Standards (12 CFR Part 30 App. D),OCC,Governance,Risk governance,In Progress,2025-11-14,2026-11-01,1,0,2026-06-30,person:fcfi:marcus-osei,"Appetite statement update required; Board risk committee charter revision in progress"
comp:fcfi:010,CFPB — UDAAP (Unfair Deceptive Abusive Acts),CFPB,Consumer Protection,Consumer products,Active monitoring,2024-06-01,2027 (cycle),0,0,Ongoing,person:fcfi:patricia-holbrook,"No open findings; 18 CFPB-forwarded complaints open (above 15 target); debit card fraud disputes primary driver"
comp:fcfi:011,Regulation E — Electronic Fund Transfers,CFPB / Federal Reserve,Consumer Protection,Consumer EFT,Active monitoring,2024-06-01,2027 (cycle),1,0,2026-09-30,person:fcfi:patricia-holbrook,"One finding on dispute resolution timeline documentation; investigation SLA process update Q3 2026"
comp:fcfi:012,Community Reinvestment Act (CRA),OCC,Community Reinvestment,Lending + services + investment,Satisfactory,2024-01-01,2027-2028 (cycle),0,0,Ongoing,person:fcfi:patricia-holbrook,"Satisfactory rating January 2024; Outstanding requires LMI lending improvement in Charlotte metro; $28M LMI loan target FY2026"
comp:fcfi:013,Fair Lending — ECOA / HMDA,OCC / CFPB,Fair Lending,Consumer + mortgage lending,Active monitoring,2024-06-01,2027 (cycle),0,0,Ongoing,person:fcfi:patricia-holbrook,"HMDA data submitted timely; statistical regression completed Q1 2026; no disparate impact findings; home equity penetration in LMI tracts monitored"
