tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,2,FC-AI-001,Real-time scam & APP fraud detection,value,none,forecast,fy26,47000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,2,FC-AI-001,Real-time scam & APP fraud detection,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,3,FC-AI-002,AML alert triage & false-positive reduction,value,none,forecast,fy26,12000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,3,FC-AI-002,AML alert triage & false-positive reduction,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,4,FC-AI-003,SAR narrative drafting copilot,value,none,forecast,fy26,38000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,4,FC-AI-003,SAR narrative drafting copilot,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,5,FC-AI-004,Contact center next-best-action assist,value,none,forecast,fy26,41000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,5,FC-AI-004,Contact center next-best-action assist,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,6,FC-AI-005,Commercial credit spreading automation,value,none,forecast,fy26,27000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,6,FC-AI-005,Commercial credit spreading automation,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,7,FC-AI-006,Customer 360 lakehouse foundation,value,none,forecast,fy26,30000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,7,FC-AI-006,Customer 360 lakehouse foundation,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,8,FC-AI-007,Certified semantic layer for KPIs,value,none,forecast,fy26,17000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,8,FC-AI-007,Certified semantic layer for KPIs,value,none,actual,ytd,96687,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,9,FC-AI-008,Engineering code-assist productivity,value,none,forecast,fy26,37000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,9,FC-AI-008,Engineering code-assist productivity,value,none,actual,ytd,1208161,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,10,FC-AI-009,Regulatory close & reconciliation automation,value,none,forecast,fy26,11000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,10,FC-AI-009,Regulatory close & reconciliation automation,value,none,actual,ytd,416844,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,11,FC-AI-010,Cards dispute & chargeback automation,value,none,forecast,fy26,26000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,11,FC-AI-010,Cards dispute & chargeback automation,value,none,actual,ytd,166217,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,12,FC-AI-011,Wealth advisor proposal generation,value,none,forecast,fy26,43000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,12,FC-AI-011,Wealth advisor proposal generation,value,none,actual,ytd,2158702,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,13,FC-AI-012,Payments exception repair automation,value,none,forecast,fy26,14000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,13,FC-AI-012,Payments exception repair automation,value,none,actual,ytd,500324,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,14,FC-AI-013,Credit risk model SR 11-7 evidence automation,value,none,forecast,fy26,44000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,14,FC-AI-013,Credit risk model SR 11-7 evidence automation,value,none,actual,ytd,1841337,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,15,FC-AI-014,KYC refresh & onboarding intelligence,value,none,forecast,fy26,34000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,15,FC-AI-014,KYC refresh & onboarding intelligence,value,none,actual,ytd,3637080,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
first-capital-financial,ai-control-tower/T01_initiative-registry.csv,16,FC-AI-015,Collections prioritization optimization,value,none,forecast,fy26,18000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
