tenant,source_file,output_file,transform,row_count
apex-retail-synthetic-v4,D19-personas-workforce/D19_personas-workforce.csv,apex-retail/D19-personas-workforce/D19_personas-workforce.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,ai-control-tower/T00_ai-investment-super-template.csv,apex-retail/ai-control-tower/T00_ai-investment-super-template.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,ai-control-tower/T01_initiative-registry.csv,apex-retail/ai-control-tower/T01_initiative-registry.csv,canonical_t01_value_register,14
apex-retail-synthetic-v4,ai-control-tower/T02_project-milestones.csv,apex-retail/ai-control-tower/T02_project-milestones.csv,snake_case_lineage_copy,70
apex-retail-synthetic-v4,ai-control-tower/T03_tool-usage-monthly.csv,apex-retail/ai-control-tower/T03_tool-usage-monthly.csv,snake_case_lineage_copy,44
apex-retail-synthetic-v4,ai-control-tower/T04_agent-outcomes.csv,apex-retail/ai-control-tower/T04_agent-outcomes.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,ai-control-tower/T05_persona-productivity.csv,apex-retail/ai-control-tower/T05_persona-productivity.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,ai-control-tower/T06_dora-delivery-metrics.csv,apex-retail/ai-control-tower/T06_dora-delivery-metrics.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,ai-control-tower/T07_benefit-realization.csv,apex-retail/ai-control-tower/T07_benefit-realization.csv,canonical_t07_benefit_realization,14
apex-retail-synthetic-v4,ai-control-tower/T08_spend-contracts.csv,apex-retail/ai-control-tower/T08_spend-contracts.csv,canonical_t08_preserve_spend_grain,14
apex-retail-synthetic-v4,ai-control-tower/T09_risk-governance.csv,apex-retail/ai-control-tower/T09_risk-governance.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,ai-control-tower/T10_evidence-items.csv,apex-retail/ai-control-tower/T10_evidence-items.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,ai-control-tower/T11_refresh-log.csv,apex-retail/ai-control-tower/T11_refresh-log.csv,snake_case_lineage_copy,1
apex-retail-synthetic-v4,ai-control-tower/T12_derived-actions.csv,apex-retail/ai-control-tower/T12_derived-actions.csv,snake_case_lineage_copy,10
apex-retail-synthetic-v4,ai-control-tower/T13_model-ai-inventory.csv,apex-retail/ai-control-tower/T13_model-ai-inventory.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,family-1-enterprise-operating-model/F01_enterprise-profile.yaml,apex-retail/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,copied_non_csv,
apex-retail-synthetic-v4,family-1-enterprise-operating-model/F02_business-org-functions.csv,apex-retail/family-1-enterprise-operating-model/F02_business-org-functions.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,family-1-enterprise-operating-model/F03_it-org-ownership.csv,apex-retail/family-1-enterprise-operating-model/F03_it-org-ownership.csv,snake_case_lineage_copy,10
apex-retail-synthetic-v4,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,apex-retail/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,snake_case_lineage_copy,14
apex-retail-synthetic-v4,family-2-technology-estate/F05_applications-systems.csv,apex-retail/family-2-technology-estate/F05_applications-systems.csv,snake_case_lineage_copy,170
apex-retail-synthetic-v4,family-2-technology-estate/F06_system-function-mapping.csv,apex-retail/family-2-technology-estate/F06_system-function-mapping.csv,snake_case_lineage_copy,92
apex-retail-synthetic-v4,family-2-technology-estate/F07_infrastructure-cloud.csv,apex-retail/family-2-technology-estate/F07_infrastructure-cloud.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,family-2-technology-estate/F08_platform-volumetrics.csv,apex-retail/family-2-technology-estate/F08_platform-volumetrics.csv,snake_case_lineage_copy,12
apex-retail-synthetic-v4,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,apex-retail/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,snake_case_lineage_copy,100
apex-retail-synthetic-v4,family-4-financial-commercial/F12_it-budget-financials.csv,apex-retail/family-4-financial-commercial/F12_it-budget-financials.csv,canonical_f12_with_reconciled_synthetic_capex_opex_and_run_change,10
