tenant_key,source_file,original_columns,output_columns,transform
apex-retail,D19-personas-workforce/D19_personas-workforce.csv,persona_id | persona_name | business_area | population_count | work_context,persona_id | persona_name | business_area | population_count | work_context | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T00_ai-investment-super-template.csv,initiative_id | initiative_name | business_area | owner_role | stage | promised_benefit_usd | measured_value_usd | value_confidence | status | primary_blocker | evidence_id,initiative_id | initiative_name | business_area | owner_role | stage | promised_benefit_usd | measured_value_usd | value_confidence | status | primary_blocker | evidence_id | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T01_initiative-registry.csv,initiative_id | initiative_name | business_area | owner_role | stage | promised_benefit_usd | measured_value_usd | value_confidence | status | primary_blocker | evidence_id,tenant_key | initiative_id | initiative_name | business_area | portfolio_segment | owner_role | business_sponsor_role | stage | promised_benefit_usd | measured_value_usd | value_confidence | status | evidence_status | scale_decision | primary_blocker | evidence_id | amount_type | view | is_rollup_of | basis | period | formula | formula_version | source_file | source_row | value_source | notes,canonical_t01_value_register
apex-retail,ai-control-tower/T02_project-milestones.csv,initiative_id | milestone_id | milestone_name | due_date | status | blocker_or_condition,initiative_id | milestone_id | milestone_name | due_date | status | blocker_or_condition | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T03_tool-usage-monthly.csv,period | tool_name | licensed_users | active_users | prompts_or_actions | estimated_hours_saved | quality_or_control_flag,period | tool_name | licensed_users | active_users | prompts_or_actions | estimated_hours_saved | quality_or_control_flag | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T04_agent-outcomes.csv,agent_id | agent_name | business_process | work_items_resolved | deflection_pct | exception_rate_pct | human_escalation_pct | approval_status | risk_note,agent_id | agent_name | business_process | work_items_resolved | deflection_pct | exception_rate_pct | human_escalation_pct | approval_status | risk_note | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T05_persona-productivity.csv,persona_id | persona_name | baseline_cycle_time_minutes | current_cycle_time_minutes | quality_metric | quality_before_pct | quality_after_pct | confidence,persona_id | persona_name | baseline_cycle_time_minutes | current_cycle_time_minutes | quality_metric | quality_before_pct | quality_after_pct | confidence | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T06_dora-delivery-metrics.csv,team_or_product | deployment_frequency_before | deployment_frequency_after | lead_time_before_days | lead_time_after_days | change_failure_before_pct | change_failure_after_pct | mttr_before_hours | mttr_after_hours,team_or_product | deployment_frequency_before | deployment_frequency_after | lead_time_before_days | lead_time_after_days | change_failure_before_pct | change_failure_after_pct | mttr_before_hours | mttr_after_hours | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T07_benefit-realization.csv,initiative_id | metric_basis | promised_benefit_usd | measured_value_usd | unrealized_or_blocked_value_usd | confidence | evidence_status,tenant_key | initiative_id | metric_basis | value_basis | promised_benefit_usd | measured_value_usd | unrealized_or_blocked_value_usd | confidence | evidence_status | measurement_method | finance_attested | evidence_id | amount_type | view | is_rollup_of | basis | period | formula | formula_version | source_file | source_row | value_source | notes,canonical_t07_benefit_realization
apex-retail,ai-control-tower/T08_spend-contracts.csv,initiative_id | vendor_or_tool | ytd_spend_usd | annual_budget_usd | contract_value_usd | renewal_date | unit_economic_note,tenant_key | line_id | initiative_id | vendor_or_tool | spend_category | budget_fy26_usd | actual_ytd_usd | contract_value_usd | renewal_date | unit_economic_note | amount_type | view | is_rollup_of | basis | period | formula | formula_version | source_file | source_row | value_source | notes,canonical_t08_preserve_spend_grain
apex-retail,ai-control-tower/T09_risk-governance.csv,initiative_id | risk_id | risk_domain | severity | control_status | exception_or_gap | owner_role,initiative_id | risk_id | risk_domain | severity | control_status | exception_or_gap | owner_role | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T10_evidence-items.csv,evidence_item_id | initiative_id | source_file | source_locator | source_timestamp | review_state | confidence,evidence_item_id | initiative_id | source_file | source_locator | source_timestamp | review_state | confidence | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T11_refresh-log.csv,refresh_id | period | source_freshness | parser_status | approval_state | notes,refresh_id | period | source_freshness | parser_status | approval_state | notes | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T12_derived-actions.csv,action_id | action_title | priority | derived_from | decision_owner | next_decision_date | expected_impact_usd,action_id | action_title | priority | derived_from | decision_owner | next_decision_date | expected_impact_usd | source_file | source_row | value_source,snake_case_lineage_copy
apex-retail,ai-control-tower/T13_model-ai-inventory.csv,model_id | model_name | model_type | use_case | risk_tier | validation_status | pii_phi_financial_data | owner_role,model_id | model_name | model_type | use_case | risk_tier | validation_status | pii_phi_financial_data | owner_role | source_file | source_row | value_source,snake_case_lineage_copy
