family,file,column,required,data_type,allowed_values,fill_rate_pct,tenants_populated,example_value,owner_role,source_system,how_to_extract,validation_rule,exemplar_status
D19-personas-workforce,D19_personas-workforce.csv,persona_id,required,text,,100,5/5,SHA-PER-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
D19-personas-workforce,D19_personas-workforce.csv,persona_name,required,text,,100,5/5,IROPS duty manager,HR / Workforce planning,"HRIS — Workday, SuccessFactors",Aggregate counts by role and location only. Never send individual employee records.,Counts and percentages only. No personally identifiable data.,good
D19-personas-workforce,D19_personas-workforce.csv,business_area,required,text,,100,5/5,OCC,PMO,Portfolio taxonomy,Your own portfolio taxonomy. Keep it stable across files so the same programme groups the same way everywhere.,Use one taxonomy across the whole pack.,good
D19-personas-workforce,D19_personas-workforce.csv,population_count,required,number,,100,5/5,128000,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
D19-personas-workforce,D19_personas-workforce.csv,ai_relevance,recommended,enum,High | Medium,83,4/5,High,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
D19-personas-workforce,D19_personas-workforce.csv,work_context,required,text,,100,5/5,"Recovery decision latency, passenger reaccommodation, cre...",Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
D19-personas-workforce,D19_personas-workforce.csv,source_file,governance,enum,D19-personas-workforce/D19_personas-workforce.csv,100,5/5,D19-personas-workforce/D19_personas-workforce.csv,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
D19-personas-workforce,D19_personas-workforce.csv,source_row,governance,number,,100,5/5,19,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
D19-personas-workforce,D19_personas-workforce.csv,value_source,governance,enum,tenant_file,100,5/5,tenant_file,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T00_ai-investment-super-template.csv,initiative_id,recommended,text,,89,4/5,MER-AI-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T00_ai-investment-super-template.csv,initiative_name,recommended,text,,89,4/5,Databricks AWS clinical + claims lakehouse foundation,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T00_ai-investment-super-template.csv,business_area,recommended,text,,89,4/5,Enterprise data,PMO,Portfolio taxonomy,Your own portfolio taxonomy. Keep it stable across files so the same programme groups the same way everywhere.,Use one taxonomy across the whole pack.,good
ai-control-tower,T00_ai-investment-super-template.csv,owner_role,required,text,,100,5/5,Director of Data,CIO chief of staff / PMO,"Org chart, portfolio governance deck","The ROLE accountable, not a person's name — 'VP Crew Operations', not 'Priya'. Roles survive reorgs and avoid putting personal data in the pack.",Must be a role title. Never a personal name or an email address.,good
ai-control-tower,T00_ai-investment-super-template.csv,stage,recommended,text,,89,4/5,mobilize,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T00_ai-investment-super-template.csv,promised_benefit_usd,recommended,number,,89,4/5,95000000,Initiative business sponsor,"Business case, investment committee paper","The benefit the approved business case promised. Take it from the paper that got funded, not from a later re-forecast — the gap between promise and outcome is the point.",Must trace to an approved business case. Do not net off costs.,good
ai-control-tower,T00_ai-investment-super-template.csv,measured_value_usd,recommended,number,,89,4/5,42000000,Finance business partner,"GL, FP&A benefit tracker","Benefit that Finance has signed off as landed in the P&L or a budget reduction. If Finance has not validated it, leave blank rather than copying the promise.",Must be <= promised. Blank is a legitimate answer and is far better than an optimistic guess.,good
ai-control-tower,T00_ai-investment-super-template.csv,value_confidence,recommended,enum,high | low | medium,89,4/5,medium,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T00_ai-investment-super-template.csv,status,recommended,enum,at_risk | false_positive | hold_until_evidence | kill_candidate | on_track | prove_value | restructure | scale_candidate,89,4/5,at_risk,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T00_ai-investment-super-template.csv,primary_blocker,recommended,text,,89,4/5,PHI/model governance and source evidence missing,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T00_ai-investment-super-template.csv,evidence_id,recommended,text,,89,4/5,MER-EVID-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T00_ai-investment-super-template.csv,source_file,governance,enum,ai-control-tower/T00_ai-investment-super-template.csv,100,5/5,ai-control-tower/T00_ai-investment-super-template.csv,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T00_ai-investment-super-template.csv,source_row,governance,number,,100,5/5,43,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T00_ai-investment-super-template.csv,value_source,governance,enum,tenant_file,100,5/5,tenant_file,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T00_ai-investment-super-template.csv,field_name,recommended,enum,see TEMPLATE_FIELD_GUIDE.csv,11,1/5,see TEMPLATE_FIELD_GUIDE.csv,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T00_ai-investment-super-template.csv,field_group,recommended,enum,ai-control-tower,11,1/5,ai-control-tower,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T00_ai-investment-super-template.csv,required,recommended,enum,required,11,1/5,required,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T00_ai-investment-super-template.csv,description,recommended,enum,"Per-field ownership, source system and extraction guidance is generated into TEMPLATE_FIELD_GUIDE.csv/.md.",11,1/5,"Per-field ownership, source system and extraction guidanc...",Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
