metric_area,field,required_for_demo,required_for_real_client,source_system_examples,capture_guidance,if_missing,dashboard_use,notes
IT budget envelope,budget_fy26_usd,yes,yes,"ERP GL, FP&A planning, Apptio, TBM, Adaptive, Anaplan","Capture approved FY budget by portfolio, function, platform, cost center, and shared-service allocation. Include fiscal year and approval version.",Dashboard can show coverage only; cannot claim budget total.,"Top-line IT budget, budget by function, spend-at-risk denominator","Must be committed budget, not value at stake."
Run/change split,run_budget_fy26_usd / change_budget_fy26_usd,yes,yes,"FP&A budget model, TBM taxonomy, Apptio, IT planning workbook","Classify each budget line as run, change, or mixed. If mixed, provide split percent or allocation logic.",AbarVa may derive from spend_type only if client approves taxonomy; otherwise not_loaded.,"Run/change KPI, modernization posture, invest-vs-operate story",Do not infer from vendor name alone.
CapEx/OpEx split,capex_budget_fy26_usd / opex_budget_fy26_usd,synthetic allowed,yes,"ERP GL, fixed asset ledger, capitalization policy, project accounting",Capture budget and actuals by accounting treatment. Include capitalization policy or GL account mapping.,Demo may synthesize a reconciled split; real client should mark not_loaded until finance source is provided.,"CapEx/OpEx chart, accounting posture, investment mix",Synthetic split must reconcile to budget envelope and be labeled synthetic.
Actual spend YTD,actual_ytd_usd,yes,yes,"ERP actuals, AP, procurement spend cube, cloud billing, project ledger",Capture actual spend through a period-end date at same grain as budget or provide bridge table from actuals to budget lines.,Dashboard shows committed budget but actual/YTD remains partial.,"Spent YTD KPI, burn rate, forecast risk",Need as-of date. Do not mix invoice date and service period without basis.
Forecast EOY,forecast_eoy_usd,optional,recommended,"FP&A forecast, EPM, project forecast workbook",Capture latest forecast with version date and owner.,Show no forecast; avoid overrun claims.,"Forecast variance, budget pressure",Forecast is not actual spend.
Portfolio company allocation,portfolio_company_id / allocation_pct,yes for holding demos,yes for holding companies,"ERP company code, legal entity, cost center hierarchy, shared services allocation model","Capture legal entity or portfolio company for each budget/spend line. For shared services, capture allocation basis and percent.",Dashboard can show enterprise total but cannot slice by company.,"Holding-company Tower view, portfolio-company spend and ROI",Critical for Lakeshore/Morgan-style holding company story.
Vendor exposure,"vendor_name, vendor_id, contract_value_usd, renewal_date",yes,yes,"CLM, procurement, Coupa, Ariba, SAP, Oracle, ServiceNow SAM","Capture vendor master id, contract id, annual contract value, renewal date, system/service supported, and owner.",Vendor charts are partial; renewal/watch windows become unreliable.,"Vendor concentration, renewals, contract exposure",Separate contract value from annual spend.
Initiative/program budget,"initiative_id, initiative_name, budget_fy26_usd",yes,yes,"PPM, Jira Align, ADO, ServiceNow SPM, Smartsheet, PMO workbook","Capture named initiatives with owner, sponsor, budget, stage, status, and link to capability/system/value lever.",Cannot rank programs; chat must say initiative budget not loaded.,"Top programs, portfolio ranking, budget concentration",Program budget is not total IT budget.
Initiative actuals,actual_ytd_usd by initiative,yes,yes,"Project ledger, timesheets, AP, cloud tags, SOW invoices",Map actual spend to initiative ids. Include labor/vendor/cloud categories and as-of period.,ROI and burn-rate are partial.,"Burn rate, value vs spend, scale/hold decisions",Actuals need same initiative ids as budget.
Measured value,measured_value_usd,yes,yes for ROI claims,"Benefits realization ledger, finance attestation, KPI system, operational telemetry","Capture realized value by initiative, period, measurement method, baseline, owner, and finance attestation.","Dashboard can show promised value, but ROI must be marked unproven.","ROI signal, value capture, outcomes tab",Do not use promised benefit as measured value.
Promised value,promised_benefit_usd,yes,recommended,"Business case, charter, investment committee memo",Capture original business-case value and value type with date/version.,"Can still operate on spend, but value thesis missing.","Value at stake, benefit backlog","Separate hard dollar, avoidance, productivity, risk reduction."
Operational KPIs,"kpi_name, baseline, current_value, target_value, period",recommended,yes for Tower outcomes,"ServiceNow, Jira, ERP ops, contact center, supply chain, EHR, OMS, WMS","Capture KPIs tied to initiatives and business functions. Include baseline, current, target, period, and owner.",Tower cannot prove operational outcome; only spend/program status.,"Outcomes tab, operational proof, value realization",KPIs should be function/domain-specific.
AI adoption,"monthly_users, eligible_users, usage_events",yes,recommended,"M365 admin, GitHub/Copilot, ServiceNow, Workday, Salesforce, app telemetry",Capture numerator and denominator: active users/cases and eligible population. Include period.,Adoption score is partial.,"AI adoption KPI, productivity proof",Do not compare tools without denominator.
Risk/pressure,"risk_id, severity, blocker, owner, due_date",yes,yes,"RAID log, GRC, PMO, security risk register, model risk","Capture risk/blocker per initiative/program with severity, owner, mitigation, due date, and status.",Pressure score remains partial and should not be overclaimed.,"Active pressure, spend at risk, board warnings",Needs canonical formula before dashboard scoring.
Evidence lineage,"source_file, source_row, source_system, loaded_at",yes,yes,"AbarVa ingestion receipt, source registry","Every row must carry source, row/cell/sheet/page when possible, upload run id, and freshness.",Block board-grade claims; show gap.,"Citations, audit trail, defensibility",This is non-negotiable for all client data.
Formula governance,"formula, formula_version, basis, period",yes,yes,"AbarVa semantic layer, metric registry","Every derived metric must have formula name/version, basis, period, and owner.","Metric can display as raw only, no derived benchmark/score.","Consistency, deterministic answers, auditability",Prevents dashboard and chat contradiction.
