cell_id,measure_code,measure_name,cohort_key,cohort_label,cohort_attributed_lives,open_gap_count,closed_gap_count,denominator_count,closure_rate_pct,line_of_business,source_system,evidence_note
CG-0001,CBP,Controlling High Blood Pressure,ma_seniors,Medicare Advantage seniors,119000,5554,9558,15112,63.25,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0002,CBP,Controlling High Blood Pressure,medicare_snp,Medicare SNP,38000,10696,3744,14440,25.93,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0003,CBP,Controlling High Blood Pressure,medicaid_adult,Medicaid adult,96000,15836,7330,23166,31.64,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0004,CBP,Controlling High Blood Pressure,commercial_adult,Commercial adult,107000,7499,10914,18413,59.27,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0005,HBD,Hemoglobin A1c Control for Patients With Diabetes,ma_seniors,Medicare Advantage seniors,119000,12641,5100,17741,28.75,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0006,HBD,Hemoglobin A1c Control for Patients With Diabetes,medicare_snp,Medicare SNP,38000,4304,8686,12990,66.87,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0007,HBD,Hemoglobin A1c Control for Patients With Diabetes,medicaid_adult,Medicaid adult,96000,9444,2872,12316,23.32,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0008,HBD,Hemoglobin A1c Control for Patients With Diabetes,commercial_adult,Commercial adult,107000,14586,6457,21043,30.68,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0009,EED,Eye Exam for Patients With Diabetes,ma_seniors,Medicare Advantage seniors,119000,6249,10042,16291,61.64,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0010,EED,Eye Exam for Patients With Diabetes,medicare_snp,Medicare SNP,38000,11390,4229,15619,27.08,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0011,EED,Eye Exam for Patients With Diabetes,medicaid_adult,Medicaid adult,96000,3053,7814,10867,71.91,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
