interface_id,source_system_id,target_system_id,protocol,channel_count,source_control_state,monitoring_state,region_scope,phi_class,evidence_note
INT-0001,SYS-0006,SYS-0012,FHIR,4,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0002,SYS-0011,SYS-0023,X12,7,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0003,SYS-0016,SYS-0034,SFTP,1,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0004,SYS-0021,SYS-0045,API,4,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0005,SYS-0026,SYS-0056,flat-file,7,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0006,SYS-0031,SYS-0067,HL7v2,1,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0007,SYS-0036,SYS-0078,FHIR,4,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0008,SYS-0041,SYS-0089,X12,7,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0009,SYS-0046,SYS-0100,SFTP,1,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0010,SYS-0051,SYS-0111,API,4,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0011,SYS-0056,SYS-0002,flat-file,7,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0012,SYS-0061,SYS-0013,HL7v2,1,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0013,SYS-0066,SYS-0024,FHIR,4,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0014,SYS-0071,SYS-0035,X12,7,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0015,SYS-0076,SYS-0046,SFTP,1,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0016,SYS-0081,SYS-0057,API,4,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0017,SYS-0086,SYS-0068,flat-file,7,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0018,SYS-0091,SYS-0079,HL7v2,1,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0019,SYS-0096,SYS-0090,FHIR,4,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0020,SYS-0101,SYS-0101,X12,7,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0021,SYS-0106,SYS-0112,SFTP,1,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0022,SYS-0111,SYS-0003,API,4,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0023,SYS-0116,SYS-0014,flat-file,7,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0024,SYS-0001,SYS-0025,HL7v2,1,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0025,SYS-0006,SYS-0036,FHIR,4,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0026,SYS-0011,SYS-0047,X12,7,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0027,SYS-0016,SYS-0058,SFTP,1,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0028,SYS-0021,SYS-0069,API,4,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0029,SYS-0026,SYS-0080,flat-file,7,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0030,SYS-0031,SYS-0091,HL7v2,1,not_versioned,not_monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0031,SYS-0036,SYS-0102,FHIR,4,not_versioned,not_monitored,design_scope,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0032,SYS-0041,SYS-0113,X12,7,not_versioned,not_monitored,metro,operations_only,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0033,SYS-0046,SYS-0004,SFTP,1,not_versioned,not_monitored,regional,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
INT-0034,SYS-0051,SYS-0015,API,4,not_versioned,monitored,enterprise,phi,synthetic interface inventory; 41 of 86 channels are intentionally unversioned
