system_id,system_name,category,owner_role,platform,hosting_model,lifecycle_state,feed_cadence,contains_phi_or_pii,integration_count,monitoring_state,source_control_state,evidence_note
SYS-0001,Enterprise EHR,EHR,VP Clinical Apps,Epic,managed cloud,active,daily,yes,12,monitored,catalogued,owned
SYS-0002,Population Health Registry,population health,VP Value Based Care,Epic Healthy Planet,private cloud,active,daily,yes,19,monitored,catalogued,owned
SYS-0003,Care Gap Outreach CRM,care management,Director Data Platform,Salesforce Health Cloud,hospital data center,active,daily,yes,26,monitored,catalogued,owned
SYS-0004,Legacy Population Warehouse,analytics,Director Integration Services,Warehouse,vendor hosted,retired_2024,none,yes,33,monitored,catalogued,owned
SYS-0005,Sepsis Alert Sandbox,clinical AI,VP Application Services,EHR alerting,managed cloud,declined_2025,none,yes,40,not_monitored,catalogued,not_approved
SYS-0006,Island Legacy EHR,EHR,VP Application Services,Oracle Health,private cloud,design_scope_only,weekly,yes,47,not_monitored,catalogued,named_gap
SYS-0007,Care delivery platform 007,security,Director Data Platform,Databricks,vendor hosted,active,near-real-time,yes,9,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0008,Care delivery platform 008,EHR,Director Integration Services,Snowflake,managed cloud,rationalize,weekly,yes,20,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0009,Care delivery platform 009,population health,VP Application Services,ServiceNow,private cloud,monitor,monthly,no,31,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0010,Care delivery platform 010,analytics,VP Clinical Apps,Mirth,hospital data center,active,daily,yes,42,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0011,Care delivery platform 011,claims,VP Value Based Care,Workday,vendor hosted,active,daily,yes,53,not_monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0012,Care delivery platform 012,care management,Director Data Platform,Epic,managed cloud,active,near-real-time,no,64,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0013,Care delivery platform 013,integration,Director Integration Services,Databricks,private cloud,rationalize,weekly,yes,75,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0014,Care delivery platform 014,finance,VP Application Services,Snowflake,hospital data center,monitor,monthly,yes,14,partial,not_versioned,synthetic system inventory row; no patient-level data
SYS-0015,Care delivery platform 015,security,VP Clinical Apps,ServiceNow,vendor hosted,active,daily,no,25,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0016,Care delivery platform 016,EHR,VP Value Based Care,Mirth,managed cloud,active,daily,yes,36,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0017,Care delivery platform 017,population health,Director Data Platform,Workday,private cloud,active,near-real-time,yes,47,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0018,Care delivery platform 018,analytics,Director Integration Services,Epic,hospital data center,rationalize,weekly,no,58,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0019,Care delivery platform 019,claims,VP Application Services,Databricks,vendor hosted,monitor,monthly,yes,69,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0020,Care delivery platform 020,care management,VP Clinical Apps,Snowflake,managed cloud,active,daily,yes,8,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0021,Care delivery platform 021,integration,VP Value Based Care,ServiceNow,private cloud,active,daily,no,19,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0022,Care delivery platform 022,finance,Director Data Platform,Mirth,hospital data center,active,near-real-time,yes,30,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0023,Care delivery platform 023,security,Director Integration Services,Workday,vendor hosted,rationalize,weekly,yes,41,not_monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0024,Care delivery platform 024,EHR,VP Application Services,Epic,managed cloud,monitor,monthly,no,52,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0025,Care delivery platform 025,population health,VP Clinical Apps,Databricks,private cloud,active,daily,yes,63,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0026,Care delivery platform 026,analytics,VP Value Based Care,Snowflake,hospital data center,active,daily,yes,74,partial,not_versioned,synthetic system inventory row; no patient-level data
SYS-0027,Care delivery platform 027,claims,Director Data Platform,ServiceNow,vendor hosted,active,near-real-time,no,13,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0028,Care delivery platform 028,care management,Director Integration Services,Mirth,managed cloud,rationalize,weekly,yes,24,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0029,Care delivery platform 029,integration,VP Application Services,Workday,private cloud,monitor,monthly,yes,35,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0030,Care delivery platform 030,finance,VP Clinical Apps,Epic,hospital data center,active,daily,no,46,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0031,Care delivery platform 031,security,VP Value Based Care,Databricks,vendor hosted,active,daily,yes,57,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0032,Care delivery platform 032,EHR,Director Data Platform,Snowflake,managed cloud,active,near-real-time,yes,68,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0033,Care delivery platform 033,population health,Director Integration Services,ServiceNow,private cloud,rationalize,weekly,no,7,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0034,Care delivery platform 034,analytics,VP Application Services,Mirth,hospital data center,monitor,monthly,yes,18,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0035,Care delivery platform 035,claims,VP Clinical Apps,Workday,vendor hosted,active,daily,yes,29,not_monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0036,Care delivery platform 036,care management,VP Value Based Care,Epic,managed cloud,active,daily,no,40,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0037,Care delivery platform 037,integration,Director Data Platform,Databricks,private cloud,active,near-real-time,yes,51,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0038,Care delivery platform 038,finance,Director Integration Services,Snowflake,hospital data center,rationalize,weekly,yes,62,partial,not_versioned,synthetic system inventory row; no patient-level data
SYS-0039,Care delivery platform 039,security,VP Application Services,ServiceNow,vendor hosted,monitor,monthly,no,73,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0040,Care delivery platform 040,EHR,VP Clinical Apps,Mirth,managed cloud,active,daily,yes,12,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0041,Care delivery platform 041,population health,VP Value Based Care,Workday,private cloud,active,daily,yes,23,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0042,Care delivery platform 042,analytics,Director Data Platform,Epic,hospital data center,active,near-real-time,no,34,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0043,Care delivery platform 043,claims,Director Integration Services,Databricks,vendor hosted,rationalize,weekly,yes,45,not_monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0044,Care delivery platform 044,care management,VP Application Services,Snowflake,managed cloud,monitor,monthly,yes,56,monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0045,Care delivery platform 045,integration,VP Clinical Apps,ServiceNow,private cloud,active,daily,no,67,monitored,catalogued,synthetic system inventory row; no patient-level data
SYS-0046,Care delivery platform 046,finance,VP Value Based Care,Mirth,hospital data center,active,daily,yes,6,partial,catalogued,synthetic system inventory row; no patient-level data
SYS-0047,Care delivery platform 047,security,Director Data Platform,Workday,vendor hosted,active,near-real-time,yes,17,not_monitored,not_versioned,synthetic system inventory row; no patient-level data
SYS-0048,Care delivery platform 048,EHR,Director Integration Services,Epic,managed cloud,rationalize,weekly,no,28,monitored,catalogued,synthetic system inventory row; no patient-level data
