record_id,record_type,label,owner_role,status,severity,metric_value,source_reference,evidence_note
OE-0001,site,Care delivery site 001,Chief Quality Officer,validated,medium,13,extract inventory,synthetic operating evidence row
OE-0002,site,Care delivery site 002,Director Data Platform,partial,high,26,governance log,synthetic operating evidence row
OE-0003,site,Care delivery site 003,VP Application Services,blocked,low,39,process observation,synthetic operating evidence row
OE-0004,site,Care delivery site 004,Clinical Operations Lead,design_scope,medium,52,workshop note,synthetic operating evidence row
OE-0005,site,Care delivery site 005,VP Value Based Care,open,high,65,extract inventory,synthetic operating evidence row
OE-0006,site,Care delivery site 006,Chief Quality Officer,validated,medium,78,governance log,synthetic operating evidence row
OE-0007,site,Care delivery site 007,Director Data Platform,partial,medium,91,process observation,synthetic operating evidence row
OE-0008,site,Care delivery site 008,VP Application Services,blocked,high,3,workshop note,synthetic operating evidence row
OE-0009,site,Care delivery site 009,Clinical Operations Lead,design_scope,low,16,extract inventory,synthetic operating evidence row
OE-0010,site,Care delivery site 010,VP Value Based Care,open,medium,29,governance log,synthetic operating evidence row
OE-0011,site,Care delivery site 011,Chief Quality Officer,validated,medium,42,process observation,synthetic operating evidence row
OE-0012,site,Care delivery site 012,Director Data Platform,partial,low,55,workshop note,synthetic operating evidence row
OE-0013,site,Care delivery site 013,VP Application Services,blocked,medium,68,extract inventory,synthetic operating evidence row
OE-0014,site,Care delivery site 014,Clinical Operations Lead,design_scope,high,81,governance log,synthetic operating evidence row
OE-0015,site,Care delivery site 015,VP Value Based Care,open,low,94,process observation,synthetic operating evidence row
OE-0016,site,Care delivery site 016,Chief Quality Officer,validated,medium,6,workshop note,synthetic operating evidence row
OE-0017,site,Care delivery site 017,Director Data Platform,partial,high,19,extract inventory,synthetic operating evidence row
OE-0018,site,Care delivery site 018,VP Application Services,blocked,low,32,governance log,synthetic operating evidence row
OE-0019,site,Care delivery site 019,Clinical Operations Lead,design_scope,medium,45,process observation,synthetic operating evidence row
OE-0020,site,Care delivery site 020,VP Value Based Care,open,high,58,workshop note,synthetic operating evidence row
OE-0021,site,Care delivery site 021,Chief Quality Officer,validated,medium,71,extract inventory,synthetic operating evidence row
OE-0022,site,Care delivery site 022,Director Data Platform,partial,medium,84,governance log,synthetic operating evidence row
OE-0023,site,Care delivery site 023,VP Application Services,blocked,high,97,process observation,synthetic operating evidence row
OE-0024,site,Care delivery site 024,Clinical Operations Lead,design_scope,low,9,workshop note,synthetic operating evidence row
OE-0025,site,Care delivery site 025,VP Value Based Care,open,medium,22,extract inventory,synthetic operating evidence row
