tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,quarantineReasons,disposition
apex-retail,APX-12-9861DFA3EE,2,owned_by,OWNED_BY,business_function,Store Operations,apex-retail:business_function:store-operations,workforce_role,COO,,APX-BF-001,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-749B815789,3,owned_by,OWNED_BY,business_function,Digital Commerce,apex-retail:business_function:digital-commerce,workforce_role,Chief Digital Officer,,APX-BF-002,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-7B981119E9,4,owned_by,OWNED_BY,business_function,Merchandising,apex-retail:business_function:merchandising,workforce_role,Chief Merchandising Officer,,APX-BF-003,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-FD2EC43BF1,5,owned_by,OWNED_BY,business_function,Supply Chain and Fulfillment,apex-retail:business_function:supply-chain-and-fulfillment,workforce_role,Chief Supply Chain Officer,,APX-BF-004,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-DBE5D4A6D5,6,owned_by,OWNED_BY,business_function,Loyalty and Customer Growth,apex-retail:business_function:loyalty-and-customer-growth,workforce_role,Chief Marketing Officer,,APX-BF-005,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-6998F0EA19,7,owned_by,OWNED_BY,business_function,Finance and FP&A,apex-retail:business_function:finance-and-fp-a,workforce_role,CFO,,APX-BF-006,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-8F4DD245A0,8,owned_by,OWNED_BY,business_function,Loss Prevention and Risk,apex-retail:business_function:loss-prevention-and-risk,workforce_role,Chief Risk Officer,,APX-BF-007,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-22A8610220,9,owned_by,OWNED_BY,business_function,Technology,apex-retail:business_function:technology,workforce_role,CIO,,APX-BF-008,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-3CFF8FDDA2,10,owned_by,OWNED_BY,business_function,Human Resources,apex-retail:business_function:human-resources,workforce_role,CHRO,,APX-BF-009,medium,none,unresolved-to-node,quarantined-no-graph-materialization
apex-retail,APX-12-24407215FA,11,owned_by,OWNED_BY,business_function,Procurement and Vendor Management,apex-retail:business_function:procurement-and-vendor-management,workforce_role,Chief Procurement Officer,,APX-BF-010,medium,none,unresolved-to-node,quarantined-no-graph-materialization
