domain,reason,remediation
org_ownership,"substantively_empty_despite_row_count: 116 rows, 0 pass the substantive-row rule for org_ownership","Governed data enrichment required: real, non-placeholder org_ownership content is missing for most rows, not just a formatting gap."
workforce_roles,"substantively_empty_despite_row_count: 22 rows, 0 pass the substantive-row rule for workforce_roles","Governed data enrichment required: real, non-placeholder workforce_roles content is missing for most rows, not just a formatting gap."
infrastructure_platforms,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder infrastructure_platforms content is missing for most rows, not just a formatting gap."
infrastructure_platforms,"substantively_empty_despite_row_count: 128 rows, 0 pass the substantive-row rule for infrastructure_platforms","Governed data enrichment required: real, non-placeholder infrastructure_platforms content is missing for most rows, not just a formatting gap."
spend_value,no_usable_identity: only 23.94% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder spend_value content is missing for most rows, not just a formatting gap."
ai_automation_use_cases,"substantively_empty_despite_row_count: 36 rows, 0 pass the substantive-row rule for ai_automation_use_cases","Governed data enrichment required: real, non-placeholder ai_automation_use_cases content is missing for most rows, not just a formatting gap."
relationships,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder relationships content is missing for most rows, not just a formatting gap."
relationships,"substantively_empty_despite_row_count: 519 rows, 0 pass the substantive-row rule for relationships","Governed data enrichment required: real, non-placeholder relationships content is missing for most rows, not just a formatting gap."
industry_context_patterns,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder industry_context_patterns content is missing for most rows, not just a formatting gap."
industry_context_patterns,"substantively_empty_despite_row_count: 24 rows, 0 pass the substantive-row rule for industry_context_patterns","Governed data enrichment required: real, non-placeholder industry_context_patterns content is missing for most rows, not just a formatting gap."
expert_lenses,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder expert_lenses content is missing for most rows, not just a formatting gap."
expert_lenses,"substantively_empty_despite_row_count: 18 rows, 0 pass the substantive-row rule for expert_lenses","Governed data enrichment required: real, non-placeholder expert_lenses content is missing for most rows, not just a formatting gap."
service_scope_managed_services,"substantively_empty_despite_row_count: 8 rows, 0 pass the substantive-row rule for service_scope_managed_services","Governed data enrichment required: real, non-placeholder service_scope_managed_services content is missing for most rows, not just a formatting gap."
operational_process_evidence,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%),"Governed data enrichment required: real, non-placeholder operational_process_evidence content is missing for most rows, not just a formatting gap."
operational_process_evidence,"substantively_empty_despite_row_count: 112 rows, 0 pass the substantive-row rule for operational_process_evidence","Governed data enrichment required: real, non-placeholder operational_process_evidence content is missing for most rows, not just a formatting gap."
