control_id,risk_domain,control_name,owner_role,status,evidence_id,notes
SHA-CTRL-001,FAA safety,Evidence control 1,Chief Safety Officer,gap,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-002,DOT consumer,Approval control 2,Chief Legal Officer,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-003,TSA security,Monitoring control 3,CISO,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-004,PCI,Exception control 4,CDAO,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-005,privacy,Audit control 5,Controller,effective,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-006,SOX,Lineage control 6,AI Governance Lead,review_required,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-007,AI governance,Evidence control 7,Chief Safety Officer,effective,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-008,cyber resilience,Approval control 8,Chief Legal Officer,gap,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-009,third-party,Monitoring control 9,CISO,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-010,FAA safety,Exception control 10,CDAO,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-011,DOT consumer,Audit control 11,Controller,review_required,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-012,TSA security,Lineage control 12,AI Governance Lead,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-013,PCI,Evidence control 13,Chief Safety Officer,effective,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-014,privacy,Approval control 14,Chief Legal Officer,effective,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-015,SOX,Monitoring control 15,CISO,gap,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-016,AI governance,Exception control 16,CDAO,review_required,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-017,cyber resilience,Audit control 17,Controller,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-018,third-party,Lineage control 18,AI Governance Lead,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-019,FAA safety,Evidence control 19,Chief Safety Officer,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-020,DOT consumer,Approval control 20,Chief Legal Officer,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-021,TSA security,Monitoring control 21,CISO,review_required,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-022,PCI,Exception control 22,CDAO,gap,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-023,privacy,Audit control 23,Controller,effective,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-024,SOX,Lineage control 24,AI Governance Lead,effective,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-025,AI governance,Evidence control 25,Chief Safety Officer,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-026,cyber resilience,Approval control 26,Chief Legal Officer,review_required,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
