tenant_key,dimension_key,dimension_name,source_context_hash
meridian-health,00_enterprise_profile,Enterprise Profile,sha256:2c8d88166d819ba82c8d88166d819ba82c8d88166d819ba82c8d88166d819ba8
meridian-health,01_business_functions,Business Functions,sha256:0ad8c838f197df130ad8c838f197df130ad8c838f197df130ad8c838f197df13
meridian-health,02_org_ownership,Org Ownership,sha256:f7408d27864cf1e0f7408d27864cf1e0f7408d27864cf1e0f7408d27864cf1e0
meridian-health,03_workforce_roles,Workforce Roles,sha256:07fb80ffae8d248307fb80ffae8d248307fb80ffae8d248307fb80ffae8d2483
meridian-health,04_applications_systems,Applications & Systems,sha256:41da6757dae417af41da6757dae417af41da6757dae417af41da6757dae417af
meridian-health,05_data_assets_integrations,Data Assets & Integrations,sha256:8f1cef6587ea56958f1cef6587ea56958f1cef6587ea56958f1cef6587ea5695
meridian-health,06_infrastructure_platforms,Infrastructure & Platforms,sha256:362c2cde8d68cd3c362c2cde8d68cd3c362c2cde8d68cd3c362c2cde8d68cd3c
meridian-health,07_vendors_contracts,Vendors & Contracts,sha256:89d89546f54a535789d89546f54a535789d89546f54a535789d89546f54a5357
meridian-health,08_it_budget_spend_value,"IT Budget, Spend & Value",sha256:46f1e05a2cf8ce3146f1e05a2cf8ce3146f1e05a2cf8ce3146f1e05a2cf8ce31
meridian-health,09_programs_initiatives,Programs & Initiatives,sha256:d06dbd97a78a29f6d06dbd97a78a29f6d06dbd97a78a29f6d06dbd97a78a29f6
meridian-health,10_ai_automation_use_cases,AI & Automation Use Cases,sha256:1be0f10817c90df31be0f10817c90df31be0f10817c90df31be0f10817c90df3
meridian-health,11_risks_controls,Risks & Controls,sha256:b218a37936a3328cb218a37936a3328cb218a37936a3328cb218a37936a3328c
meridian-health,12_relationships,Relationships,sha256:0bceae589a4a18ed0bceae589a4a18ed0bceae589a4a18ed0bceae589a4a18ed
meridian-health,13_evidence_sources,Evidence Sources,sha256:a0b3a0e1212cdad9a0b3a0e1212cdad9a0b3a0e1212cdad9a0b3a0e1212cdad9
meridian-health,14_metrics_outcomes,Metrics & Outcomes,sha256:b5f9d2f9c3de01a1b5f9d2f9c3de01a1b5f9d2f9c3de01a1b5f9d2f9c3de01a1
meridian-health,15_industry_context_patterns,Industry Context Patterns,sha256:627d32269dae8816627d32269dae8816627d32269dae8816627d32269dae8816
meridian-health,16_expert_lenses,Expert Lenses,sha256:44eea262d65abe3444eea262d65abe3444eea262d65abe3444eea262d65abe34
meridian-health,17_managed_services_scope,Managed Services Scope,sha256:b0f40f3de57d1af9b0f40f3de57d1af9b0f40f3de57d1af9b0f40f3de57d1af9
meridian-health,18_operational_process_evidence,Operational Process Evidence,sha256:1297386deb755e341297386deb755e341297386deb755e341297386deb755e34
