incident_id,app_id,opened_at,severity,customer_impact,root_cause
FCF-INC-001,FCF-APP-FIS-HORIZON,2026-01-01,sev1,client-facing latency or failure,core batch delay
FCF-INC-002,FCF-APP-NCINO,2026-02-02,sev3,internal operational impact,vendor change defect
FCF-INC-003,FCF-APP-ORACLE-EBS-REMNANTS,2026-03-03,sev3,internal operational impact,API timeout
FCF-INC-004,FCF-APP-ONLINE-ACCOUNT-OPENING,2026-04-04,sev3,client-facing latency or failure,data-quality defect
FCF-INC-005,FCF-APP-ERP-FINANCE-021,2026-05-05,sev2,internal operational impact,capacity threshold
FCF-INC-006,FCF-APP-PAYMENTS-026,2026-06-06,sev3,internal operational impact,core batch delay
FCF-INC-007,FCF-APP-DATA-PLATFORM-031,2026-07-07,sev3,client-facing latency or failure,vendor change defect
FCF-INC-008,FCF-APP-MODEL-RISK-036,2026-08-08,sev3,internal operational impact,API timeout
FCF-INC-009,FCF-APP-WEALTH-041,2026-09-09,sev2,internal operational impact,data-quality defect
FCF-INC-010,FCF-APP-BRANCH-ATM-046,2026-10-10,sev3,client-facing latency or failure,capacity threshold
FCF-INC-011,FCF-APP-DIGITAL-BANKING-051,2026-11-11,sev1,internal operational impact,core batch delay
FCF-INC-012,FCF-APP-CYBERSECURITY-056,2026-12-12,sev3,internal operational impact,vendor change defect
FCF-INC-013,FCF-APP-CORE-BANKING-061,2026-01-13,sev2,client-facing latency or failure,API timeout
FCF-INC-014,FCF-APP-FINANCIAL-CRIMES-066,2026-02-14,sev3,internal operational impact,data-quality defect
FCF-INC-015,FCF-APP-CONTACT-CENTER-071,2026-03-15,sev3,internal operational impact,capacity threshold
FCF-INC-016,FCF-APP-COMMERCIAL-LENDING-076,2026-04-16,sev3,client-facing latency or failure,core batch delay
FCF-INC-017,FCF-APP-ERP-FINANCE-081,2026-05-17,sev2,internal operational impact,vendor change defect
FCF-INC-018,FCF-APP-PAYMENTS-086,2026-06-18,sev3,internal operational impact,API timeout
FCF-INC-019,FCF-APP-DATA-PLATFORM-091,2026-07-19,sev3,client-facing latency or failure,data-quality defect
FCF-INC-020,FCF-APP-MODEL-RISK-096,2026-08-20,sev3,internal operational impact,capacity threshold
FCF-INC-021,FCF-APP-WEALTH-101,2026-09-21,sev1,internal operational impact,core batch delay
FCF-INC-022,FCF-APP-BRANCH-ATM-106,2026-10-22,sev3,client-facing latency or failure,vendor change defect
FCF-INC-023,FCF-APP-DIGITAL-BANKING-111,2026-11-23,sev3,internal operational impact,API timeout
FCF-INC-024,FCF-APP-CYBERSECURITY-116,2026-12-24,sev3,internal operational impact,data-quality defect
FCF-INC-025,FCF-APP-CORE-BANKING-121,2026-01-25,sev2,client-facing latency or failure,capacity threshold
