tenant_key,source_record_id,ai_program_id,program_name,ai_use_case_id,vendor_name,tool_name,business_function,process_area,promised_benefit_type,promised_value_usd,funded_spend_usd,actual_spend_ytd_usd,baseline_metric,baseline_value,target_metric,target_value,usage_metric,usage_target,usage_actual,adoption_rate_pct,enabled_users,active_users,usage_rate_pct,operational_kpi,kpi_baseline,kpi_actual,finance_validated_value_usd,finance_validation_status,value_claim_status,evidence_id,source_extract,refresh_cadence,tower_claim_allowed,caveat,evidence_type,evidence_owner,evidence_source_system,evidence_extract_date,evidence_period_start,evidence_period_end,evidence_refresh_cadence,evidence_freshness_status,owner_attestation_status,duplicate_risk,additive_status,realized_value_allowed,decision_action
meridian-health,SA08-001,AIPGM-001,RAF Coding Gap AI Assistant,AIUC-001,Cotiviti,RAF Coding Gap AI Assistant,Health Plan & Payer Operations,Risk adjustment coding review,staff_time_savings,4701000,2223259,864168,Risk adjustment coding review baseline throughput,379,Risk adjustment coding review target throughput,790,active_users_per_month,481,280,58.2,481,280,58.2,Epic Uptime — Production Environments,62.5,60.9,0,not_yet_measurable,not_yet_measurable,EVID-AI-001,synthetic AI benefits ledger export,monthly,false,RAF Coding Gap AI (change record #14552) Assistant's value estimate (pending (audit note #93184) Finance sign-off) shouldn't be (ticket #14527) cited externally yet.,vendor_usage_extract,CDAO,Epic Tapestry,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,none_identified,potentially_overlapping,false,Continue funding at current level
meridian-health,SA08-002,AIPGM-002,Ambient Clinical Documentation (DAX Copilot),AIUC-002,Nuance Communications (Microsoft),Ambient Clinical Documentation (DAX Copilot),Clinical Informatics,Physician note generation,cost_avoidance,2844000,1980634,1089416,Physician note generation baseline throughput,619,Physician note generation target throughput,404,active_users_per_month,536,291,54.3,536,291,54.3,Member Call Center Average Speed to Answer,67.5,39.4,0,not_yet_measurable,not_yet_measurable,EVID-AI-002,synthetic AI benefits ledger export,monthly,false,Ambient Clinical Documentation (DAX (change record #90217) Copilot)'s value estimate (still (review item #21101) awaiting Finance sign-off) shouldn't (change record #77657) be cited externally yet.,vendor_usage_extract,CDAO,Epic Hyperspace,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,attested,none_identified,additive,false,Continue funding at current level
meridian-health,SA08-003,AIPGM-003,Denials Prediction & Prevention Model,AIUC-003,Waystar,Denials Prediction & Prevention Model,Revenue Cycle,Claims denial triage,quality_measure_lift,2826000,1702922,1072845,Claims denial triage baseline throughput,383,Claims denial triage target throughput,706,active_users_per_month,851,550,64.6,851,550,64.6,30-Day Case Closure Rate — Denials AI,33.1,14.8,0,disputed_needs_evidence,disputed_needs_evidence,EVID-AI-003,synthetic AI benefits ledger export,monthly,false,Denials Prediction & Prevention (audit note #79401) Model's value estimate (not (incident #3888) yet Finance sign-off) shouldn't (review item #39360) be cited externally yet.,vendor_usage_extract,CDAO,Epic Resolute Hospital Billing,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,attested,possible_overlap_with_adjacent_use_case,additive,false,Escalate for finance validation before next budget cycle
meridian-health,SA08-004,AIPGM-004,HEDIS Care Gap Prioritization Engine,AIUC-004,Cotiviti,HEDIS Care Gap Prioritization Engine,Quality & Regulatory Affairs,Care gap outreach targeting,staff_time_savings,4496000,3809576,3801334,Care gap outreach targeting baseline throughput,20,Care gap outreach targeting target throughput,1112,active_users_per_month,351,132,37.6,351,132,37.6,Patient Portal (MyChart) Activation Rate,73.8,23.0,0,not_yet_measurable,not_yet_measurable,EVID-AI-004,synthetic AI benefits ledger export,monthly,false,HEDIS Care Gap Prioritization (incident #88093) Engine's value estimate (not (work order #5447) yet Finance sign-off) shouldn't (change record #60279) be cited externally yet.,vendor_usage_extract,CDAO,Epic Healthy Planet,2026-07-31,2026-01-01,2026-06-30,monthly,current,pending_attestation,possible_overlap_with_adjacent_use_case,potentially_overlapping,false,Pause expansion pending evidence review
meridian-health,SA08-005,AIPGM-005,Sepsis Early-Warning Model,AIUC-005,Epic Systems Corporation,Sepsis Early-Warning Model,Nursing Operations,Inpatient deterioration alerting,cost_avoidance,1273000,816118,306216,Inpatient deterioration alerting baseline throughput,567,Inpatient deterioration alerting target throughput,1017,active_users_per_month,151,80,53.0,151,80,53.0,30-Day All-Cause Readmission Rate,63.9,83.8,0,not_yet_measurable,not_yet_measurable,EVID-AI-005,synthetic AI benefits ledger export,monthly,false,Sepsis Early-Warning Model's value (review item #46605) estimate (still awaiting Finance (incident #38676) sign-off) shouldn't be cited (work order #80429) externally yet.,vendor_usage_extract,CDAO,Epic ClinDoc,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,none_identified,additive,false,Continue funding at current level
meridian-health,SA08-006,AIPGM-006,Readmission Risk Stratification Model,AIUC-006,Epic Systems Corporation,Readmission Risk Stratification Model,Population Health & Care Management,Discharge risk scoring,revenue_capture,3462000,2332791,1575070,Discharge risk scoring baseline throughput,656,Discharge risk scoring target throughput,307,active_users_per_month,735,328,44.6,735,328,44.6,Epic Uptime — Production Environments,78.8,30.9,1096961,finance_validated,finance_validated,EVID-AI-006,synthetic AI benefits ledger export,monthly,true,"Readmission Risk Stratification Model (audit note #6940) is finance-validated in this (change record #52162) synthetic delivery, (ticket #13782) not an audited figure.",vendor_usage_extract,CDAO,Epic Healthy Planet,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,pending_attestation,possible_overlap_with_adjacent_use_case,potentially_overlapping,true,Pause expansion pending evidence review
meridian-health,SA08-007,AIPGM-007,Prior Authorization AI Triage,AIUC-007,MCG Health,Prior Authorization AI Triage,Health Plan & Payer Operations,Utilization management triage,cycle_time_reduction,6040000,4744543,1455977,Utilization management triage baseline throughput,423,Utilization management triage target throughput,495,active_users_per_month,764,360,47.1,764,360,47.1,Epic Uptime — Production Environments,32.3,73.5,4165500,finance_validated,finance_validated,EVID-AI-007,synthetic AI benefits ledger export,monthly,true,"Prior Authorization AI Triage (change record #47188) is finance-validated in this (audit note #82388) synthetic delivery, (log entry #69815) not a real Finance (incident #30085) sign-off.",vendor_usage_extract,CDAO,Epic Tapestry,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,pending_attestation,possible_overlap_with_adjacent_use_case,potentially_overlapping,true,Pause expansion pending evidence review
meridian-health,SA08-008,AIPGM-008,Contact Center Virtual Assistant,AIUC-008,Microsoft Corporation,Contact Center Virtual Assistant,Member Services & Patient Experience,Member inbound call deflection,denial_reduction,5970000,3587550,2486147,Member inbound call deflection baseline throughput,245,Member inbound call deflection target throughput,195,active_users_per_month,882,327,37.1,882,327,37.1,Patient Portal (MyChart) Activation Rate,62.2,74.5,2898968,finance_validated,finance_validated,EVID-AI-008,synthetic AI benefits ledger export,monthly,true,"Contact Center Virtual Assistant (case #98777) is finance-validated in this (audit note #86129) synthetic delivery, (work order #33874) not a real Finance (work order #36867) sign-off.",vendor_usage_extract,CDAO,Salesforce,2026-07-31,2026-01-01,2026-06-30,monthly,current,pending_attestation,none_identified,potentially_overlapping,true,Proceed to enterprise-wide rollout decision
meridian-health,SA08-009,AIPGM-009,No-Show Prediction & Scheduling Optimization,AIUC-009,Epic Systems Corporation,No-Show Prediction & Scheduling Optimization,Ambulatory & Physician Network Operations,Ambulatory scheduling,quality_measure_lift,5543000,2295710,1683498,Ambulatory scheduling baseline throughput,889,Ambulatory scheduling target throughput,974,active_users_per_month,610,401,65.7,610,401,65.7,Interface Engine Message Failure Rate,35.8,73.7,0,pending_finance_validation,pending_finance_validation,EVID-AI-009,synthetic AI benefits ledger export,monthly,false,No-Show Prediction & Scheduling (log entry #60537) Optimization's value estimate (pending (case #17654) Finance sign-off) shouldn't be (ticket #86827) cited externally yet.,vendor_usage_extract,CDAO,Epic Cadence,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,possible_overlap_with_adjacent_use_case,additive,false,Pause expansion pending evidence review
meridian-health,SA08-010,AIPGM-010,Charge Capture Anomaly Detection,AIUC-010,Waystar,Charge Capture Anomaly Detection,Revenue Cycle,Charge integrity review,cycle_time_reduction,3865000,1739298,1038297,Charge integrity review baseline throughput,397,Charge integrity review target throughput,362,active_users_per_month,311,171,55.0,311,171,55.0,Member Call Center Average Speed to Answer,45.3,75.6,0,pending_finance_validation,pending_finance_validation,EVID-AI-010,synthetic AI benefits ledger export,monthly,false,Charge Capture Anomaly Detection's (log entry #50992) value estimate (still awaiting (change record #15146) Finance sign-off) shouldn't be (log entry #81206) cited externally yet.,vendor_usage_extract,CDAO,Epic Resolute Professional Billing,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,attested,possible_overlap_with_adjacent_use_case,potentially_overlapping,false,Continue funding at current level
meridian-health,SA08-011,AIPGM-011,STARS Member Outreach Next-Best-Action,AIUC-011,Inovalon,STARS Member Outreach Next-Best-Action,Health Plan & Payer Operations,STARS measure outreach,staff_time_savings,479000,260735,192398,STARS measure outreach baseline throughput,352,STARS measure outreach target throughput,639,active_users_per_month,473,244,51.6,473,244,51.6,Claims Auto-Adjudication Rate,20.1,79.1,171651,finance_validated,finance_validated,EVID-AI-011,synthetic AI benefits ledger export,monthly,true,"STARS Member Outreach Next-Best-Action (audit note #80870) is finance-validated in this (incident #25002) synthetic delivery, (case #88721) not a real Finance (incident #49735) sign-off.",vendor_usage_extract,CDAO,Epic Tapestry,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,none_identified,additive,true,Proceed to enterprise-wide rollout decision
meridian-health,SA08-012,AIPGM-012,Nurse Staffing Demand Forecasting,AIUC-012,UKG (Ultimate Kronos Group),Nurse Staffing Demand Forecasting,Nursing Operations,Staffing/scheduling forecast,cycle_time_reduction,2636000,1057708,600531,Staffing/scheduling forecast baseline throughput,518,Staffing/scheduling forecast target throughput,567,active_users_per_month,890,503,56.5,890,503,56.5,Emergency Department Left-Without-Being-Seen Rate,30.6,15.6,1683801,finance_validated,finance_validated,EVID-AI-012,synthetic AI benefits ledger export,monthly,true,"Nurse Staffing Demand Forecasting (incident #21203) is finance-validated in this (change record #47652) synthetic delivery, (log entry #97529) not a real Finance (change record #53368) sign-off.",vendor_usage_extract,CDAO,Epic ClinDoc,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,none_identified,potentially_overlapping,true,Proceed to enterprise-wide rollout decision
meridian-health,SA08-013,AIPGM-013,Remote Patient Monitoring Triage Assistant,AIUC-013,Biofourmis,Remote Patient Monitoring Triage Assistant,Population Health & Care Management,RPM alert triage,cost_avoidance,5174000,2791380,2768794,RPM alert triage baseline throughput,260,RPM alert triage target throughput,173,active_users_per_month,357,204,57.1,357,204,57.1,Ambulatory No-Show Rate,56.4,52.2,3343317,finance_validated,finance_validated,EVID-AI-013,synthetic AI benefits ledger export,monthly,true,"Remote Patient Monitoring Triage (incident #62327) Assistant is finance-validated in (incident #7092) this synthetic delivery, (ticket #28140) not an audited figure.",vendor_usage_extract,CDAO,Epic Healthy Planet,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,attested,none_identified,potentially_overlapping,true,Pause expansion pending evidence review
meridian-health,SA08-014,AIPGM-014,Supply Chain Demand Forecasting AI,AIUC-014,Infor (Lawson),Supply Chain Demand Forecasting AI,Supply Chain & Procurement,Inventory forecasting,cost_avoidance,3984000,3089470,1232434,Inventory forecasting baseline throughput,822,Inventory forecasting target throughput,782,active_users_per_month,576,228,39.6,576,228,39.6,Sepsis Bundle Compliance Rate,13.2,68.6,0,pending_finance_validation,pending_finance_validation,EVID-AI-014,synthetic AI benefits ledger export,monthly,false,Supply Chain Demand Forecasting (case #16595) AI's value estimate (not (log entry #94386) yet Finance sign-off) shouldn't (case #17077) be cited externally yet.,vendor_usage_extract,CDAO,Epic OpTime,2026-07-31,2026-01-01,2026-06-30,monthly,current,attested,none_identified,potentially_overlapping,false,Continue funding at current level
meridian-health,SA08-015,AIPGM-015,Behavioral Health Risk Screening Assistant,AIUC-015,Epic Systems Corporation,Behavioral Health Risk Screening Assistant,Behavioral Health,Suicide/self-harm risk screening,denial_reduction,4347000,1743720,1416869,Suicide/self-harm risk screening baseline throughput,241,Suicide/self-harm risk screening target throughput,914,active_users_per_month,128,54,42.2,128,54,42.2,Discharge Before Noon Rate,20.8,60.0,0,disputed_needs_evidence,disputed_needs_evidence,EVID-AI-015,synthetic AI benefits ledger export,monthly,false,Behavioral Health Risk Screening (incident #73997) Assistant's value estimate (not (audit note #79818) yet Finance sign-off) shouldn't (incident #48716) be cited externally yet.,vendor_usage_extract,CDAO,Epic ClinDoc,2026-07-31,2026-01-01,2026-06-30,monthly,current,pending_attestation,possible_overlap_with_adjacent_use_case,additive,false,Expand pilot to additional facility
meridian-health,SA08-016,AIPGM-016,Radiology Worklist Prioritization AI,AIUC-016,GE HealthCare,Radiology Worklist Prioritization AI,Clinical Informatics,Imaging triage,revenue_capture,2354000,1275137,532844,Imaging triage baseline throughput,51,Imaging triage target throughput,403,active_users_per_month,273,158,57.9,273,158,57.9,Days in Accounts Receivable (AR),63.2,50.2,1128846,finance_validated,finance_validated,EVID-AI-016,synthetic AI benefits ledger export,monthly,true,"Radiology Worklist Prioritization AI (incident #45763) is finance-validated in this (ticket #35273) synthetic delivery, (log entry #59903) not an audited figure.",vendor_usage_extract,CDAO,Epic Radiant,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,attested,possible_overlap_with_adjacent_use_case,additive,true,Proceed to enterprise-wide rollout decision
meridian-health,SA08-017,AIPGM-017,Claims Auto-Adjudication Expansion,AIUC-017,Change Healthcare,Claims Auto-Adjudication Expansion,Health Plan & Payer Operations,Claims processing automation,cycle_time_reduction,1777000,1129012,955385,Claims processing automation baseline throughput,135,Claims processing automation target throughput,1059,active_users_per_month,100,64,64.0,100,64,64.0,Inpatient Average Length of Stay,23.1,35.3,0,not_yet_measurable,not_yet_measurable,EVID-AI-017,synthetic AI benefits ledger export,monthly,false,Claims Auto-Adjudication Expansion's value (work order #8787) estimate (not yet Finance (work order #5418) sign-off) shouldn't be cited (audit note #51442) externally yet.,vendor_usage_extract,CDAO,Epic Tapestry,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,pending_attestation,possible_overlap_with_adjacent_use_case,potentially_overlapping,false,Pause expansion pending evidence review
meridian-health,SA08-018,AIPGM-018,Patient Financial Propensity-to-Pay Model,AIUC-018,TransUnion Healthcare,Patient Financial Propensity-to-Pay Model,Revenue Cycle,Patient financial counseling targeting,denial_reduction,1995000,1623869,1415149,Patient financial counseling targeting baseline throughput,193,Patient financial counseling targeting target throughput,335,active_users_per_month,128,95,74.2,128,95,74.2,Emergency Department Left-Without-Being-Seen Rate,28.3,47.3,713593,finance_validated,finance_validated,EVID-AI-018,synthetic AI benefits ledger export,monthly,true,"Patient Financial Propensity-to-Pay Model (change record #83317) is finance-validated in this (ticket #1554) synthetic delivery, (change record #17302) pending real-world confirmation.",vendor_usage_extract,CDAO,Epic Resolute Hospital Billing,2026-07-31,2026-01-01,2026-06-30,monthly,stale_needs_refresh,pending_attestation,none_identified,additive,true,Escalate for finance validation before next budget cycle
