tenant_key,source_record_id,ai_program_id,ai_use_case_id,vendor_name,tool_name,tool_category,business_function,process_area,usage_period_start,usage_period_end,licensed_users,enabled_users,active_users,power_users,usage_events,usage_rate_pct,adoption_target_pct,adoption_gap_pct,baseline_metric_name,baseline_metric_value,target_metric_value,actual_metric_value,metric_unit,promised_value_usd,finance_validated_value_usd,value_claim_status,evidence_id,source_system,extract_date,business_owner,it_owner,finance_validator,confidence,notes,metered_unit,metered_quantity,metered_quantity_period,contracted_quantity,acceptance_rate_pct,task_completion_rate_pct,median_latency_seconds,license_state_breakdown,agent_creator_type,per_surface_breakdown,collection_method,collection_endpoint,refresh_lag_hours,shadow_usage_flag
meridian-health,SA09-001,AIPGM-001,AIUC-001,Cotiviti,RAF Coding Gap AI Assistant,generative_assist,Health Plan & Payer Operations,Risk adjustment coding review,2026-01-01,2026-06-30,558,429,345,38,1725,61.8,75,13.2,Risk adjustment coding review manual baseline,49,15,65,cases_per_day,5268000,2795000,finance_validated,EVID-AI-001,Epic Tapestry,2026-07-31,"President, Meridian Health Plan",CDAO,CFO,medium,RAF Coding Gap AI (case #35146) Assistant's usage figures approximate (audit note #13679) what a real Cotiviti (review item #2886) export would show.,requests,78516,2026-01-01 to 2026-06-30,98000,37,49,1.2,licensed 558; enabled 429; disabled-but-billed 129; enabled-never-active 84,unknown,Primary surface 99%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-002,AIPGM-002,AIUC-002,Nuance Communications (Microsoft),Ambient Clinical Documentation (DAX Copilot),conversational_agent,Clinical Informatics,Physician note generation,2026-01-01,2026-06-30,848,676,314,51,5024,37.0,70,33.0,Physician note generation manual baseline,51,38,90,cases_per_day,1162000,1822000,finance_validated,EVID-AI-002,Epic Hyperspace,2026-07-31,CMIO,CDAO,CFO,medium,Ambient Clinical Documentation (DAX (incident #33923) Copilot)'s usage figures approximate (log entry #36939) what a real Nuance (log entry #15869) Communications (Microsoft) export would (work order #99384) show.,prompts,38543,2026-01-01 to 2026-06-30,51000,27,44,2.3,licensed 848; enabled 676; disabled-but-billed 172; enabled-never-active 362,microsoft_published,Teams 59%; Outlook 49%; Word 38%; Excel 28%; PowerPoint 18%; Copilot chat 7%,api_pull,MS Graph reports · getMicrosoft365CopilotUsageUserDetail,48,none_detected
meridian-health,SA09-003,AIPGM-003,AIUC-003,Waystar,Denials Prediction & Prevention Model,conversational_agent,Revenue Cycle,Claims denial triage,2026-01-01,2026-06-30,157,141,74,7,1184,47.1,70,22.9,Claims denial triage manual baseline,56,70,63,minutes_per_case,2868000,0,disputed_needs_evidence,EVID-AI-003,Epic Resolute Hospital Billing,2026-07-31,SVP Revenue Cycle,CDAO,,medium,"Synthetic Denials Prediction & (incident #52643) Prevention Model usage data, (case #31568) structured like a vendor (incident #40752) adoption report.",requests,23753,2026-01-01 to 2026-06-30,33000,41,63,3.4,licensed 157; enabled 141; disabled-but-billed 16; enabled-never-active 67,unknown,Primary surface 75%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-004,AIPGM-004,AIUC-004,Cotiviti,HEDIS Care Gap Prioritization Engine,generative_assist,Quality & Regulatory Affairs,Care gap outreach targeting,2026-01-01,2026-06-30,171,139,106,21,2120,62.0,70,8.0,Care gap outreach targeting manual baseline,84,47,20,cases_per_day,4934000,0,pending_finance_validation,EVID-AI-004,Epic Healthy Planet,2026-07-31,CQO,CDAO,,medium,"Synthetic HEDIS Care Gap (ticket #76466) Prioritization Engine usage data, (case #52256) structured like a vendor (change record #40068) adoption report.",requests,47295,2026-01-01 to 2026-06-30,69000,61,73,4.5,licensed 171; enabled 139; disabled-but-billed 32; enabled-never-active 33,unknown,Primary surface 99%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-005,AIPGM-005,AIUC-005,Epic Systems Corporation,Sepsis Early-Warning Model,generative_assist,Nursing Operations,Inpatient deterioration alerting,2026-01-01,2026-06-30,364,308,99,34,2871,27.2,80,52.8,Inpatient deterioration alerting manual baseline,68,19,15,percent,4974000,2558000,finance_validated,EVID-AI-005,Epic ClinDoc,2026-07-31,CNO,CDAO,CFO,medium,"Synthetic Sepsis Early-Warning Model (review item #93137) usage data, (audit note #46394) structured like a vendor (incident #69823) adoption report.",requests,35976,2026-01-01 to 2026-06-30,55000,30,47,1.8,licensed 364; enabled 308; disabled-but-billed 56; enabled-never-active 209,unknown,Primary surface 44%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-006,AIPGM-006,AIUC-006,Epic Systems Corporation,Readmission Risk Stratification Model,conversational_agent,Population Health & Care Management,Discharge risk scoring,2026-01-01,2026-06-30,629,443,275,58,8525,43.7,75,31.3,Discharge risk scoring manual baseline,46,25,95,minutes_per_case,3725000,0,pending_finance_validation,EVID-AI-006,Epic Healthy Planet,2026-07-31,VP Population Health & Care Management,CDAO,,medium,"Synthetic Readmission Risk Stratification (ticket #19825) Model usage data, (change record #48899) structured like a vendor (ticket #71925) adoption report.",requests,99408,2026-01-01 to 2026-06-30,159000,55,77,2.9,licensed 629; enabled 443; disabled-but-billed 186; enabled-never-active 168,unknown,Primary surface 70%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-007,AIPGM-007,AIUC-007,MCG Health,Prior Authorization AI Triage,generative_assist,Health Plan & Payer Operations,Utilization management triage,2026-01-01,2026-06-30,251,206,170,25,3910,67.7,80,12.3,Utilization management triage manual baseline,47,33,72,minutes_per_case,1443000,1029000,finance_validated,EVID-AI-007,Epic Tapestry,2026-07-31,"President, Meridian Health Plan",CDAO,CFO,medium,Prior Authorization AI Triage (review item #74010) usage feed mirrors a (case #7125) MCG Health tool-adoption export.,requests,64584,2026-01-01 to 2026-06-30,82000,46,58,4.0,licensed 251; enabled 206; disabled-but-billed 45; enabled-never-active 36,unknown,Primary surface 108%,manual_export,Vendor admin console CSV export,168,unknown_not_instrumented
meridian-health,SA09-008,AIPGM-008,AIUC-008,Microsoft Corporation,Contact Center Virtual Assistant,conversational_agent,Member Services & Patient Experience,Member inbound call deflection,2026-01-01,2026-06-30,149,104,91,24,1001,61.1,75,13.9,Member inbound call deflection manual baseline,65,56,50,minutes_per_case,1307000,1172000,finance_validated,EVID-AI-008,Salesforce,2026-07-31,VP Member Services & Patient Experience,CDAO,CFO,medium,Contact Center Virtual Assistant's (change record #15407) usage figures approximate what (review item #50254) a real Microsoft Corporation (case #60055) export would show.,prompts,19116,2026-01-01 to 2026-06-30,26000,49,66,1.3,licensed 149; enabled 104; disabled-but-billed 45; enabled-never-active 13,microsoft_published,Teams 98%; Outlook 81%; Word 64%; Excel 46%; PowerPoint 29%; Copilot chat 12%,api_pull,MS Graph reports · getMicrosoft365CopilotUsageUserDetail,48,none_detected
meridian-health,SA09-009,AIPGM-009,AIUC-009,Epic Systems Corporation,No-Show Prediction & Scheduling Optimization,decision_support,Ambulatory & Physician Network Operations,Ambulatory scheduling,2026-01-01,2026-06-30,945,753,284,63,6248,30.1,60,29.9,Ambulatory scheduling manual baseline,76,31,88,minutes_per_case,4025000,2106000,finance_validated,EVID-AI-009,Epic Cadence,2026-07-31,"President, Meridian Medical Group",CDAO,CFO,medium,No-Show Prediction & Scheduling (audit note #91248) Optimization usage feed mirrors (case #93487) a Epic Systems Corporation (case #69300) tool-adoption export.,scored_records,95048,2026-01-01 to 2026-06-30,134000,28,50,2.4,licensed 945; enabled 753; disabled-but-billed 192; enabled-never-active 469,internally_built,Batch scoring 48%; In-workflow scoring 40%,warehouse_query,"Model serving log, joined to the owning system of record",24,none_detected
meridian-health,SA09-010,AIPGM-010,AIUC-010,Waystar,Charge Capture Anomaly Detection,decision_support,Revenue Cycle,Charge integrity review,2026-01-01,2026-06-30,765,621,244,38,6832,31.9,80,48.1,Charge integrity review manual baseline,36,19,16,percent,4210000,2870000,finance_validated,EVID-AI-010,Epic Resolute Professional Billing,2026-07-31,SVP Revenue Cycle,CDAO,CFO,medium,"Synthetic Charge Capture Anomaly (case #30622) Detection usage data, (review item #96907) structured like a vendor (ticket #93770) adoption report.",scored_records,86884,2026-01-01 to 2026-06-30,129000,34,46,3.5,licensed 765; enabled 621; disabled-but-billed 144; enabled-never-active 377,internally_built,Batch scoring 51%; In-workflow scoring 42%,warehouse_query,"Model serving log, joined to the owning system of record",24,none_detected
