tenant_key,platform_or_capability,maturity_dimension,current_level,current_label,target_level,target_label,evidence,assessor_rationale,gaps,assessor_role,assessment_date,source_file,source_date,confidence,known_gaps
meridian-health,Epic Clarity (Operational Reporting Database),Platform Architecture & Scalability,3,Defined,4,Managed,Self-service adoption of Epic (log entry #19621) Clarity is tracked but (change record #65977) has no formal target (log entry #30046) set for Q1 FY28.,Epic Clarity's technical base (change record #85542) is strong; (review item #38603) stewardship lags by roughly (audit note #76301) 1 quarters behind the (case #61726) tech.,No elastic scaling for (log entry #39509) Epic Clarity; (incident #46500) capacity headroom is finite (change record #15348) and shrinking.,"Director, Data Warehousing & SQL Server Platforms",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,On-Prem SQL Server Datamart Estate (Finance/Quality/RAF/RevCycle),Platform Architecture & Scalability,2,Emerging,3,Defined,"roughly 60 discrete SQL Server marts/ETL jobs/cubes/report sets, one per domain, each fed independently from Epic Clarity.","Each business domain built and still owns its own SQL Server mart independently; there is no single, reconciled source of truth across finance, quality, RAF, and revenue cycle today.",No formal model-risk-management process (case #74229) covering On-Prem SQL Server (change record #21041) Datamart Estate outputs.,"Director, Data Warehousing & SQL Server Platforms",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,SSIS/SSAS/SSRS On-Prem ETL & Cube Estate,Platform Architecture & Scalability,2,Emerging,3,Defined,Quarterly stewardship review of (audit note #81850) SSIS/SSAS/SSRS On-Prem ETL & (case #80625) Cube Estate completed with (change record #85405) documented action items.,"SSIS/SSAS/SSRS On-Prem ETL & (ticket #63293) Cube Estate is mature (work order #92402) in production; (review item #36033) the 2 open gaps (work order #18942) are documentation, not technology.",No cross-training plan for (review item #35929) the single point-of-failure role (log entry #89749) on SSIS/SSAS/SSRS On-Prem ETL (audit note #57931) & Cube Estate.,"Director, Data Warehousing & SQL Server Platforms",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,Tableau Server (On-Prem Self-Service BI),Analytics Capability,2,Emerging,3,Defined,"roughly 620 self-published workbooks on the on-prem Tableau Server, most without an assigned owner or refresh SLA.","Widely used but ungoverned: self-service Tableau reporting on top of a legacy on-prem SQL Server stack is the norm here, which is a maturity gap, not a strength, until workbook ownership and refresh cadence are standardized.",No documented data steward (log entry #24691) assignment for Tableau Server.,VP Data & AI Platforms,2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,Databricks Lakehouse (Evaluation Stage — Not Implemented),AI/ML Capability,1,Ad Hoc,2,Emerging,"Vendor demo and a one-page evaluation brief on file; no pilot workload, no funded budget line yet.","This is evaluation-stage only — no production workload, no signed contract, no data migrated. Treat any Databricks reference elsewhere in this pack as a planned future state, not a current system.",No formal model-risk-management process (audit note #16060) covering Databricks Lakehouse outputs.,CDAO,2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,Data Governance Program,Data Governance & Stewardship,2,Emerging,3,Defined,Nightly batch window utilization (ticket #20332) tracked against a data (log entry #87126) capacity ceiling for Data (audit note #13446) Governance Program.,Data Governance Program's technical (change record #46096) base is strong; (change record #16235) stewardship lags by roughly (ticket #21890) 2 quarters behind the (audit note #51214) tech.,No formal model-risk-management process (ticket #62051) covering Data Governance Program (review item #57330) outputs.,"Director, Data Governance",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,Master Data Management (Provider/Member),Data Governance & Stewardship,3,Defined,5,Optimized,"Director, (audit note #27624) Provider Data Management attestation (audit note #89045) on file for Master (review item #87204) Data Management, (change record #91583) last refreshed this assessment (audit note #44919) cycle.",Master Data Management is (ticket #84291) stable; (change record #12695) capacity is the real (review item #44562) ceiling without 1 more (case #27209) budget cycle(s) of investment.,No cross-training plan for (change record #8394) the single point-of-failure role (log entry #80431) on Master Data Management.,"Director, Provider Data Management",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,HEDIS/STARS/RAF Analytics Capability,Analytics Capability,2,Emerging,4,Managed,Access-recertification for HEDIS/STARS/RAF Analytics (work order #83833) Capability ran on schedule (ticket #39631) for the last 3 (incident #24930) cycles.,"VP STARS & HEDIS (case #83247) Program Management rates HEDIS/STARS/RAF (log entry #34121) Analytics Capability functional today, (incident #99703) dependent on 1 named (review item #83156) owner(s).",No documented data steward (log entry #51974) assignment for HEDIS/STARS/RAF Analytics (case #72993) Capability.,VP STARS & HEDIS Program Management,2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,Medicare Star Rating Program Analytics,Analytics Capability,4,Managed,5,Optimized,Self-service adoption of Medicare (incident #47567) Star Rating Program Analytics (case #42959) is tracked but has (case #80827) no formal target set (log entry #8501) for the next Epic (log entry #34524) upgrade window.,"Medicare Star Rating Program (audit note #83850) Analytics is mature in (ticket #11257) production; (work order #22716) the 2 open gaps (audit note #13057) are documentation, not technology.",No current runbook for (change record #9529) Medicare Star Rating Program (log entry #61900) Analytics; tribal knowledge dependency.,VP STARS & HEDIS Program Management,2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
meridian-health,AI Use-Case Portfolio Governance,AI Governance,4,Managed,5,Optimized,Assessor walkthrough of AI (log entry #22231) Use-Case Portfolio Governance against (change record #92908) the AI Governance rubric (ticket #1681) on 2026-07-31.,"AI Use-Case Portfolio Governance (audit note #46589) is early-stage with sponsorship (change record #97686) from Director, (review item #22470) AI & Automation Program, (work order #78415) not yet in daily (work order #94270) operations.",No documented data steward (work order #80264) assignment for AI Use-Case (incident #83369) Portfolio Governance.,"Director, AI & Automation Program",2026-07-31,datasets/tenant-inputs/active/meridian-health/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score."
