tenant_key,lens_name,expert_role,questions_to_answer,required_inputs,decision_use,limitations,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
meridian-health,Healthcare CDAO data foundation lens,AbarVa synthetic data steward,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,medium,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,2,MER-LENS-001,synthetic-demo,68825bba2c742a5804daa09374e17b4bc569eb3581b79749714523e1aa8194c7,retained_from_active_source,none
meridian-health,Clinical quality lens,AbarVa synthetic data steward,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,medium,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,3,MER-LENS-002,synthetic-demo,68825bba2c742a5804daa09374e17b4bc569eb3581b79749714523e1aa8194c7,retained_from_active_source,none
meridian-health,Finance cost transparency lens,AbarVa synthetic data steward,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,medium,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,4,MER-LENS-003,synthetic-demo,68825bba2c742a5804daa09374e17b4bc569eb3581b79749714523e1aa8194c7,retained_from_active_source,none
meridian-health,Member experience lens,AbarVa synthetic data steward,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,medium,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,5,MER-LENS-004,synthetic-demo,68825bba2c742a5804daa09374e17b4bc569eb3581b79749714523e1aa8194c7,retained_from_active_source,none
meridian-health,Platform/security readiness lens,AbarVa synthetic data steward,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,medium,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,6,MER-LENS-005,synthetic-demo,68825bba2c742a5804daa09374e17b4bc569eb3581b79749714523e1aa8194c7,retained_from_active_source,none
meridian-health,,,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,2,,synthetic-demo,65ab60052434b35df90e39387708e8af2f659e367440e51fd69d0ea400dfd41e,retained_from_active_source,none
meridian-health,,,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,3,,synthetic-demo,65ab60052434b35df90e39387708e8af2f659e367440e51fd69d0ea400dfd41e,retained_from_active_source,none
meridian-health,,,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,4,,synthetic-demo,65ab60052434b35df90e39387708e8af2f659e367440e51fd69d0ea400dfd41e,retained_from_active_source,none
meridian-health,,,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,5,,synthetic-demo,65ab60052434b35df90e39387708e8af2f659e367440e51fd69d0ea400dfd41e,retained_from_active_source,none
meridian-health,,,,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-07-09,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,universal-standard-v3,6,,synthetic-demo,65ab60052434b35df90e39387708e8af2f659e367440e51fd69d0ea400dfd41e,retained_from_active_source,none
meridian-health,Value Proof Lens,Healthcare Evidence Steward,,,,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-06-18,high,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,rich-universal-standard-v3,2,expert-lens-value-proof,synthetic-demo,dfc98aee1f718e68e70e495d82a3c63e8bf3f869418e7e0454cf0a3bdf88b853,retained_from_active_source,none
meridian-health,Work Redesign Lens,Healthcare Evidence Steward,,,,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-06-18,high,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,rich-universal-standard-v3,3,expert-lens-work-redesign,synthetic-demo,dfc98aee1f718e68e70e495d82a3c63e8bf3f869418e7e0454cf0a3bdf88b853,retained_from_active_source,none
meridian-health,Data Readiness Lens,Healthcare Evidence Steward,,,,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,2026-06-18,high,none,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,rich-universal-standard-v3,4,expert-lens-data-readiness,synthetic-demo,dfc98aee1f718e68e70e495d82a3c63e8bf3f869418e7e0454cf0a3bdf88b853,retained_from_active_source,none
