tenant_key,source_file,source_type,source_owner,source_date,as_of_date,confidentiality,domains_covered,row_count_or_pages,quality_notes,approved_for_loading,known_gaps,evidence_id
meridian-health,ServiceNow CMDB export,system_of_record_extract,VP Enterprise Architecture,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,applications_systems; infrastructure_platforms,~30 rows,Synthetic CMDB extract structured to mirror ServiceNow's configuration-item schema,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0001
meridian-health,Epic Cogito/Clarity reporting extract,system_of_record_extract,VP Clinical Informatics,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,applications_systems; data_assets_integrations,~500 rows,Synthetic Epic reporting-layer extract for build/module inventory,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0002
meridian-health,Vendor contract register (Legal/Procurement),contract_repository_extract,VP Supply Chain & Procurement,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,vendors_contracts,~120 rows,Synthetic contract register mirroring a DocuSign/Ariba contract repository export,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0003
meridian-health,IT Finance budget & spend extract,finance_extract,CFO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,spend_value; business_functions,~30 rows,Synthetic FP&A extract for IT and business-function budget rollups,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0004
meridian-health,Program portfolio management tool export,pmo_extract,COO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,programs_initiatives,~40 pages,Synthetic PMO tool export (Clarity/Planview-style) for program status and budget,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0005
meridian-health,Cotiviti Quality Intelligence workqueue export,vendor_platform_extract,VP Risk Adjustment & RAF Programs,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,risks_controls; metrics_outcomes,~40 pages,Synthetic RAF/quality vendor workqueue extract,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0006
meridian-health,NCQA HEDIS measure engine output,vendor_platform_extract,VP STARS & HEDIS Program Management,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,metrics_outcomes,~40 pages,Synthetic HEDIS measure-engine output structured to mirror NCQA technical specifications,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0007
meridian-health,SPH Analytics CAHPS survey results,vendor_platform_extract,VP Quality & Regulatory Affairs,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,metrics_outcomes,~30 rows,Synthetic CAHPS survey results extract,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0008
meridian-health,Workday HCM org/headcount export,hr_system_extract,CHRO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,org_ownership; workforce_roles,~30 rows,Synthetic Workday HCM organizational hierarchy and headcount export,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0009
meridian-health,Executive interview transcripts (synthetic),interview_transcript,CEO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,org_ownership; programs_initiatives; risks_controls,~40 pages,Synthetic executive/stakeholder interview notes for this enrichment,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0010
meridian-health,Risk register (Compliance/Legal),grc_tool_extract,CLO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,risks_controls,~40 pages,Synthetic GRC-tool-style risk register export,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0011
meridian-health,ITSM ticket/incident export (ServiceNow),system_of_record_extract,VP IT Service Management & Support,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,operational_process_evidence,~120 rows,Synthetic incident/ticket volume extract,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0012
meridian-health,AI use-case intake register,internal_register,CDAO,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,ai_automation_use_cases,~120 rows,Synthetic AI/automation intake and governance register,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0013
meridian-health,Epic Community Connect practice roster,internal_register,VP Physician Network Operations,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,applications_systems; org_ownership,~500 rows,Synthetic affiliated-practice roster for Community Connect scope,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0014
meridian-health,SQL Server datamart inventory (DBA team export),system_of_record_extract,"Director, Data Warehousing & SQL Server Platforms",,2026-07-31,synthetic_demo_planning_grade_no_real_phi,applications_systems; data_assets_integrations,~120 rows,Synthetic on-prem SQL Server instance/database inventory export,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0015
meridian-health,Databricks evaluation & vendor-briefing notes,internal_register,"Director, Cloud & Data Platform Evaluation (Databricks)",,2026-07-31,synthetic_demo_planning_grade_no_real_phi,programs_initiatives; data_analytics_platform_maturity,,Synthetic evaluation-stage vendor briefing notes; no production system exists yet,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0016
meridian-health,Medicare Advantage bid model workbook,actuarial_model_extract,VP Actuarial Services,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,metrics_outcomes; spend_value,~40 pages,Synthetic Medicare Advantage bid model summary export,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0017
meridian-health,Managed services SOW & rate cards,contract_repository_extract,VP Supply Chain & Procurement,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,service_scope_managed_services,~40 pages,Synthetic managed-services SOW and rate-card excerpt,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0018
meridian-health,Industry benchmark subscription (KLAS-style),third_party_benchmark,VP Enterprise Architecture,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,industry_context_patterns,~40 pages,"Synthetic industry-benchmark-style reference notes, not a real KLAS report",false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0019
meridian-health,Data governance council charter & catalog,internal_register,"Director, Data Governance",,2026-07-31,synthetic_demo_planning_grade_no_real_phi,data_assets_integrations,~500 rows,Synthetic data-governance catalog and stewardship register,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0020
meridian-health,Epic upgrade/change calendar,internal_register,VP Epic Applications,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,applications_systems; programs_initiatives,~500 rows,Synthetic Epic change/release calendar,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0021
meridian-health,Behavioral health census & diversion log,internal_register,VP Behavioral Health Services,,2026-07-31,synthetic_demo_planning_grade_no_real_phi,operational_process_evidence,~500 rows,Synthetic behavioral-health census and diversion tracking log,false,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,EVID-0022
