tenant_key,source_record_id,ai_program_id,ai_use_case_id,stakeholder_role,interview_track,question,answer_summary,what_is_working,what_is_not_working,current_baseline,target_or_promise,evidence_request,follow_up_artifact_needed,decision_pressure,named_owner,confidence,evidence_id,interview_date,interview_format,interview_duration_minutes,verbatim_quote,consent_to_attribute,corroboration_count,corroboration_status,sentiment,contradicts_record,theme_tags,evidence_staleness_days
meridian-health,SA10-0001,,,President & Chief Executive Officer,portfolio,"Which programmes are you accountable for, and how confident are you in their dates?",We approved Actuarial & Underwriting Analytics Modernization with a benefit number and nobody has been back to check whether it landed.,,We approved Actuarial & Underwriting Analytics Modernization with a benefit number and nobody has been back to check whether it landed.,Not separately measured,,audit finding record,no,next budget cycle,President & Chief Executive Officer,high,EV-MER-0001,2026-03-18,one_to_one,90,"""We approved Actuarial & Underwriting Analytics Modernization with a benefit number and nobody has been back to check whether it landed.""",named,43,corroborated_multi_source,negative,no_conflict_identified,value_realisation,152
meridian-health,SA10-0002,,,President & Chief Executive Officer,current_state,"Which parts of the estate do you have good visibility into, and which are opaque?","Epic Resolute Professional Billing — Production does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.",,,Not separately measured,,cost centre breakdown,no,none stated,President & Chief Executive Officer,high,EV-MER-0002,2026-03-18,one_to_one,90,"""Epic Resolute Professional Billing — Production does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.""",named,33,corroborated_multi_source,negative,no_conflict_identified,estate_fragmentation,152
meridian-health,SA10-0003,,,President & Chief Executive Officer,ways_of_working,Where does governance add time without changing the outcome?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,system report,no,next budget cycle,President & Chief Executive Officer,high,EV-MER-0003,2026-03-18,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",named,40,corroborated_multi_source,negative,no_conflict_identified,governance_friction,152
meridian-health,SA10-0004,,,President & Chief Executive Officer,challenges,What keeps you awake that the executive team does not fully appreciate?,Reconciling Corporate Strategy data between STARS/HEDIS Quality Mart (SQL Server On-Prem) and the ledger is manual and takes days at every close.,,Reconciling Corporate Strategy data between STARS/HEDIS Quality Mart (SQL Server On-Prem) and the ledger is manual and takes days at every close.,Not separately measured,,process timing study,no,contract renewal,President & Chief Executive Officer,high,EV-MER-0004,2026-03-18,one_to_one,90,"""Reconciling Corporate Strategy data between STARS/HEDIS Quality Mart (SQL Server On-Prem) and the ledger is manual and takes days at every close.""",named,37,corroborated_multi_source,negative,no_conflict_identified,manual_effort,152
meridian-health,SA10-0005,,,President & Chief Executive Officer,priorities,Where do your priorities differ from what the enterprise plan says they are?,"In eighteen months I want to be able to answer what Corporate Strategy costs and what it delivers, without a three-week exercise.",,,Not separately measured,,cost centre breakdown,no,none stated,President & Chief Executive Officer,medium,EV-MER-0005,2026-03-18,one_to_one,90,"""In eighteen months I want to be able to answer what Corporate Strategy costs and what it delivers, without a three-week exercise.""",named,20,corroborated_multi_source,neutral,no_conflict_identified,success_definition,152
meridian-health,SA10-0006,,,President & Chief Executive Officer,current_state,"Which systems are genuinely fit for purpose, and which are you working around?","Ambulatory Operations Reports (SQL Server On-Prem) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.",,,Not separately measured,,process timing study,yes,none stated,President & Chief Executive Officer,medium,EV-MER-0006,2026-03-18,one_to_one,90,"""Ambulatory Operations Reports (SQL Server On-Prem) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.""",named,33,corroborated_multi_source,negative,no_conflict_identified,estate_fragmentation,152
meridian-health,SA10-0007,,,President & Chief Executive Officer,ways_of_working,What have you stopped escalating because it never gets resolved?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,system report,no,next budget cycle,President & Chief Executive Officer,high,EV-MER-0007,2026-03-18,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",named,40,corroborated_multi_source,negative,no_conflict_identified,governance_friction,152
meridian-health,SA10-0008,,,President & Chief Executive Officer,portfolio,"Which initiative is most at risk, and what is the honest reason?","Imaging, PACS & Enterprise VNA Modernization Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",,"Imaging, PACS & Enterprise VNA Modernization Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",Not separately measured,,contract copy,yes,contract renewal,President & Chief Executive Officer,high,EV-MER-0008,2026-03-18,one_to_one,90,"""Imaging, PACS & Enterprise VNA Modernization Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.""",named,16,corroborated_multi_source,negative,no_conflict_identified,date_confidence,152
meridian-health,SA10-0009,,,President & Chief Executive Officer,organisation,Which capability do you rely on a single person for?,One person holds the Corporate Strategy integration knowledge. It is written down nowhere that would survive their leaving.,,One person holds the Corporate Strategy integration knowledge. It is written down nowhere that would survive their leaving.,Not separately measured,,contract copy,no,next budget cycle,President & Chief Executive Officer,medium,EV-MER-0009,2026-03-18,one_to_one,90,"""One person holds the Corporate Strategy integration knowledge. It is written down nowhere that would survive their leaving.""",named,19,corroborated_multi_source,negative,no_conflict_identified,key_person_risk,152
meridian-health,SA10-0010,,,President & Chief Executive Officer,data_ai,"Where do you not trust the numbers, and what do you do instead?","Corporate Strategy decisions are made on data that is a day old. By the time we see it, the operational window has closed.",,"Corporate Strategy decisions are made on data that is a day old. By the time we see it, the operational window has closed.",Not separately measured,,cost centre breakdown,no,none stated,President & Chief Executive Officer,medium,EV-MER-0010,2026-03-18,one_to_one,90,"""Corporate Strategy decisions are made on data that is a day old. By the time we see it, the operational window has closed.""",named,21,corroborated_multi_source,negative,no_conflict_identified,data_latency,152
