tenant_key,pattern_name,industry,business_context,applicability,evidence_basis,caveats,source_file,source_date,confidence,known_gaps
meridian-health,On-premises SQL Server/Epic Clarity estate precedes any cloud evaluation,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Large integrated delivery networks commonly run for 15+ years on an on-premises SQL Server/SSIS/SSAS/SSRS estate fed by Epic Clarity for STARS/HEDIS/RAF reporting before a cloud data platform is even evaluated, given the regulatory sensitivity and audit history tied to those pipelines.","Meridian Health System runs roughly 60 on-prem SQL Server marts/ETL/cube/report assets fed by Epic Clarity, with Tableau as the self-service layer, and no live cloud data platform at all.",Industry-standard pattern across large IDNs with 15+ year on-prem analytics investments,Do not assume any cloud-migration timeline until a lakehouse pilot is actually funded; Databricks here is evaluation-stage only,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Medicare Advantage-heavy payer-provider convergence drives STARS/HEDIS investment priority,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,Health systems with an owned Medicare Advantage book concentrate technology investment on STARS/HEDIS/RAF evidence quality because a half-star rating change materially moves quality bonus payments.,Meridian Health Plan's STARS 5.0 Improvement Program and RAF Capture & Risk Adjustment Modernization program are the two largest funded initiatives in the current portfolio.,Consistent with CMS Star Ratings bonus-payment methodology and public MA plan investment patterns,STARS improvement typically lags investment by 1-2 measurement years; do not assume same-year payoff,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic single-vendor consolidation with a residual legacy EHR at one acquired facility,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,Multi-hospital systems that grow by acquisition often carry one legacy EHR instance (frequently Cerner) at the most recently acquired facility for several years post-close.,St. Anselm Community Hospital still runs Cerner Millennium pending the Legacy Cerner Decommission — St. Anselm program.,Common M&A integration pattern in multi-hospital systems,Conversion timelines commonly slip 6-12 months from initial estimate; do not treat the program date as fixed,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,"On-prem SQL Server sprawl precedes, and outlasts, any cloud lakehouse evaluation",Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Health systems anchored on Epic commonly accumulate dozens of discrete on-prem SQL Server datamarts (one per domain: finance, quality, risk adjustment, revenue cycle) fed by Epic Clarity, long before any cloud data platform is even evaluated, and a lakehouse pilot does not retire that estate on day one.","Meridian runs no live cloud data platform today; the SQL Server Sprawl Rationalization & Databricks Lakehouse Evaluation program is still at the evaluation stage, not implemented.",Directly evidenced in this tenant's application inventory and program portfolio,"Do not assume Databricks is live, or that SQL Server sprawl retires on the lakehouse evaluation's timeline",datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Ambient clinical documentation adoption pattern,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Ambient documentation tools (e.g., DAX Copilot/Dragon Medical) typically launch as a specialty-limited pilot before scaling system-wide, gated on clinician satisfaction and coding-accuracy validation.",Nuance DAX Copilot / Dragon Medical One is in production/pilot status tied to the Ambient Clinical Documentation (DAX) Rollout program.,Consistent with published ambient-AI rollout patterns at comparable IDNs,Adoption curves vary widely by specialty; do not extrapolate primary-care adoption rates to procedural specialties,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Claims clearinghouse and EDI vendor layering,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Payer-provider hybrids commonly run more than one clearinghouse/EDI vendor in parallel (e.g., Change Healthcare plus Availity) to reduce single-vendor concentration risk after major clearinghouse outages became a known industry risk.",Meridian runs both Change Healthcare EDI Clearinghouse Gateway and Availity Payer-Provider Portal Gateway in production.,Consistent with post-2024 industry clearinghouse-outage risk response,Dual-vendor layering reduces but does not eliminate concentration risk; see 11_risks_controls vendor-concentration entries,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Community Connect as an affiliated-practice interface-reduction strategy,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,Health systems extend a hosted Epic instance to affiliated independent practices specifically to reduce the long-tail interface count that a fully independent-EHR affiliated network would require.,Six affiliated practices are hosted on Epic Community Connect under the Epic Community Connect Expansion program.,Consistent with Epic's published Community Connect adoption pattern across health systems,Interface reduction benefit is realized only after practice onboarding is complete; do not assume day-one interface savings,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,"Behavioral health capacity constraint as a persistent, not transient, risk",Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Behavioral health inpatient and crisis capacity constraints are a persistent structural risk at most IDNs rather than a short-term staffing blip, given long-standing national behavioral health workforce shortages.","Cedar Bluff Specialty Hospital capacity is flagged as a medium-likelihood, medium-severity operational risk in this tenant's risk register.",Consistent with national behavioral health workforce and capacity trend data,Do not model this as a one-time fix; treat as an ongoing capacity-management program,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,"RAF/risk-adjustment vendor tooling as evidence infrastructure, not just reporting",Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Vendors like Cotiviti and Inovalon function as evidence infrastructure for RAF suspect-condition workflows, not simply retrospective reporting tools, and are increasingly embedded directly in coder workqueues.",Both Cotiviti Quality Intelligence Platform and Inovalon ONE Platform are production systems feeding RAF workqueues in this tenant's inventory.,Consistent with current risk-adjustment vendor market positioning,"Vendor tool overlap (both platforms in production) may itself be a rationalization opportunity, not just redundancy",datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Print/mail and member-correspondence outsourcing as a low-differentiation function,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Member correspondence (EOBs, ID cards, notices) is commonly outsourced to a specialized vendor rather than run in-house, since it carries regulatory timing requirements but little strategic differentiation.",Meridian outsources this function to Conduent Member Print/Mail Platform.,Common health-plan back-office outsourcing pattern,"SLA breach risk on regulated mailings (e.g., ID cards) should still be tracked even though the function is outsourced",datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Legacy interface-engine consolidation lag,Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,Health systems frequently run two interface engines in parallel for multiple years during a consolidation effort because cutting over high-volume clinical interfaces carries real patient-safety risk if done too quickly.,"Meridian runs both Rhapsody Integration Engine and the legacy Corepoint Integration Engine, with a funded consolidation program in flight.",Consistent with typical multi-year interface-engine consolidation timelines,Do not assume full consolidation inside a single budget cycle,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,"Health-plan actuarial dependence on Epic Clarity, the same source clinical quality reporting uses",Healthcare — Integrated Delivery Network & Medicare Advantage Health Plan,"Owned health plans frequently depend on the same Epic Clarity extract for actuarial bid modeling that clinical quality teams use for HEDIS/STARS reporting, creating shared-infrastructure risk across two high-stakes regulatory processes.",Both the STARS/HEDIS quality mart and the actuarial bid-model inputs in this tenant trace back to the same Epic Clarity extract and the Finance/GL Mart.,Directly evidenced in this tenant's data-asset and risk inventories,A single Clarity extract failure during bid-submission season would affect two regulatory-critical workstreams simultaneously,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
