tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,headcount_fte,cost_to_serve_usd,process_maturity,change_appetite,regulatory_exposure,business_segment,business_segment_key,function_type,office_lens_abarva,office_lens_basis,expected_value_archetype,segment_sponsor_role
meridian-health,Acute Care Clinical Operations,,CMO,Inpatient medicine; critical care; surgical services; perioperative care; hospital medicine co-management,tier1,305000000,1655,Partial — print/mail via (incident #62228) Conduent.,Runs on Epic ClinDoc/OpTime/ASAP (change record #64630) across five of six (work order #44127) owned hospitals; St. (review item #10221) Anselm Community Hospital remains (change record #26334) on legacy Cerner pending (log entry #12647) conversion.,CMO is prioritizing faster (work order #84548) cycle time in acute (audit note #56351) care clinical operations over (work order #9244) the next two years.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1655,184290,measured,moderate,high,Hospital & Acute Delivery,hospital_delivery,clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
meridian-health,Ambulatory & Physician Network Operations,,"President, Meridian Medical Group",Primary care; specialty clinic operations; employed and affiliated physician practice management; Community Connect hosting,tier3,228000000,3891,Partial — patient access (work order #15522) staffing via Conifer Health (incident #88135) Solutions.,214 clinic sites split (audit note #11071) between employed Epic Ambulatory (audit note #98579) workflows and six affiliated (audit note #1854) practices hosted on Epic (review item #29403) Community Connect.,"President, (ticket #35349) Meridian Medical Group is (log entry #5532) prioritizing fewer manual workarounds (audit note #24703) in ambulatory & physician (change record #9616) network operations over the (log entry #54041) next two years.",datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3891,58597,initial,low,low,Ambulatory & Physician Network,ambulatory,clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,"President, Meridian Medical Group"
meridian-health,Nursing Operations,,CNO,Med/surg nursing; critical care nursing; nursing informatics; staffing and scheduling; clinical documentation quality,tier1,358000000,3031,"None — fully in-house, (review item #22801) no plans to change (review item #67903) that.",Nursing Operations runs mainly (case #9644) on Epic; (ticket #76454) 8 point solutions round (incident #71017) it out per 04_applications_systems.,The near-term target for (log entry #27327) nursing operations is closing (review item #19272) the gap on data (case #20658) quality; CNO owns it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3031,118113,measured,moderate,low,Hospital & Acute Delivery,hospital_delivery,clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
meridian-health,Emergency Services,,VP Emergency Services,ED triage and throughput; trauma activation; EMS coordination; behavioral health emergency holds,tier2,460000000,2615,Partial — patient access (audit note #9854) staffing via Conifer Health (ticket #72897) Solutions.,Emergency Services runs mainly (work order #37525) on Epic; (incident #12878) 7 point solutions round (change record #21190) it out per 04_applications_systems.,VP Emergency Services is (work order #13533) prioritizing a lower denial (change record #86630) rate in emergency services (log entry #2587) over the next two (ticket #83974) years.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2615,175908,measured,moderate,moderate,Hospital & Acute Delivery,hospital_delivery,clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
meridian-health,Behavioral Health,,VP Behavioral Health Services,Inpatient psychiatric care; outpatient behavioral health; substance use treatment; crisis intake,tier1,210000000,5081,Partial — revenue cycle (ticket #45102) back-office via R1 RCM.,"Day-to-day behavioral health work (incident #44824) sits in Epic. (ticket #18531) 3 more systems back (change record #46291) it up, see 04_applications_systems.",The near-term target for (case #29330) behavioral health is closing (log entry #88153) the gap on denial (case #20117) rate; (incident #16915) VP Behavioral Health Services (incident #4117) owns it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,5081,41330,initial,low,moderate,Hospital & Acute Delivery,hospital_delivery,clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
meridian-health,Pharmacy Services,,VP Pharmacy Services,Inpatient pharmacy; ambulatory/retail pharmacy; specialty pharmacy; pharmacy robotics and automation,tier2,237000000,1718,"None — fully in-house, (incident #68260) no plans to change (work order #17714) that.",VP Pharmacy Services's team (change record #97308) leans on Epic here; (change record #32551) the rest is itemized (audit note #27680) under Pharmacy Services in (review item #39914) 04_applications_systems.,No formal roadmap is (review item #88381) written yet for pharmacy (ticket #36256) services; (work order #5415) VP Pharmacy Services flagged (review item #82062) it as a FY28 (ticket #2735) gap to close.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1718,137951,initial,high,low,Hospital & Acute Delivery,hospital_delivery,clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
meridian-health,Revenue Cycle,,SVP Revenue Cycle,Charge capture; coding; billing and claims submission; denials management; patient financial services,tier2,218000000,3763,"None — fully in-house, (change record #81799) no plans to change (log entry #64883) that.",SVP Revenue Cycle's team (case #91597) leans on Epic here; (case #82877) the rest is itemized (review item #45428) under Revenue Cycle in (case #20241) 04_applications_systems.,The near-term target for (incident #29413) revenue cycle is closing (case #31453) the gap on data (work order #86359) quality; (log entry #23546) SVP Revenue Cycle owns (work order #59816) it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3763,57933,optimising,moderate,low,Hospital & Acute Delivery,hospital_delivery,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
meridian-health,Patient Access & Registration,,VP Patient Access & Registration,Scheduling; registration; insurance verification; prior authorization intake; financial clearance,tier2,78000000,369,Partial — coding overflow (work order #14764) to Optum (UnitedHealth Group).,"Day-to-day patient access & (review item #17895) registration work sits in (case #15481) Epic. (ticket #59766) 1 more systems back (case #37092) it up, see 04_applications_systems.",VP Patient Access & (case #39958) Registration has an unfunded (change record #31827) FY28 proposal to cut (log entry #95796) workarounds and lift cycle (audit note #86954) time in patient access (audit note #20846) & registration.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,369,211382,initial,high,low,Hospital & Acute Delivery,hospital_delivery,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
meridian-health,Health Plan & Payer Operations,,"President, Meridian Health Plan",Medicare Advantage administration; commercial plan administration; claims adjudication; provider network management,tier1,415000000,2784,"None — fully in-house, (ticket #32476) no plans to change (change record #52025) that.",Epic Tapestry is system (log entry #79418) of record for enrollment (log entry #65946) and core claims; (review item #64821) a legacy HealthEdge HealthRules (work order #36881) Payer instance still processes (ticket #26016) a residual block of (incident #6043) grandfathered commercial claims in (work order #41856) parallel.,"President, (incident #61045) Meridian Health Plan is (change record #8278) prioritizing a lower denial (review item #89033) rate in health plan (change record #12990) & payer operations over (log entry #87673) the next two years.",datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2784,149066,defined,low,low,Health Plan Operations,health_plan,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,"President, Meridian Health Plan"
meridian-health,Population Health & Care Management,,VP Population Health & Care Management,Care management; case management; utilization review; disease management registries; telehealth/RPM,tier1,18000000,3101,Partial — revenue cycle (ticket #51370) back-office via R1 RCM.,Population Health & Care (audit note #17445) Management runs mainly on (review item #52310) Epic; (case #97225) 4 point solutions round (log entry #56163) it out per 04_applications_systems.,VP Population Health & (audit note #19099) Care Management is prioritizing (log entry #68677) better STARS/HEDIS performance in (review item #39957) population health & care (work order #56112) management over the next (ticket #8059) two years.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3101,5805,managed,high,low,Health Plan Operations,health_plan,clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,"President, Meridian Health Plan"
