rule_id,rule,why_it_matters,what_breaks_without_it,how_to_check_before_sending
R1,"If you name it here, it must exist as a row on its own tab","The workbook is a network, not a set of independent lists. A cell naming a system, owner, function or platform is a link to a row elsewhere. When that row is missing, we lose the connection between the two things while both still appear individually — which is what makes it hard to spot.","We received 'Emergency Department Operations' referenced by several rows but never listed on the business functions tab. Everything about it — who owns it, what systems it uses, what it costs — was dropped.",Filter each reference column and confirm every distinct value appears on the tab it belongs to.
R2,Spell each name identically everywhere,"We match by name. Two spellings become two things, or one of them matches nothing at all.","'Epic Hyperspace' on one tab and 'Epic HyperSpace (Prod)' on another became two separate systems, splitting their cost, ownership and risk.",Copy names from the tab that owns them rather than retyping. Sort each reference column and look for near-duplicates.
R3,"A name column takes a name, never a description","A reference column identifies a thing. A sentence about the thing identifies nothing, so the relationship cannot be recorded.","We received ""Epic's SQL-Server-based operational reporting database"" in a column expecting a platform name. It should have been 'Epic Clarity' — the description belongs in the notes column, where it is valuable and kept.","If the cell contains a verb, it is probably a description."
R4,A category is not a thing,Classifications describe how something is hosted or connected. They are useful and they belong in the hosting-model or integration-type column. In a reference column they name nothing.,"'Vendor SaaS', 'Direct point-to-point' and 'SQL Server (on-prem)' appeared where a specific platform was expected, so those relationships could not be recorded at all.","If you could point at a screen or a contract and say 'that one', it is a thing. If it describes a whole class, it is a category."
R5,Pick one owner convention and hold to it,"This is the single largest source of unresolved references. It is a decision, not a data-collection exercise, and it should be made on day one.",'CMO' in one column and 'Chief Medical Officer' in another are two different owners to us. Abbreviations are fine — as long as they are the only form used.,"List org units and their leaders on the organisation tab first, then reference those exact labels everywhere else."
R6,"Separate multiple values with semicolons, not commas","Names contain commas. 'Distribution, Sales & E-Commerce' is one function and we cannot reliably tell it from two.","Comma-separated data domain lists were split mid-name, producing fragments that matched nothing.",Use 'Claims; Clinical; Finance'.
R7,"If you reference by ID, define the ID once",Referencing by ID is welcome and often better than by name. It only works if the ID appears in the ID column of the tab that owns the item.,"Integration rows referenced applications as 'APP-0003' where the applications tab had no such ID populated, so none of them resolved.","Reference by ID or by name, but do not mix the two for the same kind of thing across tabs."
R8,Leave it blank rather than filling it in,"A blank is honest and we report it as a gap you can decide to close. A placeholder looks like data, so we have to detect and discard it — which costs you a round trip.","'TBD', 'N/A', 'various' and 'enterprise' were supplied in value columns and had to be stripped, with 1,708 placeholder values recorded as gaps.","Empty cell, every time."
R9,"Where a number is an estimate, say so in the confidence column",We will quote your numbers back to your executives. A figure marked high-confidence is treated as evidence; one marked estimated is labelled as directional. Both are useful — being unable to tell them apart is not.,"Unmarked estimates get presented with the same weight as audited figures, and the first person to challenge one undermines the whole page.",Use the confidence column on every row carrying a number you did not take from a system.
R10,"For outcomes, tell us why you cannot claim it yet","This is the only place we ask for a judgement rather than a fact, and it is the one that decides whether anything can be presented to a board. 'Missing actual' tells us a field is blank. 'The instrumentation was never funded' tells us who to call.","Without it, we infer the reason from which fields are empty — technically accurate and nearly useless. In one review that inference made 80 of 102 outcomes look claimable when the client would stand behind 16.","Fill claim_readiness, claim_blocked_reason, unblock_action and unblock_target_period on the metrics tab."
