tenant_key,metric_name,metric_domain,business_function,definition,baseline_value,baseline_period,target_value,owner,data_source,calculation_basis,source_file,source_date,confidence,known_gaps,actual_value,actual_period,finance_attested_value_usd,value_claim_status
meridian-health,HEDIS — Statin Therapy for Cardiovascular Disease,quality_hedis,Quality & Regulatory Affairs,"NCQA technical definition of (change record #5575) Statin Therapy for Cardiovascular (ticket #50069) Disease, (change record #49193) applied to Meridian Health (change record #63826) Plan's full member population.",69.1%,MY2026,76.9% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Statin Therapy for Cardiovascular (ticket #63797) Disease numerator/denominator per NCQA (work order #87387) spec; (log entry #78348) hybrid administrative + chart (audit note #82259) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,71.8,FY2026 Q3,938434,attested
meridian-health,HEDIS — Colorectal Cancer Screening,quality_hedis,Quality & Regulatory Affairs,"NCQA HEDIS spec for (case #72525) Colorectal Cancer Screening, (log entry #54915) computed against the MA (ticket #3867) and commercial member population.",63.9%,MY2026,68.4% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Colorectal Cancer Screening numerator/denominator (work order #22220) per NCQA spec; (incident #81628) hybrid administrative + chart (ticket #9498) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,66.1,FY2026 Q3,,measured
meridian-health,HEDIS — Comprehensive Diabetes Care — Nephropathy Screening,quality_hedis,Quality & Regulatory Affairs,"NCQA HEDIS spec for (incident #1271) Comprehensive Diabetes Care — (ticket #89833) Nephropathy Screening, (ticket #36288) computed against the MA (audit note #27892) and commercial member population.",60.5%,MY2026,64.5% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Comprehensive Diabetes Care — (work order #97039) Nephropathy Screening numerator/denominator per (case #81160) NCQA spec; (case #98505) hybrid administrative + chart (case #91135) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,HEDIS — Statin Use in Persons with Diabetes,quality_hedis,Quality & Regulatory Affairs,"NCQA HEDIS spec for (review item #8299) Statin Use in Persons (review item #22090) with Diabetes, (change record #38967) computed against the MA (change record #49148) and commercial member population.",65.0%,MY2026,69.7% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Statin Use in Persons (change record #68931) with Diabetes numerator/denominator per (log entry #8539) NCQA spec; (ticket #65088) hybrid administrative + chart (audit note #31323) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,68.5,FY2026 Q3,,measured
meridian-health,HEDIS — Annual Flu Vaccine,quality_hedis,Quality & Regulatory Affairs,"Annual Flu Vaccine, (work order #36495) per NCQA's technical spec, (log entry #39140) scored across the health (work order #14921) plan's MA and commercial (log entry #78693) book.",76.0%,MY2026,84.8% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Annual Flu Vaccine numerator/denominator (change record #42530) per NCQA spec; (review item #29834) hybrid administrative + chart (review item #57984) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,79.7,FY2026 Q3,,measured
meridian-health,HEDIS — Adult BMI Assessment,quality_hedis,Quality & Regulatory Affairs,"NCQA HEDIS spec for (change record #20151) Adult BMI Assessment, (incident #73098) computed against the MA (review item #61833) and commercial member population.",72.0%,MY2026,76.9% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Adult BMI Assessment numerator/denominator (audit note #94924) per NCQA spec; (review item #12465) hybrid administrative + chart (work order #39980) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,HEDIS — Transitions of Care (TRC),quality_hedis,Quality & Regulatory Affairs,"Transitions of Care (TRC), (work order #37766) per NCQA's technical spec, (audit note #39670) scored across the health (ticket #48911) plan's MA and commercial (log entry #29457) book.",69.5%,MY2026,74.5% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Transitions of Care (TRC) (log entry #18709) numerator/denominator per NCQA spec; (ticket #84849) hybrid administrative + chart (change record #10407) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,72.9,FY2026 Q3,,measured
meridian-health,HEDIS — Controlling High Blood Pressure (CBP),quality_hedis,Quality & Regulatory Affairs,"Controlling High Blood Pressure (case #72704) (CBP), (ticket #26238) per NCQA's technical spec, (audit note #83316) scored across the health (log entry #87046) plan's MA and commercial (work order #77964) book.",84.3%,MY2026,88.6% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Controlling High Blood Pressure (review item #70908) (CBP) numerator/denominator per NCQA (review item #36596) spec; (change record #63245) hybrid administrative + chart (work order #59953) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,85.9,FY2026 Q3,,measured
meridian-health,HEDIS — Osteoporosis Management in Women Who Had a Fracture,quality_hedis,Quality & Regulatory Affairs,"Osteoporosis Management in Women (incident #18348) Who Had a Fracture, (incident #76697) per NCQA's technical spec, (ticket #76483) scored across the health (review item #47943) plan's MA and commercial (log entry #46006) book.",76.5%,MY2026,85.1% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Osteoporosis Management in Women (ticket #4713) Who Had a Fracture (change record #62025) numerator/denominator per NCQA spec; (ticket #80315) hybrid administrative + chart (audit note #36766) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,HEDIS — Breast Cancer Screening,quality_hedis,Quality & Regulatory Affairs,"NCQA technical definition of (review item #73412) Breast Cancer Screening, (ticket #34537) applied to Meridian Health (audit note #71823) Plan's full member population.",71.8%,MY2026,77.6% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Breast Cancer Screening numerator/denominator (work order #51579) per NCQA spec; (incident #87723) hybrid administrative + chart (ticket #34038) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,75.4,FY2026 Q3,,measured
