tenant_key,system_name,system_type,system_category,business_function,system_scope,deployment_model,hosting_location,lifecycle_state,criticality,business_owner,technology_owner,vendor,data_domains,interfaces_count,current_state_or_target_state,volumetric_narrative,known_challenges_narrative,known_upgrades_plan_narrative,data_quality_notes,maturity_assessment_narrative,source_file,source_date,confidence,known_gaps,annual_cost_usd,user_count,technical_debt_score,cloud_readiness,replacement_candidate,end_of_support_date
meridian-health,Epic Hyperspace — Production,COTS,Epic clinical & revenue-cycle front end,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",current,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Core clinician and staff-facing application shell for inpatient and ambulatory workflows,80,current_state,"709 quality abstraction staff (log entry #54774) are provisioned, (work order #33953) generating 2,424 transactions/day normally (review item #89154) and 7,863 during month-end (work order #55356) close at the six (case #13565) affiliated Community Connect practices.","It service desk agents (review item #68446) flag a recurring queue (case #99076) backlog, worst at St. (review item #90829) Anselm Community Hospital. (review item #63547) Root cause: the Epic (audit note #28206) Caboodle nightly refresh. (review item #56545) No fix before whenever (change record #48735) staffing frees up.","A phased close the (ticket #92685) interface remediation item effort (review item #2902) is underway; 64% done, (work order #41024) per VP Clinical Informatics.",Sign-off on Core clinician (log entry #1814) staff-facing quality is current; (work order #15147) the caveat is a (work order #44901) 31% variance against Epic (ticket #17150) Bridges.,"VP Clinical Informatics (this (ticket #61108) intake) owns it: concentrated (work order #30598) but manageable debt in (review item #75416) an unversioned configuration export, (audit note #3233) against 85% adoption among (change record #19519) data engineers.",datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,832,3,rehost_candidate,no,
meridian-health,Epic Hyperspace — Test,COTS,Epic clinical & revenue-cycle front end,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",legacy_stable,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Core clinician and staff-facing application shell for inpatient and ambulatory workflows,72,current_state,"Of 952 active member (incident #56690) services representatives, (review item #89652) the Downtown Lakeview clinics (audit note #67608) is the single largest (incident #54352) site, (ticket #54704) reaching 11,186 transactions/day at (log entry #59442) the month-end close peak.","Risk adjustment coding specialists (log entry #65165) flag a missing field (log entry #78141) mapping, (change record #96786) worst at the West (case #65470) County ambulatory sites. (case #29819) Root cause: Imprivata SSO. (audit note #73439) No fix before the (change record #3579) next fiscal year kickoff.",VP Clinical Informatics's the (change record #33087) last vendor QBR plan (log entry #14566) is to close the (log entry #53804) interface remediation item; (change record #84495) no hard date set (ticket #89829) yet.,Stewardship exists but enforcement (case #94542) is uneven: 9% of (incident #64731) Core clinician staff-facing records (audit note #22655) skip Surescripts network validation.,"VP Clinical Informatics (check-in (case #19553) 6 of this quarter) (change record #84374) owns it: modest debt (incident #62943) in batch scheduling logic, (work order #17317) against 56% adoption among (audit note #22241) quality abstraction staff.",datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,701,6,refactor_required,no,
meridian-health,Epic Hyperspace — Training,COTS,Epic clinical & revenue-cycle front end,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",deprecated,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Core clinician and staff-facing application shell for inpatient and ambulatory workflows,83,current_state,"Volume grew 27% YoY (case #64914) to 11,067 transactions/day during (incident #95732) the winter respiratory surge; (work order #97513) the Fairhaven Corridor clinics (change record #32493) tops the 708-user roster (change record #29560) by 37 points.","Known: session drops at (case #91607) peak usage, (incident #47871) quarter-end financial close, (ticket #13598) traced to the SQL (audit note #51642) Server datamart pipeline. (case #52265) Not remediated as of (incident #24810) whenever staffing frees up.",VP Clinical Informatics (readout (change record #42934) 5 of this quarter) (review item #33716) targets Q4 FY27 to (review item #12789) close the interface remediation (change record #32930) item; (log entry #4565) on track for the (ticket #71856) next window.,Sunquest LIS drove 16% (ticket #12934) of open Core clinician (case #51128) staff-facing tickets this 2021; (case #80719) the rest trace to (audit note #63321) manual entry.,VP Clinical Informatics (cycle (incident #50651) review 3 of this (change record #15016) quarter): A formal change-advisory (review item #59140) process would lift the (ticket #87951) 54% score most; (work order #41816) data engineers adoption is (case #87274) uneven across facilities.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,1209,9,refactor_required,modernise_in_place,
meridian-health,Epic Chronicles — Production,COTS,Epic clinical data repository,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",current,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Underlying clinical data repository (CDR) for the Epic estate,21,current_state,"878 bedside nurses are (log entry #90764) provisioned, (audit note #26744) generating 3,252 transactions/day normally (review item #17298) and 9,616 during the (review item #17677) nightly batch window at (case #54539) Meridian Cancer Institute.",A residual gap from (ticket #96528) CaseNet care plans means (review item #2961) 19% of Underlying clinical (review item #94062) data records need review (audit note #5459) by revenue cycle coders (review item #60625) before Q1 FY28.,VP Clinical Informatics (check-in (log entry #11062) 5 of this quarter) (change record #89579) requested budget with the (review item #90884) business to modernize the (incident #24200) reporting layer.,A field-mapping gap with (change record #24779) Surescripts network leaves 18% (case #69597) of Underlying clinical data (log entry #73960) records missing a date-of-service (log entry #95224) timestamp value.,"VP Clinical Informatics (readout (change record #11456) 3 of this quarter): (case #41046) debt is moderate (chiefly (audit note #83654) manual reconciliation scripts); (review item #21637) data engineers adoption sits (audit note #69905) at 86%, governance informal.",datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,1169,3,rehost_candidate,no,
meridian-health,Epic Chronicles — Test,COTS,Epic clinical data repository,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",sunset_planned,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Underlying clinical data repository (CDR) for the Epic estate,90,current_state,"Ambulatory front-desk staff at (log entry #42676) Meridian Children's Hospital run (case #75279) 1,010 active seats, (work order #64602) up 17% YoY, (incident #93014) with a 10,484-transactions/day peak (log entry #16686) during flu season peak (ticket #23269) census.","Meridian West Hospital logged (review item #30084) a recurring queue backlog, (case #90953) tied to the Rhapsody (review item #36271) interface engine queue. (incident #93187) Pharmacy technicians want it (ticket #19538) funded by the next (work order #19484) scheduled maintenance window.",VP Clinical Informatics (week (case #23320) 4 of this quarter) (ticket #35343) requested budget with the (audit note #84663) business to consolidate onto (case #91811) a single SQL Server (log entry #56811) mart.,The open issue is (change record #50870) a Inovalon ONE Platform (log entry #52786) legacy ID scheme on (case #18921) 17% of Underlying clinical (work order #74532) data records; otherwise strong.,VP Clinical Informatics (the (ticket #76347) last change-advisory meeting): adoption (work order #31463) among IT service desk (audit note #34574) agents is 78%; (case #43438) centralized but under-resourced governance; (work order #92762) moderate debt in hard-coded (work order #97507) facility configuration.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,1247,7,rehost_candidate,modernise_in_place,
meridian-health,Epic Chronicles — Training,COTS,Epic clinical data repository,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",target_state,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Underlying clinical data repository (CDR) for the Epic estate,9,current_state,"Volume grew 9% YoY (incident #74422) to 10,796 transactions/day during (audit note #78296) the year-end cost-report close; (log entry #41323) the six affiliated Community (change record #56156) Connect practices tops the (ticket #27736) 809-user roster by 9 (review item #50371) points.","flu season peak census: (change record #67816) data engineers at the (log entry #17728) six affiliated Community Connect (review item #21694) practices work around a (incident #2143) character-encoding mismatch. (audit note #33646) Traced to Imprivata SSO, (review item #49523) open into the next (audit note #83995) annual budget cycle.",VP Clinical Informatics (the (log entry #88554) last vendor QBR) deprioritized (change record #92171) pilot a cloud-hosted successor (log entry #39710) for this workload behind (ticket #6142) a competing priority; (audit note #81359) it stays queued.,A field-mapping gap with (case #59057) Rhapsody leaves 23% of (review item #92732) Underlying clinical data records (ticket #76143) missing a site-of-service flag (review item #96588) value.,VP Clinical Informatics (the (work order #62170) most recent one-on-one) flags (audit note #76609) a completed architecture review (change record #35884) (84% priority score); (case #6876) revenue cycle coders adoption (work order #5974) is otherwise growing but (audit note #99610) still below target.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,731,2,refactor_required,no,2028-06-01
meridian-health,Epic Clarity — Production,COTS,Epic operational reporting database,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",current,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Epic's SQL-Server-based operational reporting database; primary extract source for the on-prem datamart estate and Tableau,9,current_state,"Sustains 2,763 transactions/day in (work order #59440) steady state, (work order #67433) climbing 29% to 6,230 (work order #27974) across the STARS measurement (case #91821) window; (change record #72223) member services representatives at (change record #63559) the Fairhaven Corridor clinics (work order #98771) count 754.","Inovalon ONE Platform contention (incident #54450) runs data up to (review item #73345) 6 hours stale during (review item #67731) the annual open-enrollment surge, (change record #82925) a pain point IT (incident #58127) service desk agents raised (case #98634) at the West County (change record #18509) ambulatory sites.","A phased add on-prem (log entry #43614) capacity for peak load (log entry #58354) effort is underway; (log entry #5117) 26% done, (case #5292) per VP Clinical Informatics.",Surescripts network drove 14% (ticket #29444) of open Epic's SQL-Server-based (ticket #88757) operational tickets this 2022; (log entry #68933) the rest trace to (incident #61132) manual entry.,VP Clinical Informatics (this (incident #39564) budget cycle's check-in) owns (case #15171) this. (incident #31014) 29% of member services (change record #37699) representatives have adopted it; (review item #36991) debt is concentrated but (ticket #54037) manageable in the reporting (log entry #44953) layer.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,1112,3,refactor_required,no,
meridian-health,Epic Clarity — Test,COTS,Epic operational reporting database,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",current,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Epic's SQL-Server-based operational reporting database; primary extract source for the on-prem datamart estate and Tableau,92,current_state,"896 utilization review nurses (incident #6841) are provisioned, (incident #1944) generating 2,535 transactions/day normally (ticket #16859) and 12,555 during the (change record #96924) Medicare Advantage bid-submission cycle (log entry #40896) at the six affiliated (work order #68893) Community Connect practices.","Open ticket on session (work order #16541) drops at peak usage, (review item #39584) names the Rhapsody interface (audit note #87796) engine queue. (work order #71162) Care managers raised it (log entry #31764) the year-end cost-report close, (incident #20787) open as of Q4 (audit note #27608) FY27.",VP Clinical Informatics (week (review item #28770) 1 of this quarter) (review item #87294) requested budget with the (work order #5180) business to retire the (ticket #84928) legacy parallel path.,"Completeness is high; (incident #76362) a 24% null rate (change record #95197) sits on the secondary (ticket #92112) identifier field, (work order #91408) pending the Epic Caboodle (change record #51632) nightly refresh fix.",VP Clinical Informatics (readout (incident #24137) 2 of this quarter) (review item #18946) owns this. (ticket #69248) 88% of pharmacy technicians (work order #15291) have adopted it; (work order #20604) debt is significant in (review item #6773) hard-coded facility configuration.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,406,3,rehost_candidate,no,
meridian-health,Epic Clarity — Training,COTS,Epic operational reporting database,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",current,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Epic's SQL-Server-based operational reporting database; primary extract source for the on-prem datamart estate and Tableau,67,current_state,"Cedar Bluff Specialty Hospital (case #53180) drives most usage among (log entry #46634) 849 named data engineers; (review item #45333) 3,270 transactions/day/day normally, (incident #54410) 11,520 once the annual (review item #4841) open-enrollment surge hits.","Cedar Bluff Specialty Hospital (review item #40305) logged a character-encoding mismatch, (change record #93936) tied to the SQL (change record #84938) Server datamart pipeline. (audit note #30084) Quality abstraction staff want (audit note #89484) it funded by Q1 (case #97768) FY28.",VP Clinical Informatics (this (change record #62079) budget cycle's check-in) is (case #15954) waiting on CISO security (ticket #7474) sign-off before committing to (work order #64325) close the interface remediation (work order #88467) item.,"Completeness is high; (work order #74120) a 6% null rate (ticket #87120) sits on the discharge (audit note #29358) disposition field, (incident #14812) pending the Epic Caboodle (log entry #52043) nightly refresh fix.","VP Clinical Informatics (readout (change record #41907) 5 of this quarter) (work order #95732) owns it: significant debt (work order #77079) in the reporting layer, (incident #49333) against 62% adoption among (change record #64940) care managers.",datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,886,3,rehost_candidate,no,
meridian-health,Epic Caboodle — Production,COTS,Epic enterprise data warehouse,Clinical Informatics,enterprise,hosted_by_vendor,"Epic hosting — Verona, WI (vendor-hosted) with Lakeview DR failover",sunset_planned,tier1,CMIO,VP Clinical Informatics,Epic Systems Corporation,Epic's native data warehouse model; evaluated but Clarity/SQL Server/Tableau is the primary reporting path here,65,current_state,"Baseline shows 2,483 transactions/day/day (change record #76313) typical, (work order #28444) spiking 6% to 12,542 (incident #20948) during the winter respiratory (case #21543) surge; (incident #70700) Meridian Cancer Institute leads (case #46925) the 721 named users.","Data engineers flag stale (case #36951) dashboard cache data, (audit note #42023) worst at Meridian Regional (log entry #57846) Medical Center. (change record #3662) Root cause: the Epic (change record #92242) Caboodle nightly refresh. (case #91965) No fix before the (audit note #54943) next scheduled maintenance window.","Expand community connect to (ticket #31994) two more practices is (review item #22671) scoped but unscheduled, (log entry #95497) per VP Clinical Informatics (incident #61557) (check-in 2 of this (change record #13865) quarter).",The Epic's native data (work order #37988) reconciliation against CaseNet care (review item #21421) plans passed within tolerance (work order #13771) as of 2023; (incident #42617) no material issue.,VP Clinical Informatics (the (review item #24526) last portfolio review): A (audit note #23760) completed architecture review would (work order #94138) lift the 96% score (ticket #36340) most; (incident #11039) revenue cycle coders adoption (log entry #65674) is moderate.,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,2026-07-31,medium,"Volumetric, financial, and adoption figures are illustrative synthetic estimates generated for the meridian-health enrichment, structured to mirror plausible source-system exports (ServiceNow CMDB, vendor account extracts, Epic Cogito reporting); validate against real vendor/ITSM exports before quoting externally or promoting to production.",1883000,772,8,refactor_required,modernise_in_place,
