tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,volumetric_narrative,known_challenges_narrative,known_upgrades_plan_narrative,data_quality_notes,maturity_assessment_narrative,source_file,source_date,confidence,known_gaps,annual_cost_usd,utilization_pct,end_of_life_date,dr_tier,capacity_headroom_pct
meridian-health,Lakeview Primary Data Center,Owned Data Center,on_premise,"Lakeview, IL metro (DC-1)",Cisco core switching; NetApp/Pure storage; VMware vSphere compute,VP Infrastructure & Cloud,tier1,current,"~1,124 concurrent sessions","Staffing, not capacity, (review item #22442) is the limiter, (log entry #86805) says VP Infrastructure & (change record #3475) Cloud (week 7 of (incident #55142) this quarter).",false,"Sustains 1,158 workloads/instances in (work order #19841) steady state, (audit note #56852) climbing 34% to 4,202 (incident #97245) across month-end close; (log entry #83128) ambulatory front-desk staff at (audit note #76476) Meridian Children's Hospital count (ticket #10728) 458.","Open ticket on a (incident #40718) missing field mapping, (work order #43573) names Sunquest LIS. (incident #31650) Hedis abstractors raised it (review item #26167) the nightly batch window, (incident #13473) open as of whenever (review item #83137) staffing frees up.",VP Infrastructure & Cloud (change record #45058) (the last steering committee) (ticket #9936) is waiting on CMS (audit note #72038) submission-window timing before committing (ticket #19210) to close the interface (incident #31491) remediation item.,The Owned reconciliation against (incident #62370) Cotiviti Quality Intelligence passed (audit note #74422) within tolerance as of (review item #50224) 2019; no material issue.,VP Infrastructure & Cloud (incident #82119) (check-in 4 of this (case #29086) quarter) owns this. (incident #86000) 75% of risk adjustment (audit note #21389) coding specialists have adopted (incident #87686) it; (incident #88009) debt is low in (ticket #5299) manual reconciliation scripts.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,38,,tier2_warm,58
meridian-health,Fairhaven DR Data Center,Owned Data Center (DR),on_premise,"Fairhaven, IL metro (DC-2)",Cisco core switching; NetApp storage replication; VMware vSphere compute,VP Infrastructure & Cloud,tier1,current,~374 managed endpoints,VP Infrastructure & Cloud (review item #8126) flags this platform as (review item #83043) within 72% of its (work order #68928) practical capacity ceiling.,false,"Swing analysis: 1,165 workloads/instances (ticket #38736) normal, (incident #71008) 5,037 during the STARS (audit note #98439) measurement window, (review item #97003) 36% variance across 558 (audit note #85415) IT service desk agents (work order #75190) — the West County (audit note #32082) ambulatory sites is largest.","Risk adjustment coding specialists (ticket #10342) flag slow report rendering, (ticket #78542) worst at Meridian West (change record #55066) Hospital. Root cause: Rhapsody. (review item #75645) No fix before the (incident #58973) next Epic upgrade window.",VP Infrastructure & Cloud (review item #5178) (week 7 of this (work order #14452) quarter) requested budget with (case #18812) the business to upgrade (review item #42693) to the vendor-supported version.,the Epic Caboodle nightly (ticket #27050) refresh drove 15% of (case #95672) open Owned tickets this (review item #77730) 2023; (work order #25746) the rest trace to (incident #86027) manual entry.,VP Infrastructure & Cloud (audit note #31245) (cycle review 4 of (case #70073) this quarter) owns this. (incident #46262) 67% of member services (review item #94737) representatives have adopted it; (review item #6550) debt is significant in (incident #16852) hard-coded facility configuration.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,42,,tier1_hot,51
meridian-health,Riverton Regional Server Room,Regional Server Room,on_premise,"Riverton, IL regional cluster",Cisco branch switching; local VMware cluster for regional hospital cluster workloads,VP Infrastructure & Cloud,tier2,current,"~8,081 hosted VMs",VP Infrastructure & Cloud (ticket #24979) flags this platform as (work order #66565) within 95% of its (audit note #63303) practical capacity ceiling.,false,"Volume grew 21% YoY (audit note #72482) to 4,588 workloads/instances during (case #83952) flu season peak census; (incident #2715) the Fairhaven Corridor clinics (change record #50269) tops the 555-user roster (change record #20278) by 21 points.","Epic Bridges contention runs (incident #90794) data up to 7 (audit note #68535) hours stale during the (incident #74488) STARS measurement window, (work order #94869) a pain point IT (audit note #87707) service desk agents raised (incident #43873) at Meridian Cancer Institute.","Nothing's planned yet. (case #73990) the platform's operations team, (review item #86201) the last steering committee, (review item #18742) tracks utilization trend before (review item #57127) funding consolidate interfaces onto (change record #62639) Epic Bridges.",A field-mapping gap with (work order #3612) Surescripts network leaves 28% (change record #89786) of Regional records missing (audit note #28503) a provider NPI cross-reference (ticket #87865) value.,"VP Infrastructure & Cloud (review item #38406) (the last governance council (incident #31503) session) rates governance developing (ticket #42734) (27/100 internally); (case #38688) the main gap is (ticket #64952) a completed architecture review, (incident #82825) debt low.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,49,,tier3_backup_only,42
meridian-health,Marsh Point Regional Server Room,Regional Server Room,on_premise,"Marsh Point, IN regional cluster",Cisco branch switching; local VMware cluster for regional hospital cluster workloads,VP Infrastructure & Cloud,tier2,current,"~7,748 managed endpoints",License ceiling reached (this (incident #96046) budget cycle's check-in); (log entry #62433) renewal talks are underway.,false,"433 IT service desk (ticket #3374) agents are provisioned, (review item #71708) generating 1,326 workloads/instances normally (change record #82275) and 3,514 during the (ticket #4293) nightly batch window at (audit note #74481) Cedar Bluff Specialty Hospital.","Known: duplicate-record creation on (case #41198) lookups, (ticket #35326) the HEDIS submission deadline, (incident #52311) traced to ServiceNow CMDB. (work order #73159) Not remediated as of (ticket #75812) the FY28 capital planning (audit note #48242) cycle.","Automate the nightly extract (review item #34621) reconciliation sits on VP (ticket #9003) Infrastructure & Cloud's backlog (review item #24936) (cycle review 7 of (change record #58548) this quarter), (ticket #43564) currently staffed but unfunded.",A field-mapping gap with (log entry #69924) Imprivata SSO leaves 21% (work order #74919) of Regional records missing (log entry #67170) a measure exclusion flag (work order #63505) value.,VP Infrastructure & Cloud (case #56482) (check-in 2 of this (review item #27703) quarter) owns this. (case #4574) 31% of HEDIS abstractors (change record #80719) have adopted it; (work order #49907) debt is significant in (ticket #18775) a single-threaded nightly job.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,81,,tier3_backup_only,8
meridian-health,VMware vSphere Compute Cluster,Server Virtualization,on_premise,Lakeview Primary Data Center,VMware vSphere; vSAN,VP Infrastructure & Cloud,tier1,current,"~11,856 concurrent sessions",No elastic scale here; (log entry #97290) more capacity needed by (review item #33588) Q1 FY28 to support (review item #53932) growth.,false,"480 risk adjustment coding (change record #59423) specialists are provisioned, (incident #94597) generating 1,588 workloads/instances normally (review item #93199) and 4,111 during the (incident #59917) winter respiratory surge at (case #59592) the six affiliated Community (ticket #64495) Connect practices.","Availity gateway trails the (incident #70910) Downtown Lakeview clinics volume, (audit note #87733) surfacing login timeouts at (ticket #17291) peak concurrency, (ticket #29538) worst during the STARS (work order #90548) measurement window. (log entry #79239) Utilization review nurses escalated (log entry #44003) for the next contract (incident #5620) renewal date.","A pilot to add (log entry #81290) on-prem capacity for peak (ticket #5975) load began this quarter (log entry #60353) under VP Infrastructure & (case #21386) Cloud, (case #14478) readout 3 of this (review item #99168) quarter.",An audit found 4% (review item #4141) of Server records with (incident #58098) a stale timestamp from (review item #21940) Change Healthcare EDI Gateway (case #9773) clock drift.,VP Infrastructure & Cloud (case #1081) (check-in 3 of this (audit note #69265) quarter) owns this. (work order #91684) 25% of claims examiners (ticket #19411) have adopted it; (audit note #92023) debt is modest in (case #31068) a single-threaded nightly job.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,82,,tier2_warm,14
meridian-health,NetApp Enterprise Storage Estate,Storage Platform,on_premise,Lakeview + Fairhaven Data Centers,NetApp ONTAP; SnapMirror replication,VP Infrastructure & Cloud,tier1,current,"~8,527 workloads/instances",License ceiling reached (the (incident #42102) last governance council session); (review item #1394) renewal talks are underway.,false,"Volume grew 23% YoY (ticket #26557) to 5,878 workloads/instances during (log entry #30599) the winter respiratory surge; (incident #13152) the Downtown Lakeview clinics (log entry #56634) tops the 430-user roster (ticket #40853) by 32 points.","the Medicare Advantage bid-submission (case #68092) cycle: care managers at (review item #96637) Meridian Regional Medical Center (log entry #8046) work around intermittent timeout (audit note #27593) errors. (ticket #75531) Traced to ServiceNow CMDB, (review item #12832) open into the vendor's (review item #52511) next release date.",VP Infrastructure & Cloud (log entry #74610) (cycle review 5 of (change record #86042) this quarter) targets the (log entry #76620) vendor's next release date (log entry #50164) to add on-prem capacity (incident #77791) for peak load; (incident #81953) awaiting CISO sign-off.,"Duplicate-record rate is roughly (incident #38447) 18% in Storage data, (audit note #15176) mostly from Change Healthcare (ticket #78763) EDI Gateway not deduplicating (incident #2690) on load.",VP Infrastructure & Cloud (work order #36813) (the last check-in) owns (incident #16029) this. (work order #24890) 34% of revenue cycle (audit note #72447) coders have adopted it; (case #32954) debt is modest in (incident #82661) batch scheduling logic.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,66,,tier2_warm,25
meridian-health,Cisco Core & Campus Network,Network Infrastructure,on_premise,All owned facilities,Cisco Catalyst/Nexus switching; Cisco ISE,"Director, Network & Telecom Engineering",tier1,current,"~1,815 managed endpoints","Staffing, not capacity, (audit note #93506) is the limiter, (log entry #98032) says Director, (change record #81813) Network & Telecom Engineering (ticket #57815) (this budget cycle's check-in).",false,"Of 522 active bedside (incident #21226) nurses, (case #49278) Meridian Regional Medical Center (incident #9678) is the single largest (ticket #52761) site, (log entry #74305) reaching 4,978 workloads/instances at (change record #16582) the the STARS measurement (work order #12334) window peak.","Known: a missing field (work order #66434) mapping, (incident #56895) the STARS measurement window, (log entry #72662) traced to Epic Bridges. (incident #91652) Not remediated as of (audit note #42653) FY27 budget approval.","Director, (case #39270) Network & Telecom Engineering (log entry #4474) (readout 2 of this (incident #83367) quarter) targets the next (incident #77219) major version upgrade to (review item #88509) retire the legacy parallel (case #95753) path; approved, (case #80122) not yet started.",The open issue is (incident #34390) a Inovalon ONE Platform (audit note #88207) legacy ID scheme on (change record #84459) 24% of Network records; (ticket #71393) otherwise strong.,"Director, (work order #95340) Network & Telecom Engineering (audit note #21793) (cycle review 3 of (ticket #47394) this quarter) flags an (review item #74208) updated RACI for the (incident #58303) owning function (77% priority (audit note #12721) score); (review item #71669) member services representatives adoption (ticket #55518) is otherwise consistent across (incident #52699) shifts.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,38,2029-06-30,tier2_warm,62
meridian-health,Citrix Clinical Desktop Virtualization,Desktop Virtualization,on_premise,Lakeview Primary Data Center,Citrix Virtual Apps and Desktops,VP Infrastructure & Cloud,tier1,current,"~6,567 hosted VMs","No material capacity constraint (review item #17994) identified, (case #93080) this budget cycle's check-in.",false,"Volume grew 19% YoY (change record #88194) to 6,122 workloads/instances during (log entry #17430) the Medicare Advantage bid-submission (audit note #31703) cycle; (case #24793) Meridian Regional Medical Center (work order #94755) tops the 461-user roster (review item #60458) by 28 points.","the nightly batch window: (case #98131) data engineers at Cedar (review item #76015) Bluff Specialty Hospital work (change record #12253) around slow report rendering. (work order #54646) Traced to Waystar clearinghouse, (audit note #54807) open into the vendor's (review item #65171) next release date.",VP Infrastructure & Cloud's (incident #40331) week 7 of this (log entry #48773) quarter plan is to (log entry #11229) pilot a cloud-hosted successor (ticket #76413) for this workload; (incident #29915) no hard date set (log entry #81524) yet.,"Desktop data is well-governed (audit note #23084) since 2022, (case #98164) but Epic Bridges left (work order #33724) 19% without consistent owner (work order #76132) tagging.",VP Infrastructure & Cloud (work order #61908) (check-in 6 of this (review item #78810) quarter): A named backup (change record #56578) owner for on-call coverage (audit note #4965) would lift the 38% (work order #40791) score most; (review item #46240) IT service desk agents (work order #54947) adoption is moderate.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,51,,tier2_warm,43
meridian-health,Active Directory / Identity Infrastructure,Identity Infrastructure,on_premise,Lakeview Primary Data Center,Microsoft Active Directory on-prem domain services; no cloud-hosted identity tier yet,"Director, Identity & Access Management",tier1,current,"~6,949 workloads/instances","Director, (work order #46165) Identity & Access Management (work order #15780) flags this platform as (log entry #85246) within 62% of its (review item #92591) practical capacity ceiling.",false,"Pharmacy technicians at the (ticket #95462) six affiliated Community Connect (work order #7450) practices run 382 active (review item #29150) seats, up 36% YoY, (change record #72786) with a 4,383-workloads/instances peak (review item #87654) during the nightly batch (log entry #26253) window.","Known: a character-encoding mismatch, (case #44256) the winter respiratory surge, (change record #11475) traced to Epic Bridges. (ticket #83574) Not remediated as of (change record #80368) the next fiscal year (case #98769) kickoff.","A pilot to retire (incident #38116) the legacy parallel path (case #72996) began this quarter under (incident #54546) Director, (work order #93323) Identity & Access Management, (log entry #93328) the last vendor QBR.",A field-mapping gap with (ticket #8003) Availity gateway leaves 13% (work order #13123) of Identity records missing (change record #25948) a encounter reason code (review item #49915) value.,"Director, (case #95465) Identity & Access Management (incident #10606) (cycle review 3 of (audit note #43058) this quarter) flags a (work order #69472) documented data steward assignment (incident #63081) (57% priority score); (ticket #75980) Epic analysts adoption is (audit note #64608) otherwise high.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,42,,tier2_warm,56
meridian-health,CrowdStrike Falcon Endpoint Platform,Security — Endpoint,cloud,CrowdStrike cloud,CrowdStrike Falcon EDR agents across managed endpoints,CISO,tier1,current,"~2,674 workloads/instances","Staffing, not capacity, (case #67307) is the limiter, (ticket #81324) says CISO (the most (review item #63038) recent standup).",false,"Sustains 1,202 workloads/instances in (change record #46089) steady state, (work order #66270) climbing 41% to 6,071 (case #47990) across the winter respiratory (review item #82399) surge; (case #55233) ambulatory front-desk staff at (audit note #4494) Cedar Bluff Specialty Hospital (change record #58215) count 439.",A residual gap from (audit note #37200) the Rhapsody interface engine (work order #27638) queue means 7% of (log entry #48608) Security records need review (incident #59564) by claims examiners before (incident #18090) the next contract renewal (case #85866) date.,"Nothing's planned yet. (review item #89598) the owning platform team, (log entry #1605) the most recent one-on-one, (log entry #45945) tracks denial rate before (log entry #88624) funding consolidate interfaces onto (audit note #41231) Epic Bridges.","Duplicate-record rate is roughly (audit note #26473) 6% in Security data, (incident #47638) mostly from the Rhapsody (change record #61745) interface engine queue not (change record #3869) deduplicating on load.",CISO (the last review): (ticket #67093) adoption among risk adjustment (incident #10934) coding specialists is 50%; (review item #20116) informal governance; (work order #1567) moderate debt in the (log entry #33868) reporting layer.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,28,,tier2_warm,62
