tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,vendor_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,Amadeus IT Group,Altéa PSS Suite Agreement,Passenger Service System,VP Distribution & E-Commerce,VP Commercial & Distribution Systems,62000000,2022-01-01,2028-12-31,2028-06-30,transaction_per_pax_boarded,Altéa Inventory; Altéa Reservations; Altéa Departure Control,"Distribution, Sales & E-Commerce; Airport & Ground Operations",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,2,VEND-0001,synthetic-demo,9526cb63e021877cccc0ad7d9cd281a75913b25f2a6127823a052d418dce8fa9,enriched_dense_synthetic_generation_2026_07,none,VEN-064b902f9f,cargo;loyalty;mainline;regional,front;middle,1
skyharbor-air,Sabre Corporation,GDS Distribution Agreement,Global Distribution System,VP Distribution & E-Commerce,VP Commercial & Distribution Systems,18500000,2023-04-01,2027-03-31,2026-12-31,transaction_fee,GDS Booking Connector — Sabre,"Distribution, Sales & E-Commerce",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,3,VEND-0002,synthetic-demo,2b3b32b77053c65c0d8210c415ea6f763e23afa43b78ea6ce412b17093c42125,enriched_dense_synthetic_generation_2026_07,none,VEN-b3594bfa8a,cargo;loyalty;mainline;regional,front;middle,1
skyharbor-air,Travelport Worldwide,GDS Distribution Agreement,Global Distribution System,VP Distribution & E-Commerce,VP Commercial & Distribution Systems,6100000,2023-04-01,2027-03-31,2026-12-31,transaction_fee,GDS Booking Connector — Travelport,"Distribution, Sales & E-Commerce",low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,4,VEND-0003,synthetic-demo,6037010b5699c3f3056de8bdb7b5aefa32f7f45acad1553175fa1e8ae126bda6,enriched_dense_synthetic_generation_2026_07,none,VEN-aec6f8e071,cargo;loyalty;mainline;regional,front;middle,1
skyharbor-air,PROS Holdings,Revenue Management Suite License,Revenue Management Software,VP Revenue Management,VP Commercial & Distribution Systems,21000000,2021-07-01,2027-06-30,2026-12-31,annual_license,PROS O&D Forecasting; PROS Network RM; PROS Offer & Order Management,Revenue Management & Pricing,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,5,VEND-0004,synthetic-demo,235a1ee262f0e8d353717309d27c3e3471e2dd336eb605c56564df5790f29d0c,enriched_dense_synthetic_generation_2026_07,none,VEN-e8c8b090f1,cargo;loyalty;mainline;regional,front;middle,1
skyharbor-air,Jeppesen (Boeing Digital Aviation),Flight Planning & Crew Systems Agreement,Flight Operations Software,SVP Flight Operations,VP Flight & Crew Systems,34000000,2020-10-01,2027-09-30,2027-03-31,annual_license,JetPlan Flight Planning; AIMS Crew Pairing & Rostering; EFB Content Manager,Flight Operations; Crew Operations,high,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,6,VEND-0005,synthetic-demo,3d13c62b4b09e42001e3e51c33e2ea7bc7647d67bfce2afb421bf1f2803315ef,enriched_dense_synthetic_generation_2026_07,none,VEN-fd83e53b40,cargo;enterprise;mainline;regional,middle,1
skyharbor-air,IBS Software,iCargo Managed Hosting Agreement,Cargo Management Platform,VP Cargo,VP Airport & Ground Systems,8700000,2022-01-01,2026-12-31,2026-09-30,managed_hosting_subscription,iCargo Booking & Track-and-Trace; iCargo DG Compliance,Cargo & Logistics,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,7,VEND-0006,synthetic-demo,3cbd12369123fc59608233db985526cdaada6f4127dcf4426a36e57adaa734a4,enriched_dense_synthetic_generation_2026_07,none,VEN-b589aeb46a,cargo;mainline;regional,middle,1
skyharbor-air,Trax USA Corp,TRAX MRO Software License,MRO / M&E Software,SVP Technical Operations,Director MRO Systems,16400000,2019-05-01,2027-04-30,2026-10-31,annual_license_plus_module,TRAX Line Maintenance; TRAX Engineering Records; TRAX Reliability; TRAX Inventory,Maintenance & Engineering (MRO),medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,8,VEND-0007,synthetic-demo,8e10f3f864a4947f1da6dd3476a7cd281ee3da1101db64df7db0183b374d97ce,enriched_dense_synthetic_generation_2026_07,none,VEN-a158ca0389,mainline;mro;regional,middle,1
skyharbor-air,SITA,CUTE/CUPPS & Airport Common-Use Agreement,Airport Common-Use Infrastructure,SVP Airport Operations,VP Airport & Ground Systems,27500000,2021-01-01,2027-12-31,2027-06-30,per_terminal_position_fee,Common-Use Terminal Equipment (multiple hubs); WorldTracer Baggage Tracing,Airport & Ground Operations,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,9,VEND-0008,synthetic-demo,4052b88ff0b339aaa4b76527a31dc59c9bed96bac14127474c88507f49b7988e,enriched_dense_synthetic_generation_2026_07,none,VEN-2946c1345a,cargo;mainline;regional,front;middle,1
skyharbor-air,Genesys Cloud Services,Contact Center Platform Subscription,Contact Center Software,VP Customer Experience,Director Contact Center & CX Technology,14200000,2024-01-01,2027-12-31,2027-06-30,per_agent_seat_subscription,Genesys Cloud CX; Genesys WFM,Customer Experience & Contact Center,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,10,VEND-0009,synthetic-demo,dd0847a331c86b09924efad540ed3691970f80671ddb365dd3e4fb3a77af8c92,enriched_dense_synthetic_generation_2026_07,none,VEN-d1e6040bcd,loyalty;mainline;regional,front,1
skyharbor-air,Genesys (legacy PureConnect),PureConnect Support Extension,Contact Center Software (legacy),VP Customer Experience,Director Contact Center & CX Technology,1900000,2023-01-01,2026-12-31,2026-10-31,annual_support_extension,Genesys PureConnect (2 international sites),Customer Experience & Contact Center,high,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,11,VEND-0010,synthetic-demo,a4d5f40ebca7eb267a7215841e282bac9dd892a6bc87b14722f5761aeff9f6dc,enriched_dense_synthetic_generation_2026_07,none,VEN-c1801e6663,loyalty;mainline;regional,front,1
