tenant_key,service_tower,service_name,scope_description,in_scope_functions,in_scope_systems,current_provider,service_volume,sla_or_kpi,run_cost_usd,target_state_option,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
skyharbor-air,Mainframe Operations,IBM Mainframe Managed Operations,"24x7 mainframe operations, capacity management, and batch scheduling support for the IBM z16 LPAR estate",Information Technology & Digital; Flight Operations; Finance & Accounting,IBM z16 Mainframe LPAR — PROD1; IBM z16 Mainframe LPAR — DR1; CA-7 Mainframe Batch Scheduler,IBM Global Services,~34 batch jobs/night; 24x7 operations coverage,99.95% batch completion within SLA window,18900000,Retain through at least FY29 per the current mainframe roadmap,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,2,MSVC-0001,synthetic-demo,a4bf86682d209eb782c0dfa84dc51e30ba7fcb5d38ba885d0fe8b9a534146018,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Application Managed Services (non-core),Accenture Non-Core Application Support,Tier-2/3 application support for non-core enterprise applications outside the primary vendor support contracts,Various corporate functions,Multiple long-tail departmental and SaaS applications,Accenture,"~1,200 support tickets/month",95% of P2 tickets resolved within 8 business hours,9700000,Renegotiate scope at next renewal to shift low-value tickets to self-service,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,3,MSVC-0002,synthetic-demo,475079ae2715502a4c8e2f6a0fa7d3f897ebc8c80ad763ca4ff930518844ca99,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,IT Service Desk,Infosys BPM Tier-1 Service Desk,Tier-1 IT service desk coverage for all employee and station IT support requests,All functions,ServiceNow ITSM,Infosys BPM,"~28,000 tickets/month",80% first-contact resolution; average speed to answer under 45 seconds,8100000,Continue with quarterly ticket-deflection review via self-service expansion,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,4,MSVC-0003,synthetic-demo,3833ffa29cc79207df474140705083cd0d9c614f6ad29f305f7f0c24f92f2052,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Contact Center Overflow,Foundever Overflow Agent Services,Outsourced contact center agents handling approximately 35% of total contact volume during peak and overflow periods,Customer Experience & Contact Center,Genesys Cloud CX; Salesforce Service Cloud,Foundever (Sitel Group),~35% of total contact volume,AHT and CSAT parity with in-house agents within 10%,22800000,Maintain current scope; revisit mix after the PureConnect migration completes,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,5,MSVC-0004,synthetic-demo,822e1a970d5b674e7280193c75494e46b234c262bbfb5ff79395de4d423dfa7c,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Outstation Ground Handling,Menzies/Swissport Ground Handling,"Ground handling operations (ramp, baggage, check-in support) at outstations without a company-employed ground team",Airport & Ground Operations,Ground Handling Partner Portal; Outstation Ground Handling Coordination Tool (multiple outstations),Menzies Aviation; Swissport International,~65 outstations covered,On-time turn performance within contracted SLA per station,74500000,No change planned; contract renewal cycle FY26-27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,6,MSVC-0005,synthetic-demo,b44568315c052a744e6c640846e530b6332d1dabbb228e9ea30b96dbdaa16a84,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Inflight Catering Supply,Gate Gourmet / dnata Catering,"Catering planning, preparation, and delivery for all mainline flights",In-Flight Services & Catering,Catering Planning & Ordering System,Gate Gourmet (dnata),Meals for all scheduled mainline departures,On-time catering delivery per flight schedule,62000000,No change planned,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,7,MSVC-0006,synthetic-demo,8f1b6e9ef62d27cac9b229d396e03dcc2481f66a2831aef6d8de784dbf4c35fb,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Accounts Payable Processing,Genpact AP BPO,End-to-end accounts payable invoice processing and exception handling,Finance & Accounting,SAP S/4HANA — Finance (FI); Vendor Invoice Exception Queue Tool,Genpact,"~45,000 invoices/month",Invoice processing cycle time under 5 business days for 90% of invoices,5200000,Evaluate expanding scope to include MRO parts invoice processing,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,8,MSVC-0007,synthetic-demo,a8cb0f68d84d0d5a3fd0acfec79fea5ed51d04a28edb7f2a4ae7c04bb4108c72,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Facilities Management,JLL Facilities Management,"Facilities management services across corporate HQ, hangars, and major hub facilities",Corporate Real Estate & Facilities,IBM Maximo CMMS,JLL (Jones Lang LaSalle),Coverage of corporate HQ and major hub facilities,Preventive maintenance completion rate above 92%,8300000,Extend scope to top 15 outstations by FY28 alongside Maximo coverage expansion,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,9,MSVC-0008,synthetic-demo,dbd98fd75496ebc3e24d44f5978507c26d2476a72dcbad1d2f382faa8b4dc1c4,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Managed Firewall & Network Security,Palo Alto Networks Managed Security,24x7 managed firewall and remote-access security operations,Cybersecurity & IT Risk,Palo Alto Prisma Access / Firewall Fleet,Palo Alto Networks,Enterprise-wide perimeter and remote-access traffic,99.99% firewall availability; security event response within 15 minutes,3400000,No change planned,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,10,MSVC-0009,synthetic-demo,c93133d42388b7267664058328f75157124c81cafe5db07ba5e3a5e3d4fd95fb,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Managed Detection & Response (MDR),CrowdStrike MDR,"24x7 endpoint threat detection, triage, and response across the corporate and station endpoint fleet",Cybersecurity & IT Risk,CrowdStrike EDR/MDR,CrowdStrike Holdings,All managed endpoints enterprise-wide,Mean time to detect under 10 minutes; mean time to respond under 1 hour,4300000,No change planned,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,universal-standard-v3,11,MSVC-0010,synthetic-demo,7709c2de24d6ba4c59121a978a0f85b407d49472ca74bfffb266ab4af6e32b50,enriched_dense_synthetic_generation_2026_07,none
