tenant_key,metric_name,metric_domain,business_function,definition,baseline_value,baseline_period,target_value,owner,data_source,calculation_basis,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,metric_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops,actual_value,actual_period,finance_attested_value_usd,value_claim_status,evidence_basis,attestation_owner,claim_readiness,claim_blocked_reason,unblock_action,unblock_target_period
skyharbor-air,On-Time Performance (D0),operational,Flight Operations,Percentage of flights departing within 0 minutes of scheduled time,71.4%,FY26 Q2,78.0% by FY27 Q4,SVP Flight Operations,IROPS Recovery Cockpit; Amadeus Altéa Departure Control (DCS),Departures on-time / total departures,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,2,METRIC-0001,synthetic-demo,c749149f379b17239080828df648ffdb19634ba7f949f8ab41632aa7e636b336,enriched_dense_synthetic_generation_2026_07,none,MET-c5574d1fa5,UNDECLARED,UNDECLARED,,73.7,FY2026 Q3,795288,attested,Finance-attested outcome reconciled to the general ledger,Finance Business Partner,claimable,,,
skyharbor-air,Completion Factor,operational,Flight Operations,Percentage of scheduled flights operated (not cancelled),98.6%,FY26 Q2,99.1% by FY27 Q4,SVP Flight Operations,Amadeus Altéa Departure Control (DCS),Flights operated / flights scheduled,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,3,METRIC-0002,synthetic-demo,9f8b2411e7db7f386412aadc282547fd0b7e869a461c1cb68ea27f239393313d,enriched_dense_synthetic_generation_2026_07,none,MET-2951d2d05f,UNDECLARED,UNDECLARED,,98.9,FY2026 Q3,,measured,Finance-signed cohort definition plus a restated baseline on the same population,Finance Business Partner,pending_attestation,Finance will not attest until the comparison cohort is agreed; the current baseline mixes populations.,Agree the cohort definition with Finance and restate the baseline on that basis.,FY2027 Q2
skyharbor-air,Mishandled Baggage Rate,operational,Airport & Ground Operations,"Mishandled bags per 1,000 passengers",5.8,FY26 Q2,4.2 by FY27 Q4,SVP Airport Operations,WorldTracer Baggage Tracing; RFID Bag Tracking Platform,"Mishandled bag reports / 1,000 enplaned passengers",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,4,METRIC-0003,synthetic-demo,8b01b73d92bf8d676cfe43c0f630b54f075cf6aeb7ffb66401ab0428fb5b03d8,enriched_dense_synthetic_generation_2026_07,none,MET-22b4aa3799,UNDECLARED,UNDECLARED,,,,,baseline_only,"Two consecutive periods at or better than baseline quality, alongside the outcome",Risk / Quality Owner,not_ready,Measured improvement has not yet cleared the quality guardrail; error rates rose alongside it.,Hold the claim until quality returns to baseline for two consecutive periods.,FY2027 Q1
skyharbor-air,Average Handle Time (AHT),operational,Customer Experience & Contact Center,Average contact center call handling time,6.4 minutes,FY26 Q2,5.6 minutes by FY27 Q4,VP Customer Experience,Genesys Cloud CX,Total handle time / total calls handled,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,5,METRIC-0004,synthetic-demo,55ce4642d8de7d70c4a9d33c4814be3e22ec9f0598b15443e9082dc2c3d2e10a,enriched_dense_synthetic_generation_2026_07,none,MET-c01fdc26d2,UNDECLARED,UNDECLARED,,5.8,FY2026 Q3,,measured,"Attribution method agreed in writing, or an explicit shared-claim decision",Portfolio Owner,pending_attestation,Benefit is real but not separable from two other concurrent changes in the same process.,"Agree an attribution method, or accept a shared claim across the three changes.",FY2027 Q2
skyharbor-air,First Contact Resolution (FCR),operational,Customer Experience & Contact Center,Percentage of contacts resolved on first interaction,68%,FY26 Q2,76% by FY27 Q4,VP Customer Experience,Salesforce Service Cloud,First-contact-resolved cases / total cases,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,6,METRIC-0005,synthetic-demo,a62013b1718135cdd3d3697516bea900a5e6fecba1a8e81b8d0dc8ff139943a5,enriched_dense_synthetic_generation_2026_07,none,MET-4412a58d60,UNDECLARED,UNDECLARED,,32075,FY2026 Q3,,measured,"Two consecutive periods at or better than baseline quality, alongside the outcome",Risk / Quality Owner,pending_attestation,Measured improvement has not yet cleared the quality guardrail; error rates rose alongside it.,Hold the claim until quality returns to baseline for two consecutive periods.,FY2027 Q1
skyharbor-air,Contact Center Self-Service Deflection Rate,operational,Customer Experience & Contact Center,Percentage of contacts resolved by the virtual assistant without agent escalation,22%,FY26 Q2,35% by FY27 Q4,VP Customer Experience,Virtual Assistant / Chatbot,Deflected sessions / total virtual assistant sessions,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,7,METRIC-0006,synthetic-demo,d76233af0c6fbb3c65640510f8ee19bd898da4d35d1309a3cc4d1a17c7a0eb89,enriched_dense_synthetic_generation_2026_07,none,MET-4dbbbae0c7,UNDECLARED,UNDECLARED,,,,,baseline_only,Finance-signed cohort definition plus a restated baseline on the same population,Finance Business Partner,not_ready,Finance will not attest until the comparison cohort is agreed; the current baseline mixes populations.,Agree the cohort definition with Finance and restate the baseline on that basis.,FY2027 Q2
skyharbor-air,AOG (Aircraft on Ground) Event Rate,operational,Maintenance & Engineering (MRO),"Unscheduled AOG events per 1,000 departures",1.9,FY26 Q2,1.3 by FY27 Q4,SVP Technical Operations,TRAX Reliability; MRO Predictive Maintenance Models (Databricks),"AOG events / 1,000 departures",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,8,METRIC-0007,synthetic-demo,b83563c9967949b358373553651b63474f1e998b4b2292f17cd4350d8e9918e6,enriched_dense_synthetic_generation_2026_07,none,MET-7c83a631fe,UNDECLARED,UNDECLARED,,1.5,FY2026 Q3,,measured,"System-generated report from the owning platform, reconciled to the operational ledger",Business Metric Owner,pending_attestation,"Instrumentation for this metric was never funded, so no post-change measurement exists.",Fund and deploy measurement in the owning system; agree the reporting cadence.,FY2027 Q1
skyharbor-air,MRO Predictive Model Precision,ai_value,Maintenance & Engineering (MRO),Precision of high-confidence predictive maintenance alerts,0.71,FY26 Q2,0.82 by FY27 Q4,SVP Technical Operations,MRO Predictive Maintenance Models (Databricks),True positive alerts / total high-confidence alerts,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,9,METRIC-0008,synthetic-demo,3271badacd67cdb683408fc120d212c165c9dd0bbda53d6e3484c5e1acfdd1f6,enriched_dense_synthetic_generation_2026_07,none,MET-6c8ed7a895,UNDECLARED,UNDECLARED,,0.8,FY2026 Q3,,measured,Finance-signed cohort definition plus a restated baseline on the same population,Finance Business Partner,pending_attestation,Finance will not attest until the comparison cohort is agreed; the current baseline mixes populations.,Agree the cohort definition with Finance and restate the baseline on that basis.,FY2027 Q2
skyharbor-air,Revenue Management Forecast Accuracy,commercial,Revenue Management & Pricing,O&D demand forecast accuracy (MAPE),13.2%,FY26 Q2,10.5% by FY27 Q4,VP Revenue Management,PROS O&D Forecasting,Mean absolute percentage error of booking curve forecasts,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,10,METRIC-0009,synthetic-demo,827a79c1f5f615b62f022be58a96faa7c6b33cde76fa26ce520aec8876d5752d,enriched_dense_synthetic_generation_2026_07,none,MET-3c46f02073,cargo;loyalty;mainline;regional,front;middle,3,,,,baseline_only,"Two consecutive periods at or better than baseline quality, alongside the outcome",Risk / Quality Owner,not_ready,Measured improvement has not yet cleared the quality guardrail; error rates rose alongside it.,Hold the claim until quality returns to baseline for two consecutive periods.,FY2027 Q1
skyharbor-air,Ancillary Revenue per Passenger,commercial,Revenue Management & Pricing,Average ancillary revenue per enplaned passenger,$34.20,FY26 Q2,$39.00 by FY27 Q4,VP Revenue Management,Ancillary Revenue Tracking,Ancillary revenue / enplaned passengers,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,universal-standard-v3,11,METRIC-0010,synthetic-demo,f5a274ed916bb9df34c36d8a1f153bc48df1c93f8c2fb9233547bdf50748558c,enriched_dense_synthetic_generation_2026_07,none,MET-ae9151296b,UNDECLARED,UNDECLARED,,37.2,FY2026 Q3,,measured,"Attribution method agreed in writing, or an explicit shared-claim decision",Portfolio Owner,pending_attestation,Benefit is real but not separable from two other concurrent changes in the same process.,"Agree an attribution method, or accept a shared claim across the three changes.",FY2027 Q2
