tenant_key,source_record_id,ai_program_id,ai_use_case_id,stakeholder_role,interview_track,question,answer_summary,what_is_working,what_is_not_working,current_baseline,target_or_promise,evidence_request,follow_up_artifact_needed,decision_pressure,named_owner,confidence,evidence_id,interview_date,interview_format,interview_duration_minutes,verbatim_quote,consent_to_attribute,corroboration_count,corroboration_status,sentiment,contradicts_record,theme_tags,evidence_staleness_days
skyharbor-air,SA10-0001,,,CEO,challenges,What is the single biggest constraint on your team's throughput right now?,I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.,,I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.,Not separately measured,,contract copy,no,board review,CEO,high,EV-SKY-0001,2026-04-09,one_to_one,90,"""I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.""",role_only,5,corroborated_multi_source,negative,no_conflict_identified,unheard_risk,130
skyharbor-air,SA10-0002,,,CEO,challenges,What keeps you awake that the executive team does not fully appreciate?,I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.,,I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.,Not separately measured,,system report,no,next budget cycle,CEO,high,EV-SKY-0002,2026-04-09,one_to_one,90,"""I have raised the Corporate Strategy & M&A Integration single point of failure in three consecutive planning cycles. It has never made the funded list.""",role_only,5,corroborated_multi_source,negative,no_conflict_identified,unheard_risk,130
skyharbor-air,SA10-0003,,,CEO,portfolio,"Which initiative is most at risk, and what is the honest reason?",We approved Infrastructure & Cloud Modernization Program with a benefit number and nobody has been back to check whether it landed.,,We approved Infrastructure & Cloud Modernization Program with a benefit number and nobody has been back to check whether it landed.,Not separately measured,,audit finding record,no,board review,CEO,high,EV-SKY-0003,2026-04-09,one_to_one,90,"""We approved Infrastructure & Cloud Modernization Program with a benefit number and nobody has been back to check whether it landed.""",role_only,25,corroborated_multi_source,negative,yes_conflicts_with_system_data,value_realisation,130
skyharbor-air,SA10-0004,,,CEO,ways_of_working,What have you stopped escalating because it never gets resolved?,A decision needing three functions takes a quarter. Most people have learned to avoid needing one.,,A decision needing three functions takes a quarter. Most people have learned to avoid needing one.,Not separately measured,,audit finding record,no,next budget cycle,CEO,medium,EV-SKY-0004,2026-04-09,one_to_one,90,"""A decision needing three functions takes a quarter. Most people have learned to avoid needing one.""",role_only,9,corroborated_multi_source,negative,no_conflict_identified,decision_latency,130
skyharbor-air,SA10-0005,,,CEO,challenges,"Where does effort leak — work that gets done twice, or done manually that should not be?",Reconciling Corporate Strategy & M&A Integration data between Teradata Enterprise Warehouse — Loyalty Legacy Subject Area and the ledger is manual and takes days at every close.,,Reconciling Corporate Strategy & M&A Integration data between Teradata Enterprise Warehouse — Loyalty Legacy Subject Area and the ledger is manual and takes days at every close.,Not separately measured,,system report,yes,board review,CEO,medium,EV-SKY-0005,2026-04-09,one_to_one,90,"""Reconciling Corporate Strategy & M&A Integration data between Teradata Enterprise Warehouse — Loyalty Legacy Subject Area and the ledger is manual and takes days at every close.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,manual_effort,130
skyharbor-air,SA10-0006,,,CEO,data_ai,"Where do you not trust the numbers, and what do you do instead?",I do not trust the Corporate Strategy & M&A Integration numbers without checking them against the source. Most of my team keeps their own extract.,,I do not trust the Corporate Strategy & M&A Integration numbers without checking them against the source. Most of my team keeps their own extract.,Not separately measured,,cost centre breakdown,no,none stated,CEO,medium,EV-SKY-0006,2026-04-09,one_to_one,90,"""I do not trust the Corporate Strategy & M&A Integration numbers without checking them against the source. Most of my team keeps their own extract.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,data_trust,130
skyharbor-air,SA10-0007,,,CEO,ways_of_working,How long does it take to get a decision that needs three functions to agree?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,cost centre breakdown,yes,next budget cycle,CEO,medium,EV-SKY-0007,2026-04-09,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,governance_friction,130
skyharbor-air,SA10-0008,,,CEO,risk,Which risk are you carrying that is accepted rather than mitigated?,The Corporate Strategy & M&A Integration recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.,,The Corporate Strategy & M&A Integration recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.,Not separately measured,,contract copy,no,board review,CEO,medium,EV-SKY-0008,2026-04-09,one_to_one,90,"""The Corporate Strategy & M&A Integration recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.""",role_only,18,corroborated_multi_source,negative,no_conflict_identified,accepted_risk,130
skyharbor-air,SA10-0009,,,CEO,priorities,What would you need to be true in eighteen months to consider this period a success?,"Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.",,,Not separately measured,,contract copy,no,none stated,CEO,high,EV-SKY-0009,2026-04-09,one_to_one,90,"""Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.""",role_only,25,corroborated_multi_source,neutral,yes_conflicts_with_system_data,investment_priority,130
skyharbor-air,SA10-0010,,,CEO,challenges,Which problem have you raised more than once without it moving?,Reconciling Corporate Strategy & M&A Integration data between Fuel Hedging & Trading System and the ledger is manual and takes days at every close.,,Reconciling Corporate Strategy & M&A Integration data between Fuel Hedging & Trading System and the ledger is manual and takes days at every close.,Not separately measured,,contract copy,no,contract renewal,CEO,medium,EV-SKY-0010,2026-04-09,one_to_one,90,"""Reconciling Corporate Strategy & M&A Integration data between Fuel Hedging & Trading System and the ledger is manual and takes days at every close.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,manual_effort,130
