tenant_key,use_case_name,business_function,process_area,ai_pattern,current_status,value_hypothesis,required_data,required_systems,human_approval_points,risk_controls,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,use_case_id
skyharbor-air,IROPS AI Recovery Cockpit,Flight Operations,Disruption recovery scenario generation,decision_support_recommendation,pilot_single_hub,"Faster, higher-quality recovery scenarios reduce passenger rebooking time and crew/aircraft reassignment cost",Disruption event data; crew legality data; aircraft position data,IROPS Recovery Cockpit; AIMS Crew Pairing & Rostering; Databricks — Ops AI Workspace,Duty manager approves every recommended recovery scenario before execution,Human-in-the-loop approval required; no autonomous execution; audit log of accepted/rejected recommendations,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,2,AIUC-0001,synthetic-demo,3159e9958a65e6eb31a67a8cce08c5d3adde5a361543c9a4790ca4fe463adda5,enriched_dense_synthetic_generation_2026_07,none,UC-4581f4a85d
skyharbor-air,MRO Predictive Maintenance,Maintenance & Engineering (MRO),Component failure prediction,predictive_model,production_partial_fleet,Earlier detection of component failure risk reduces unscheduled AOG events,Engine/APU telemetry; component reliability history,MRO Predictive Maintenance Models (Databricks); TRAX Reliability; Engine Health Monitoring Feeds,MRO reliability engineer reviews every high-confidence prediction before a work order is raised,Manual model-output review; quarterly drift review (moving toward automated monitoring),/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,3,AIUC-0002,synthetic-demo,96cb84f19db8be67a6f372a65e3125792fbfe7d7565a969af94e648db3b3d0aa,enriched_dense_synthetic_generation_2026_07,none,UC-f935a754a1
skyharbor-air,Virtual Assistant Self-Service Expansion,Customer Experience & Contact Center,Customer self-service,genai_conversational,production_limited_intents,Expanding self-service intents beyond FAQ/status-check reduces contact center call volume,Chat transcripts; booking status data; case history,Virtual Assistant / Chatbot; Salesforce Service Cloud; Enterprise GenAI Gateway (Claude),Escalation to a live agent for any intent outside the approved governed set,Governed intent allowlist; escalation-rate monitoring; no autonomous refund/compensation issuance,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,4,AIUC-0003,synthetic-demo,43c4f65641b7a48a95a5aa842c2a34935d8cef250c2594a5fa9dacac77e10a32,enriched_dense_synthetic_generation_2026_07,none,UC-6d460dc34f
skyharbor-air,Crew and Station Productivity Copilot,Crew Operations,Knowledge-worker productivity,genai_productivity_copilot,pilot_day1_telemetry,Reduce knowledge-worker time to draft/review crew and station communications and reports,Microsoft 365 usage telemetry,Microsoft 365 Copilot; CrewPortal Self-Service Mobile App,No approval point; usage-based adoption tracked against a 60% weekly-active target,Usage and KPI movement must be finance-validated before value is claimed to Tower,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,5,AIUC-0004,synthetic-demo,795f101400fbf59d1b2e9202e831f6f2171e5e5ca789e7111c1c07683a84f8b1,enriched_dense_synthetic_generation_2026_07,none,UC-781f05313f
skyharbor-air,Revenue Management Demand Forecasting AI,Revenue Management & Pricing,O&D demand forecasting,predictive_model,production_enterprise_wide,Improved forecast accuracy increases network revenue optimization yield,Historical booking curves; competitor fare data,PROS O&D Forecasting; Competitor Fare Monitoring Tool,Revenue management analyst reviews forecast overrides above a materiality threshold,Forecast override audit trail; quarterly model accuracy review,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,6,AIUC-0005,synthetic-demo,d8c8499ab38799fde274fa13ed7864ca9149572e126eb2a240e780cfdd2b2e2a,enriched_dense_synthetic_generation_2026_07,none,UC-247e010baf
skyharbor-air,Loyalty Personalization AI,Loyalty & Customer Marketing,Member personalization,predictive_model,target_state_pending_cdp,Real-time personalization signals increase loyalty campaign engagement and redemption rate,Unified member profile; personalization signal data,Member Data Platform (CDP); Salesforce Marketing Cloud (Loyalty Campaigns),Marketing ops reviews new personalization segments before campaign activation,Segment-level bias review; opt-out compliance controls,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,7,AIUC-0006,synthetic-demo,a1d4512bf8121ba774262bb7a0c00e6dc039140aff2079f009cba00b5cd359d4,enriched_dense_synthetic_generation_2026_07,none,UC-ae1ba93af4
skyharbor-air,Contact Center Workforce Forecasting AI,Customer Experience & Contact Center,Workforce planning,predictive_model,production_partial,Feeding real-time IROPS disruption volume into forecasting improves schedule accuracy during disruptions,Historical contact volume; real-time disruption event feed,Genesys WFM (Workforce Management); IROPS Recovery Cockpit,Workforce planner approves schedule changes generated from forecast updates,Forecast-to-actual variance monitoring,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,8,AIUC-0007,synthetic-demo,2d70ad61e816db25a00458e490b288f7d3edc37187892e71fd3f6a3f7c9760a8,enriched_dense_synthetic_generation_2026_07,none,UC-24c2f46b54
skyharbor-air,Cargo Capacity Allocation AI,Cargo & Logistics,Regional belly cargo capacity planning,optimization_model,planned_not_started,Automated capacity allocation reduces regional belly-cargo overbooking incidents,Flight schedule; historical cargo booking patterns,iCargo Booking & Management; Regional Belly Cargo Capacity Spreadsheet,Cargo ops agent approves allocation changes above a load-factor threshold,Overbooking exception alerting,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,9,AIUC-0008,synthetic-demo,1faa14d1c45eb15a22732d59620ddbe5b441e627271ce72eec4871b7587b444b,enriched_dense_synthetic_generation_2026_07,none,UC-39e063f397
skyharbor-air,Safety Report NLP Triage,Safety & Security,Voluntary safety report triage,genai_classification,pilot,NLP-assisted triage reduces the time to route ASAP/voluntary safety reports to the right reviewer,Voluntary safety report text; historical triage classifications,Safety Management System (SMS) / ASAP Case Platform; Enterprise GenAI Gateway (Claude),Safety analyst confirms every AI-suggested triage classification before case routing,No autonomous case closure; classification accuracy tracked against analyst overrides,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,10,AIUC-0009,synthetic-demo,0e185195828fb6cf45191a78903ae2a1a359cf872a135dd0ffeb1a75c7c359d9,enriched_dense_synthetic_generation_2026_07,none,UC-dc22e655f0
skyharbor-air,Vulnerability Prioritization AI,Cybersecurity & IT Risk,Vulnerability remediation prioritization,predictive_model,pilot,Risk-based prioritization of vulnerability scan findings reduces mean time to remediate for the highest-risk findings,Vulnerability scan results; asset criticality data; threat intelligence feeds,Vulnerability Management Platform; ServiceNow CMDB,SOC analyst approves the prioritized remediation queue weekly,Prioritization logic subject to quarterly SOC review,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,universal-standard-v3,11,AIUC-0010,synthetic-demo,d64c9f2fd655d42016df0be6c1e61edde564ee500407eedfb73a83bf16a74433,enriched_dense_synthetic_generation_2026_07,none,UC-83cef22615
