tenant_key,risk_or_control_name,risk_domain,business_function,systems_impacted,severity,likelihood,control_owner,control_status,evidence_required,mitigation_plan,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,risk_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops,inherent_risk_score,residual_risk_score,last_tested_date,remediation_cost_usd,regulatory_driver
skyharbor-air,Standing privileged credentials outside PAM coverage,cybersecurity,Cybersecurity & IT Risk,CyberArk PAM; tier-1 systems not yet onboarded,high,medium,CISO,open,PAM coverage report showing tier-1 system enrollment percentage,Complete CyberArk PAM rollout to 100% of tier-1 systems by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,2,RISK-0001,synthetic-demo,f30c361c946982e755c6c7acf0499a0a017c48fc9efe4e949a92098260a423c0,enriched_dense_synthetic_generation_2026_07,none,RSK-a444d59fab,enterprise,back,2,12,9,,392000,no
skyharbor-air,Legacy PureConnect sites lack unified agent desktop,operational,Customer Experience & Contact Center,Genesys PureConnect (legacy — 2 international sites),medium,high,VP Customer Experience,open,Migration completion evidence for both international sites,Complete PureConnect-to-Genesys Cloud CX migration by Q2 FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,3,RISK-0002,synthetic-demo,473f20e766fae4a03e6dd23fae4f6f9955f8710df9b35b068c56490f21585265,enriched_dense_synthetic_generation_2026_07,none,RSK-6223e1ef03,loyalty;mainline;regional,front,2,9,8,,112000,no
skyharbor-air,Mainframe skills concentration risk,operational,Information Technology & Digital,CA-7 Mainframe Batch Scheduler; IBM z16 Mainframe LPAR — PROD1,high,medium,Director Mainframe & Legacy Platforms,open,Internal COBOL/CICS staffing bench headcount trend,Expand IBM Global Services staff augmentation and build an internal mainframe skills pipeline,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,4,RISK-0003,synthetic-demo,9e391277d655da3ae8ae96d6f58b3f9f6bf96ab64bdddb5dec1c41ddf5cd69df,enriched_dense_synthetic_generation_2026_07,none,RSK-ba38351a63,enterprise,back,2,12,11,,211000,no
skyharbor-air,Meridian Regional legacy systems unreconciled with mainline,integration,Corporate Strategy & M&A Integration,Meridian Legacy Sabre DCS; Meridian Legacy Reservations; Meridian Legacy Crew Scheduler; Meridian Legacy Finance System,high,high,Regional CIO — Meridian Regional Integration,open,Meridian Regional Technology Integration Program status report,Complete Meridian systems cutover per the integration program roadmap by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,5,RISK-0004,synthetic-demo,1cababe5edbbe0db9e5a47c7e8bc655a0c4c4397a5fe14f44f71845d87778ae2,enriched_dense_synthetic_generation_2026_07,none,RSK-b975debea5,cargo;enterprise;mainline;regional,back;middle,2,12,10,,279000,no
skyharbor-air,Data catalog coverage below governance target,data_governance,"Data, Analytics & AI",Collibra Data Catalog,medium,high,Chief Data & Analytics Officer,open,Catalog coverage percentage of production data assets,Execute the Data Catalog Coverage Expansion program to exceed 80% coverage,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,6,RISK-0005,synthetic-demo,420b5ac246df62e32a09bb23c5dd9588c4785428512ea623f4b8cb71a36af6a0,enriched_dense_synthetic_generation_2026_07,none,RSK-71151f0c99,enterprise;loyalty;mainline;mro;regional,back;front;middle,2,9,8,,234000,no
skyharbor-air,Aircraft lease accounting still spreadsheet-based,financial_controls,Finance & Accounting,SAP S/4HANA — Fixed Assets; LeaseAccelerator (Aircraft Lease Accounting),medium,medium,CFO,open,LeaseAccelerator go-live and data migration validation evidence,Complete LeaseAccelerator rollout and retire the spreadsheet-based capitalization model,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,7,RISK-0006,synthetic-demo,9cd4e80c0fc26793e4678c312ddd48c386c1eb93eb14e132605c1417c95c7430,enriched_dense_synthetic_generation_2026_07,none,RSK-97eca4688e,cargo;enterprise;mainline;regional,back;front;middle,2,9,8,,122000,no
skyharbor-air,Regional belly cargo capacity allocated manually,operational,Cargo & Logistics,Regional Belly Cargo Capacity Spreadsheet,medium,high,VP Cargo,open,Overbooking incident log for regional belly cargo,Migrate regional belly cargo onto iCargo Lite by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,8,RISK-0007,synthetic-demo,13486bf0650351c16a6e08b1175665d41abd24b2d2156744b3ec7ea45a48f86b,enriched_dense_synthetic_generation_2026_07,none,RSK-c786437e3d,cargo;mainline;regional,middle,2,9,7,,237000,no
skyharbor-air,Three unconsolidated badge/access-control platforms,physical_security,Safety & Security,Corporate Security Badge/Access Control — Platform A; Platform B; Platform C,medium,high,Chief Safety & Security Officer,open,Badge provisioning cycle-time report across all three platforms,Consolidate onto a single enterprise badge/access-control platform by FY28,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,9,RISK-0008,synthetic-demo,25c3f75475fcd2038195bd5e183d255ccdf2536f5c5d95b8da6b3aae04c5fd5c,enriched_dense_synthetic_generation_2026_07,none,RSK-e1230ee0d1,cargo;enterprise;mainline;regional,back;middle,2,9,7,,155000,no
skyharbor-air,Legacy tech records not fully digitized for widebody fleet,compliance,Maintenance & Engineering (MRO),Tech Records Digital Archive; TRAX Engineering Records,medium,medium,SVP Technical Operations,open,Digitization completion percentage for 767/757 tech records,Complete the Tech Records Digitization program by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,10,RISK-0009,synthetic-demo,677ffa417d427452e15047ce9d74d4147a17051a72afcf7d2d54ba7876246b6c,enriched_dense_synthetic_generation_2026_07,none,RSK-6404cd836a,mainline;mro;regional,middle,2,9,7,,231000,no
skyharbor-air,Model drift monitoring for MRO predictive models is manual,ai_governance,"Data, Analytics & AI",MRO Predictive Maintenance Models (Databricks),medium,low,Chief Data & Analytics Officer,open,Model monitoring automation implementation evidence,Automate model drift monitoring per the MRO Predictive Model Monitoring Automation program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,11,RISK-0010,synthetic-demo,4f2ab157cbb3e5bf45c46d10852a9093667784d9306e31b58fe7926a9bcf0f2a,enriched_dense_synthetic_generation_2026_07,none,RSK-38d2963aed,enterprise;mainline;mro;regional,back;middle,2,9,7,,295000,no
