tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,workforce_role_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,Airline Pilot (Captain/First Officer),Flight Operations,6800,distributed_crew_base,union_employee,no,Type-rated flight crew; CRM; FAR121 currency,EFB content sync failures on layover wifi; duplicate weather briefings across two tools,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,2,WF-0001,synthetic-demo,3814c95377bc44e337671c1a72a1b5e4660eb22afb77bef9570fdfd32f0f15a2,enriched_dense_synthetic_generation_2026_07,none,WFR-96be71f2c1,UNDECLARED,UNDECLARED,
skyharbor-air,Flight Dispatcher,Flight Operations,210,centralized_ops_center,employee,no,FAA dispatcher certification; fuel/weather/route planning; IROPS coordination,Manual cross-check between JetPlan output and mainframe flight-following data during irregular operations,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,3,WF-0002,synthetic-demo,f7f0bb9d1b6f9b21f7f2dde7c8da28d90fa5f33badf3598ce5c9a9c0587c2c17,enriched_dense_synthetic_generation_2026_07,none,WFR-cbeb0b4dd7,UNDECLARED,UNDECLARED,
skyharbor-air,Flight Attendant,Crew Operations,9200,distributed_crew_base,union_employee,no,Inflight safety and service certification; CRM,CrewPortal mobile app crashes during high-volume irregular-ops rebooking windows,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,4,WF-0003,synthetic-demo,669b94bb32bf1f635202bd4427c9d1b5b498aaa51ede7fb2a7613029e0d328ca,enriched_dense_synthetic_generation_2026_07,none,WFR-39f443ae60,UNDECLARED,UNDECLARED,
skyharbor-air,Crew Scheduler,Crew Operations,165,centralized_ops_center,employee,no,AIMS crew system expertise; FAR117 legality rules; union contract rules engine,Meridian Regional crew still requires manual reconciliation against mainline AIMS during joint IROPS events,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,5,WF-0004,synthetic-demo,c49c8ffa6d7c71ce13d30bdcf562222ff4e4edb4c3471904acd79b8b9405c2b8,enriched_dense_synthetic_generation_2026_07,none,WFR-6a19879397,UNDECLARED,UNDECLARED,
skyharbor-air,Crew Training Records Specialist,Crew Operations,45,centralized_ops_center,employee,no,LMS administration; FAA recurrent training compliance tracking,Training completion data lags AIMS crew-legality checks by up to 24 hours,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,6,WF-0005,synthetic-demo,78583d52d2b274e7452e9879b9823a43aab7fc31dd8c593124e72ae6910fe116,enriched_dense_synthetic_generation_2026_07,none,WFR-a45e98f468,UNDECLARED,UNDECLARED,
skyharbor-air,Aircraft Maintenance Technician (A&P),Maintenance & Engineering (MRO),4100,station_based,union_employee,no,Airframe and powerplant certification; TRAX work-order execution,Tech records for legacy 767 tails still require manual paper-to-digital lookup,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,7,WF-0006,synthetic-demo,dd1c5ab1d03b60c4a211c2f434f38ff47c0500d2d93fdf76b218f628dd7145cc,enriched_dense_synthetic_generation_2026_07,none,WFR-e295a1d72b,UNDECLARED,UNDECLARED,
skyharbor-air,MRO Planner / Reliability Engineer,Maintenance & Engineering (MRO),260,centralized_ops_center,employee,no,TRAX reliability module; engine health monitoring data interpretation,Engine OEM data feeds arrive in three different formats requiring manual normalization before reliability analysis,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,8,WF-0007,synthetic-demo,63c94666655d21216248ad1465f8e053ee7c5f53c71f8fc9518d06aae4522b5b,enriched_dense_synthetic_generation_2026_07,none,WFR-ef0cd80523,UNDECLARED,UNDECLARED,
skyharbor-air,Parts / Rotables Inventory Specialist,Maintenance & Engineering (MRO),190,station_based,employee,no,TRAX inventory module; parts traceability documentation,Cross-station parts availability visibility is delayed by up to 4 hours due to batch inventory sync,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,9,WF-0008,synthetic-demo,dfca182f6248b2913ed330f499474564f8ccae745baf7823d75758311de59dc0,enriched_dense_synthetic_generation_2026_07,none,WFR-7935c5c358,UNDECLARED,UNDECLARED,
skyharbor-air,Revenue Management Analyst,Revenue Management & Pricing,95,centralized_ops_center,employee,no,PROS RM suite; O&D forecasting statistics,Offer/order migration means analysts must check two systems for a subset of markets during cutover,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,10,WF-0009,synthetic-demo,2942d5f6efad7f13deea4baaafc3784494ccdf519d3421ebbc1b16ef1575d311,enriched_dense_synthetic_generation_2026_07,none,WFR-fdf132739d,UNDECLARED,UNDECLARED,
skyharbor-air,Network Planning Analyst,Network Planning & Scheduling,40,centralized_ops_center,employee,no,Schedule construction tools; fleet assignment optimization modeling,Slot coordination for LHR/JFK/DCA still requires manual cross-check against regulator portals,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,11,WF-0010,synthetic-demo,f5d71b0a4b5d10da1b31b4bf7cac18a7c4ce2ef46e0a32b43ef20bed20ad9a70,enriched_dense_synthetic_generation_2026_07,none,WFR-f9a024921c,UNDECLARED,UNDECLARED,
