tenant_key,interview_mention_text,mention_field,canonical_object_type,canonical_object_name,match_confidence,match_rationale
skyharbor-air,IROPS Recovery Copilot,initiative_link,tower_initiative,IROPS Agentic Recovery Cockpit,high,"Both describe the same flagship AI-assisted irregular-operations recovery capability (agent/copilot framing for the same disruption-recovery decisioning tool); interview content (CEO weekly check-ins, station-by-station autonomy earn-in) matches T01 SHA-INIT-001's scope and pilot stage."
skyharbor-air,Data Governance & Lineage Program,initiative_link,no_canonical_match,,high,"Interview mentions describe a broad cross-functional program spanning decision-rights arbitration, data stewardship, PII-flow cataloging, and lineage reconciliation across DCS/crew/finance; no single canonical program or T01 initiative covers that full scope (closest partial overlaps are program 'Data Catalog Coverage Expansion' and T01 'Data lake ingestion and lineage modernization', but each is narrower than the program described)."
skyharbor-air,Crew Scheduling Optimization,initiative_link,tower_initiative,Crew Recovery Optimization,medium,"Interview content (reserve-crew shortfalls, pairing recovery, nightly batch lag into an active pilot) matches this initiative's pilot stage and 'crew contract logic and explainability' blocker; medium confidence because T01 also carries a similarly-named but earlier-stage 'Crew recovery and legality modernization' (business_case stage) that is a plausible but less-fitting alternative."
skyharbor-air,DCS Mainframe Exit Program,initiative_link,program,Meridian Regional Technology Integration Program,medium,"Interview describes consolidating duplicate departure-control-system and crew-scheduling instances left over from prior fleet integrations and exiting them off mainframe, which matches this program's scope (cutting over Meridian Legacy Sabre DCS and Meridian Legacy Crew Scheduler onto mainline platforms); medium confidence because the interview's 'two prior fleet integrations' phrasing suggests the scope may extend beyond Meridian alone."
skyharbor-air,Procurement & Vendor Intelligence,initiative_link,no_canonical_match,,high,"Interview mentions describe a vendor-risk/concentration analytics capability spanning GDS contract renewal modeling, vendor concentration ratios, and procurement pre-selection review; no program or T01 initiative in the canonical lists addresses vendor-risk intelligence (the nearest name, 'SAP finance close and procurement modernization', is about ERP close-cycle and procurement process automation, a different real-world initiative)."
skyharbor-air,Passenger Rebooking Personalization,initiative_link,tower_initiative,Digital concierge and journey orchestration modernization,high,"Same real-world passenger-facing AI journey/rebooking recommendation initiative despite no shared vocabulary between the two names; interview content (AI-recommended rebooking, DOT passenger-rights review gating customer-facing AI actions) matches this initiative's conversational/customer-experience AI scope and business sponsor (SVP Ops Technology / Chief Strategy Officer)."
skyharbor-air,Airport Turnaround Performance Program,initiative_link,tower_initiative,Airport turn management modernization,high,"Matching name pattern ('turnaround' / 'turn management') and matching business area (Airport Operations); interview content (ground-time savings, ops-control/station reconciliation, planning-vs-runtime AI caution) matches this initiative's scope."
skyharbor-air,Finance & Spend Transparency Program,initiative_link,no_canonical_match,,high,"Interview mentions describe IT/vendor spend traceability to project (invoices coding to general-ledger buckets instead of projects) and finance co-ownership of AI value cases; no program or T01 initiative in the canonical lists covers spend-transparency/cost-traceability (the nearest name, 'SAP finance close and procurement modernization', is about close-cycle time and procurement process, a different concern)."
skyharbor-air,Snowflake Analytics Migration,initiative_link,program,Teradata to Snowflake Migration Program,high,"Interview explicitly frames this as 'getting off Teradata eventually' and being on the critical path for dependent AI initiatives, matching this program's objective of migrating finance and crew/ops subject areas off Teradata onto Snowflake."
skyharbor-air,Flight operations knowledge assistant,initiative_link,program,Crew and Station Productivity Copilot,high,"Interview language ('utilization by role and by hub', training-completion vs. actual-usage gap) closely mirrors this program's stated target outcome ('increase active weekly Copilot usage... among enabled crew/station users') and known risk ('usage remains well below the 60% adoption target'), confirming the same Microsoft 365 Copilot-based knowledge-worker initiative."
skyharbor-air,Baggage Visibility & Recovery,initiative_link,tower_initiative,Baggage tracking and recovery modernization,high,"Strong name/theme overlap ('visibility'/'tracking', 'recovery'/'recovery') and matching business area (Airport Operations); interview content (outstation scan-coverage gap, late-arriving pipeline data) matches this initiative's data-quality-limited baggage tracking scope."
skyharbor-air,Maintenance Predictive Analytics Foundation,initiative_link,tower_initiative,MRO Predictive Maintenance Agent,low,"Interview mentions are about the underlying MRO data foundation (aircraft-on-ground data quality, tail-number system-of-record conflicts, MRO asset-ID mismatches) that predictive maintenance work depends on; this plausibly refers to the same real-world MRO predictive maintenance workstream as SHA-INIT-008, but T01 also carries a near-duplicate 'MRO predictive maintenance modernization' (SHA-INIT-105) and a separate program 'MRO Predictive Model Monitoring Automation', so a single confident pick is not possible."
skyharbor-air,Identity & Access Modernization,initiative_link,no_canonical_match,,high,"Interview mentions describe consolidating workforce identity/SSO across PSS, crew-scheduling, and contact-center systems to replace six inherited credential stores; this is distinct from both 'Corporate Badge / Access Control Consolidation' (physical badge/access control) and 'CyberArk PAM Full Coverage Rollout' (privileged/service-account access management), and no canonical item covers general workforce identity consolidation."
skyharbor-air,Cloud Landing Zone Program,initiative_link,no_canonical_match,,high,"Interview mentions describe the Azure landing zone build-out, dual-running costs during cloud migration, and platform-engineering ownership model; no program or T01 initiative in the canonical lists covers general cloud infrastructure/landing-zone migration (the closest name, 'Cloud-native digital engineering modernization', is about engineering practices, not infrastructure landing zones)."
skyharbor-air,Loyalty Platform Modernization,initiative_link,tower_initiative,Loyalty personalization modernization,medium,"Interview content (personalization layer driving retention, historical PII footprint, dashboard proliferation) matches the loyalty-personalization theme of SHA-INIT-108; medium confidence because program 'Member Data Platform (CDP) Cutover' (also loyalty-personalization-decisioning-focused, sponsored by SVP Marketing & Loyalty) is a plausible alternative canonical target."
skyharbor-air,Genesys Contact Center Modernization,initiative_link,program,PureConnect to Genesys Cloud CX Migration,high,"Interview content (contact-center platform migration business case, vendor DPA renewal, delivery-schedule pressure) matches this program's scope of migrating remaining sites off legacy PureConnect onto Genesys Cloud CX; one interview row explicitly separates this platform migration ('technology business case is solid') from the distinct AI-assist layer on top of it, confirming it is not the same as the 'Contact center agent assist' initiative."
skyharbor-air,airline.com booking/ecommerce platform,initiative_link,no_canonical_match,,high,"This is a system/platform reference (also listed under system_or_vendor_mentioned), not a change initiative or program; no program or T01 initiative in the canonical lists is a direct-channel ecommerce platform modernization effort."
skyharbor-air,Contact center agent assist,initiative_link,tower_initiative,Contact Center Agent Assist,high,"Near-exact name match (capitalization only); interview content (agent trust in AI suggestions, handle-time impact during IROPS spikes) matches T01 SHA-INIT-009's scope and blockers (service recovery policy and voucher controls)."
skyharbor-air,Revenue Management Modernization,initiative_link,tower_initiative,Revenue management and pricing modernization,high,"Near-identical name and matching scope: interview describes replacing stale end-of-day pricing forecasts with live network-state data and a scenario-planning layer, which is squarely revenue-management/pricing modernization (SHA-INIT-106)."
skyharbor-air,irregular-ops recovery time,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,decision-approval cycle time,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,reserve-crew shortfall cost baseline,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,IROPS day total cost,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,number of duplicate system instances,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,GDS distribution cost as % of booking revenue,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,governance decision throughput,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,human-override rate during pilot,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,DOT complaint rate tied to automated recommendations,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,ground-time variance,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,recovery time vs. historical baseline,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,on-time performance (OTP) recovery time,metric_mentioned,metric,On-Time Performance (D0),low,"Uses the same 'on-time performance' terminology as the canonical D0 metric, but describes a different computation (speed of OTP recovery after a disruption) rather than the canonical percentage-of-flights-on-time definition, so the link is plausible but not confidently the same measurement."
skyharbor-air,capital allocation coverage rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
