tenant_key,process_name,business_function,process_owner,systems_used,volume_metric,cycle_time,pain_points,control_points,automation_candidate,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,transaction_volume,error_rate_pct,rework_pct,automation_pct,cost_per_transaction
skyharbor-air,Flight Dispatch Release Process,Flight Operations,Flight Dispatcher,JetPlan Flight Planning; Weather & NOTAM Briefing Service; Mainframe Flight Following (legacy),"~2,400 dispatch releases/day",12-18 minutes per release,Manual cross-check between JetPlan output and mainframe flight-following data during IROPS,Dispatcher sign-off required before release,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,2,PROC-0001,synthetic-demo,851004f3533377f9232c779963ddc09cfc962687304c762f23a91335a5929f98,enriched_dense_synthetic_generation_2026_07,none,255671,4.4,5.7,25,22.16
skyharbor-air,IROPS Disruption Recovery Process,Flight Operations,Duty Manager,IROPS Recovery Cockpit; AIMS Crew Pairing & Rostering; Genesys WFM (Workforce Management),~40 material disruption events/month,45-90 minutes per event to stabilize,Real-time disruption volume not yet fed into contact center workforce forecasting,Duty manager approves every AI-recommended recovery scenario,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,3,PROC-0002,synthetic-demo,412675cad0fc5de11f4f6fd8f4b536f405dfecd2f77279335aad6aecf9feaec0,enriched_dense_synthetic_generation_2026_07,none,308454,1.4,2.8,38,3.92
skyharbor-air,Crew Pairing & Rostering Process,Crew Operations,Crew Scheduler,AIMS Crew Pairing & Rostering; Crew Legality & FAR117 Tracking,"~980 crew schedulers producing monthly rosters for ~16,000 crew","Monthly cycle, ~10 business days",Meridian Regional crew requires manual reconciliation against mainline AIMS during joint IROPS events,FAR117 legality check required before roster publication,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,4,PROC-0003,synthetic-demo,9ff57715cbc4b06c1a39e5202ff28b70f29ee3f010378e313f79268af8bc3bc8,enriched_dense_synthetic_generation_2026_07,none,826199,4.8,6.9,16,23.13
skyharbor-air,Crew Legality Exception Handling,Crew Operations,Crew Scheduler,Crew Legality & FAR117 Tracking; Fatigue Risk Management System,~3.4% of roster assignments require exception review,Same-day resolution required,Fatigue risk modeling output not always available before the exception decision deadline,Crew scheduler and safety analyst dual sign-off on exceptions,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,5,PROC-0004,synthetic-demo,1fabbfbdabfc4768320dc646252ca7ff2ddb5b6d9556734ab264cf1437d0db6c,enriched_dense_synthetic_generation_2026_07,none,259598,5.2,9.4,32,11.72
skyharbor-air,Line Maintenance Work Order Process,Maintenance & Engineering (MRO),Aircraft Maintenance Technician,TRAX Line Maintenance; Tech Records Digital Archive,"~1,100 work orders/day",Varies by defect severity; deferred items tracked to MEL limits,Legacy 767/757 tech records still require manual paper-to-digital lookup,A&P technician sign-off with QA inspection for critical items,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,6,PROC-0005,synthetic-demo,893b06456ff45c4fac2f93bfc79e9d4a7236c8bdf4bbe14d863e407821f2a03f,enriched_dense_synthetic_generation_2026_07,none,404554,7.1,11.0,20,18.50
skyharbor-air,Component Reliability Review Process,Maintenance & Engineering (MRO),MRO Reliability Engineer,TRAX Reliability; Engine Health Monitoring Feed — GE; Engine Health Monitoring Feed — Rolls-Royce; Engine Health Monitoring Feed — Honeywell,Monthly reliability review across the fleet,5-7 business days per monthly cycle,Engine OEM data feeds arrive in three different formats requiring manual normalization,Reliability engineering board sign-off on trend actions,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,7,PROC-0006,synthetic-demo,83a1702fdc6e61f44a7673ac7f36e23bc18aa43b519bb44fd3c016129273f35e,enriched_dense_synthetic_generation_2026_07,none,392341,3.0,5.5,31,17.28
skyharbor-air,Predictive Maintenance Alert Triage,Maintenance & Engineering (MRO),MRO Reliability Engineer,MRO Predictive Maintenance Models (Databricks); TRAX Reliability,~180 high-confidence alerts/month,Same-day triage target,Model drift monitoring is manual rather than automated,Reliability engineer confirms every alert before work order creation,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,8,PROC-0007,synthetic-demo,2829bca19d24a0757dcc4f13065f31957f734f9c0ae81bf63232fa7102b51ca3,enriched_dense_synthetic_generation_2026_07,none,111859,1.0,1.7,19,13.47
skyharbor-air,O&D Revenue Management Forecast Cycle,Revenue Management & Pricing,Revenue Management Analyst,PROS O&D Forecasting; PROS Network RM,"Daily forecast refresh across ~1,900 O&D markets","Overnight batch, available each morning",Offer/order migration means analysts check two systems for markets mid-cutover,Forecast override requires analyst justification logged,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,9,PROC-0008,synthetic-demo,b3e289d914f40de6ff7b3bd106792a8d543de5314cf4256a29c350b2cbf4e15c,enriched_dense_synthetic_generation_2026_07,none,667676,4.9,9.6,37,11.09
skyharbor-air,Fare Filing Process,Revenue Management & Pricing,Revenue Management Analyst,Fare Filing / ATPCO Interface; PROS Offer & Order Management,"~1,200 fare filing transactions/day","Batch cycle, same-day to next-day effective",Legacy batch interface with ATPCO requires manual reformatting on exception,Pricing committee sign-off on major fare actions,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,10,PROC-0009,synthetic-demo,f83b9a34ec15ad7c1bb0c22f4c35d542e8fb064fa2a8eb98228caac111ce5946,enriched_dense_synthetic_generation_2026_07,none,618881,1.7,2.2,69,8.12
skyharbor-air,Schedule Construction & Fleet Assignment Process,Network Planning & Scheduling,Network Planning Analyst,Lido/NetLine Schedule Planning; Fleet Assignment Optimizer,"Seasonal schedule builds, 4x/year plus ad hoc changes",6-8 week seasonal cycle,Slot coordination for LHR/JFK/DCA requires manual cross-check against regulator portals,Network planning committee sign-off before schedule publication,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,11,PROC-0010,synthetic-demo,37bd999174d97512683f766783a9f199d5568d5cd8af4c239e7d0a375c763531,enriched_dense_synthetic_generation_2026_07,none,28541,6.3,11.4,67,8.68
